rec_id,sym,edge_bps,mfe,mae,pnl,ret_at_exit,rank,rec_score,rec_feas,rec_conf,rec_voters,vol_bps,dur,armed,label_base_top_pct_proxy,label_dur_ge,label_ret_pos,good_trade_top_20_mfe
645,CDSL.NS,29.25,0.003676,-0.00213,0.000299,0.081466,0.3112,0.005748,1.0,0.9966,3,40.0,3,0,0,5,1,0
660,NYKAA.NS,28.268,0.002872,-2.9e-05,0.00045,0.156522,0.0231,0.000233,0.05,0.6169,3,25.0,3,0,0,5,1,0
706,INFY.NS,29.25,0.003901,-0.015611,-1e-06,-0.000208,0.4075,0.008317,1.0,0.998,3,70.0,3,0,0,5,1,0
759,BSE.NS,29.806,0.003184,-0.003204,0.000299,0.094038,0.0422,0.000552,0.05,0.8434,3,40.0,3,0,0,5,1,0
793,JSWSTEEL.NS,29.25,0.001503,-0.005957,0.00045,0.29909,0.5915,0.008996,1.0,0.9991,3,25.0,3,0,0,5,1,0
820,ADANIENT.NS,28.268,0.002832,-0.000681,0.00045,0.158756,0.0419,0.000519,0.05,0.8418,3,25.0,3,0,0,5,1,0
837,NYKAA.NS,29.806,0.009967,-0.004504,0.000299,0.030044,0.048,0.000654,0.05,0.8748,3,40.0,3,0,1,5,1,0
866,BSE.NS,29.25,0.013699,-0.004838,0.000149,0.0109,0.8099,0.013994,1.0,0.9995,3,55.0,3,0,1,5,1,0
895,PAYTM.NS,29.25,0.004735,-0.000672,-8.1e-05,-0.017047,0.7479,0.013281,1.0,0.9994,3,70.0,3,0,0,5,1,0
898,COFORGE.NS,29.25,0.003605,-0.004002,-1e-06,-0.000225,0.7735,0.015432,1.0,0.9994,3,70.0,3,0,0,5,1,0
913,INFY.NS,29.25,0.00178,-0.006249,0.000149,0.083879,0.5135,0.008395,1.0,0.9981,2,55.0,3,0,0,5,1,0
923,COFORGE.NS,26.175,0.003829,-0.002136,-1e-06,-0.000212,0.2144,0.003752,1.0,0.9929,3,70.0,3,0,0,5,1,0
929,TATASTEEL.NS,29.25,0.007483,-0.009162,0.000149,0.019955,0.7632,0.012265,0.9999,0.9994,3,55.0,3,0,1,5,1,0
933,COFORGE.NS,29.25,0.00392,-0.001759,0.000149,0.038088,0.8336,0.013511,1.0,0.9995,3,55.0,3,0,0,5,1,0
938,ADANIENT.NS,29.25,0.002395,-0.006623,0.000149,0.062339,0.7056,0.011503,1.0,0.9993,3,55.0,3,0,0,5,1,0
950,GODREJPROP.NS,29.25,0.009683,-0.006021,-1e-06,-8.4e-05,0.8956,0.021297,1.0,0.9996,3,70.0,3,0,1,5,1,0
