rec_id,sym,edge_bps,mfe,mae,pnl,ret_at_exit,rank,rec_score,rec_feas,rec_conf,rec_voters,vol_bps,dur,armed,label_base_top_pct_proxy,label_dur_ge,label_ret_pos,good_trade_top_10_mfe
56,POLICYBZR.NS,26.361,0.00032,-0.010347,-0.009247,-10.0,0.5682,0.009643,1.0,0.9968,1,55.0,2,0,0,10,1,0
51,BSE.NS,21.616,0.000772,-0.004386,-0.00075,-0.971783,0.3904,0.004563,1.0,0.9967,2,55.0,2,0,0,10,1,0
39,RELIANCE.NS,29.25,0.061612,-0.001519,0.041803,0.678478,0.2515,0.004554,1.0,0.996,4,70.0,20,0,1,10,1,1
57,POLICYBZR.NS,28.141,0.00046,-0.005759,-0.004967,-10.0,0.6026,0.010671,1.0,0.9973,1,55.0,2,0,0,10,1,0
58,POLICYBZR.NS,31.756,0.002853,-0.000453,0.000149,0.052334,0.1953,0.003591,1.0,0.9744,1,55.0,2,0,0,10,1,0
59,PAYTM.NS,25.33,0.002387,-0.001937,0.000299,0.125429,0.1929,0.003017,1.0,0.9932,4,40.0,2,0,0,10,1,0
61,INFY.NS,29.25,0.000642,-0.003625,-0.003035,-4.723509,0.3076,0.005561,1.0,0.9895,1,70.0,3,0,0,10,1,0
62,JSWSTEEL.NS,31.756,0.000251,-0.004145,-0.003241,-10.0,0.1863,0.003942,1.0,0.972,1,55.0,2,0,0,10,1,0
65,TCS.NS,29.25,0.001098,-0.002095,-0.0009,-0.819385,0.3928,0.009766,1.0,0.9968,2,70.0,2,0,0,10,1,0
66,GODREJPROP.NS,29.25,0.001277,-0.003429,-0.0009,-0.704501,0.4051,0.008581,1.0,0.9988,5,70.0,2,0,0,10,1,0
67,TCS.NS,29.25,0.000835,-0.001466,-0.0009,-1.078347,0.315,0.006182,1.0,0.9899,1,70.0,2,0,0,10,1,0
64,POLICYBZR.NS,31.756,0.006802,-0.000864,0.000149,0.021953,0.1659,0.003308,1.0,0.9908,4,55.0,2,0,0,10,1,0
68,ONGC.NS,29.25,0.004331,-0.000574,0.000299,0.069146,0.9458,0.014396,0.9999,0.9998,5,40.0,2,0,0,10,1,0
69,NYKAA.NS,29.25,0.000208,-0.007717,-0.006579,-10.0,0.7959,0.012713,0.9999,0.9997,5,40.0,4,0,0,10,1,0
70,GODREJPROP.NS,29.697,0.000484,-0.004289,-0.002527,-5.218003,0.1728,0.003678,1.0,0.9932,5,55.0,2,0,0,10,1,0
71,HINDUNILVR.NS,29.697,0.006328,-0.00326,0.000149,0.023598,0.1669,0.002899,1.0,0.9649,1,55.0,3,0,0,10,1,0
72,NYKAA.NS,29.25,0.003191,-0.005851,0.000149,0.046799,0.893,0.013589,0.9999,0.9996,3,55.0,2,0,0,10,1,0
73,NYKAA.NS,29.25,0.003858,-0.003691,0.000149,0.03871,0.767,0.012479,1.0,0.9994,3,55.0,2,0,0,10,1,0
74,DLF.NS,29.25,0.001833,-0.00141,0.00045,0.245267,0.501,0.00869,1.0,0.998,2,25.0,2,0,0,10,1,0
75,POLICYBZR.NS,73.452,0.00095,-0.000683,-0.0009,-0.9473,0.2429,0.005568,1.0,0.9966,5,70.0,2,0,0,10,1,0
76,POLICYBZR.NS,73.452,0.002066,-0.000685,-1e-06,-0.000392,0.2388,0.004945,1.0,0.9825,1,70.0,2,0,0,10,1,0
77,DEEPAKNTR.NS,29.697,0.00204,-0.000931,-0.000195,-0.095557,0.1497,0.003242,1.0,0.991,5,55.0,2,0,0,10,1,0
78,NYKAA.NS,29.25,0.009306,-0.000443,-1e-06,-8.7e-05,0.6608,0.01306,1.0,0.9995,5,70.0,4,0,1,10,1,0
79,DEEPAKNTR.NS,29.03,0.003384,-0.002887,0.000299,0.088488,0.9307,0.014474,1.0,0.9996,3,40.0,2,0,0,10,1,0
80,BHARTIARTL.NS,25.783,0.001186,-0.000915,-0.00045,-0.379469,0.5966,0.008289,1.0,0.9991,3,25.0,2,0,0,10,1,0
81,KOTAKBANK.NS,29.25,0.004064,-0.002845,0.00045,0.110631,0.7966,0.012121,1.0,0.9995,3,25.0,2,0,0,10,1,0
83,INFY.NS,25.783,0.00356,-0.001389,0.00045,0.126275,0.5986,0.008263,1.0,0.9972,1,25.0,2,0,0,10,1,0
84,CDSL.NS,30.33,0.001956,-0.000189,0.00045,0.229876,0.2067,0.00336,1.0,0.9952,5,25.0,2,0,0,10,1,0
85,KOTAKBANK.NS,30.33,0.001715,-0.001079,-0.00045,-0.262433,0.2258,0.003813,1.0,0.996,5,25.0,2,0,0,10,1,0
82,IRCTC.NS,25.219,0.000631,-0.002013,-0.00045,-0.713108,0.3636,0.004781,1.0,0.9981,4,25.0,11,0,0,10,1,0
86,POLICYBZR.NS,29.25,0.000911,-0.003876,-0.0006,-0.65826,0.8614,0.01311,1.0,0.9997,5,40.0,2,0,0,10,1,0
87,COFORGE.NS,28.331,0.000744,-0.001313,-0.00045,-0.605132,0.4928,0.008247,1.0,0.9992,5,25.0,2,0,0,10,1,0
88,GODREJPROP.NS,29.25,0.000219,-0.009751,-0.009004,-10.0,0.7042,0.013326,1.0,0.9995,4,70.0,7,0,0,10,1,0
89,NYKAA.NS,29.25,0.003692,-0.000824,5.5e-05,0.015015,0.904,0.014472,1.0,0.9996,3,55.0,2,0,0,10,1,0
90,SBIN.NS,29.25,0.000799,-0.001208,-0.0009,-1.126322,0.8197,0.01328,1.0,0.9985,1,70.0,2,0,0,10,1,0
91,DEEPAKNTR.NS,29.25,0.005745,-0.000884,0.000149,0.025994,0.9606,0.017499,1.0,0.9997,4,55.0,3,0,0,10,1,0
93,POLICYBZR.NS,29.25,0.000101,-0.003161,-0.003717,-10.0,0.8559,0.014142,1.0,0.9986,1,70.0,2,0,0,10,1,0
92,SBIN.NS,29.25,0.001584,-0.001845,-0.000185,-0.116852,0.8926,0.016751,1.0,0.9994,2,70.0,3,0,0,10,1,0
95,SBIN.NS,29.25,0.005067,-0.002687,-1e-06,-0.00016,0.8922,0.018199,1.0,0.9996,3,70.0,2,0,0,10,1,0
97,AXISBANK.NS,29.25,0.000698,-0.000924,-0.00045,-0.644566,0.8265,0.012576,1.0,0.9995,3,25.0,2,0,0,10,1,0
98,HINDUNILVR.NS,29.25,0.001247,-0.000677,-0.00045,-0.360928,0.6873,0.011051,1.0,0.9978,1,25.0,2,0,0,10,1,0
94,DEEPAKNTR.NS,29.25,0.034168,-0.002283,0.004852,0.142003,0.9606,0.015121,1.0,0.9998,5,55.0,20,0,1,10,1,1
99,KOTAKBANK.NS,25.021,0.00194,-2.8e-05,7.1e-05,0.036415,0.6284,0.008716,0.9999,0.9995,5,25.0,2,0,0,10,1,0
96,GODREJPROP.NS,29.25,0.021919,-0.000198,0.004325,0.1973,0.9606,0.014958,1.0,0.9997,4,55.0,20,0,1,10,1,1
100,GODREJPROP.NS,60.722,0.000878,-0.001298,-0.0009,-1.024904,0.2276,0.005224,1.0,0.9951,4,70.0,2,0,0,10,1,0
102,TATASTEEL.NS,27.624,0.026069,-0.000474,0.010538,0.404237,0.9036,0.012989,0.9999,0.9997,5,40.0,13,0,1,10,1,1
103,ONGC.NS,42.295,0.00576,-0.0003,0.000149,0.025925,0.9606,0.016286,1.0,0.9995,2,55.0,2,0,0,10,1,0
104,ONGC.NS,42.295,0.003901,-0.000662,0.000149,0.038275,0.9606,0.016586,1.0,0.9997,4,55.0,2,0,0,10,1,0
105,TCS.NS,60.722,0.000464,-0.005334,-0.003252,-7.008031,0.2107,0.005961,1.0,0.9923,3,70.0,5,0,0,10,1,0
106,TATASTEEL.NS,25.021,0.002652,-0.002888,0.00045,0.169545,0.6425,0.008347,0.9999,0.9976,1,25.0,2,0,0,10,1,0
108,COFORGE.NS,35.498,0.001343,-0.005743,-0.0009,-0.670269,0.6053,0.012737,1.0,0.9991,3,70.0,2,0,0,10,1,0
107,TCS.NS,60.722,0.000175,-0.003496,-0.004215,-10.0,0.2993,0.006311,1.0,0.9961,3,70.0,6,0,0,10,1,0
109,COFORGE.NS,55.988,0.000833,-0.004356,-0.0006,-0.720168,0.9606,0.014998,1.0,0.9996,3,40.0,2,0,0,10,1,0
110,COFORGE.NS,47.521,0.002981,-0.000396,0.000149,0.050086,0.9461,0.018739,1.0,0.9996,3,55.0,2,0,0,10,1,0
111,INFY.NS,49.235,0.002001,-0.001215,-0.000206,-0.103152,0.2791,0.005827,1.0,0.9955,3,70.0,2,0,0,10,1,0
114,COFORGE.NS,47.521,0.003969,-0.002766,0.000149,0.03762,0.9096,0.014385,1.0,0.9996,3,55.0,2,0,0,10,1,0
112,GODREJPROP.NS,49.235,0.020902,-0.009329,0.007514,0.359475,0.2603,0.005839,1.0,0.9949,3,70.0,12,0,1,10,1,1
115,RELIANCE.NS,26.65,0.00069,-0.001776,-0.00045,-0.652256,0.2887,0.004207,1.0,0.9959,3,25.0,2,0,0,10,1,0
116,PAYTM.NS,55.988,0.028345,-0.000717,0.024033,0.84787,0.9606,0.015635,1.0,0.9994,2,40.0,13,0,1,10,1,1
117,COFORGE.NS,47.521,0.000906,-0.001882,-0.00075,-0.827815,0.95,0.016244,1.0,0.9997,3,55.0,3,0,0,10,1,0
118,POLICYBZR.NS,24.308,0.00496,-0.001292,0.00045,0.090647,0.8187,0.010354,1.0,0.9995,3,25.0,3,0,0,10,1,0
119,IRCTC.NS,49.235,0.001418,-0.002379,-0.0009,-0.63465,0.2429,0.005953,1.0,0.9947,3,70.0,2,0,0,10,1,0
120,PAYTM.NS,41.421,0.000727,-0.004895,-0.00075,-1.031205,0.9392,0.015278,1.0,0.9996,3,55.0,4,0,0,10,1,0
121,LT.NS,49.927,0.000873,-0.002059,-0.0009,-1.030705,0.2412,0.0046,1.0,0.9946,3,70.0,2,0,0,10,1,0
122,LT.NS,49.927,0.002653,-0.000825,-0.000192,-0.072333,0.2665,0.005275,1.0,0.9956,3,70.0,2,0,0,10,1,0
123,ONGC.NS,49.927,0.00772,-0.006818,-1e-06,-0.000105,0.2107,0.004643,1.0,0.9898,2,70.0,2,0,1,10,1,0
124,IRCTC.NS,41.421,0.002394,-0.000731,0.000149,0.06237,0.9243,0.01592,1.0,0.9995,2,55.0,2,0,0,10,1,0
126,BSE.NS,41.421,0.006401,-0.000437,0.000149,0.023329,0.941,0.016133,1.0,0.9996,3,55.0,2,0,0,10,1,0
127,RELIANCE.NS,29.25,0.0,-0.007895,-0.004705,0.0,0.9118,0.017214,1.0,0.9994,2,70.0,2,0,0,10,1,0
128,DEEPAKNTR.NS,49.927,0.000751,-0.002683,-0.0009,-1.198062,0.286,0.005422,1.0,0.9961,3,70.0,2,0,0,10,1,0
125,LT.NS,63.756,0.005879,-0.000471,0.000299,0.050941,0.9229,0.014456,1.0,0.9996,3,40.0,2,0,0,10,1,0
129,DLF.NS,41.421,0.000422,-0.005466,-0.00417,-9.8761,0.9606,0.015715,1.0,0.9996,3,55.0,2,0,0,10,1,0
130,BSE.NS,36.369,0.005186,-0.003726,0.000149,0.028793,0.9606,0.017162,1.0,0.9996,3,55.0,2,0,0,10,1,0
131,CDSL.NS,58.647,0.008544,-0.000332,0.000299,0.035049,0.9606,0.015511,1.0,0.9996,3,40.0,2,0,1,10,1,0
132,SBIN.NS,36.369,0.003765,-0.001642,0.000149,0.039659,0.9606,0.017318,1.0,0.9996,3,55.0,2,0,0,10,1,0
133,DLF.NS,36.369,0.000422,-0.008053,-0.006946,-10.0,0.9606,0.015905,1.0,0.9996,3,55.0,2,0,0,10,1,0
134,PAYTM.NS,36.369,0.005316,-0.00346,0.000149,0.028089,0.9373,0.018177,1.0,0.9996,3,55.0,2,0,0,10,1,0
135,CDSL.NS,36.369,0.000332,-0.007038,-0.006912,-10.0,0.9606,0.016441,1.0,0.9996,3,55.0,3,0,0,10,1,0
136,BSE.NS,36.369,0.002961,-0.002916,0.000149,0.050438,0.9514,0.015954,1.0,0.9996,3,55.0,2,0,0,10,1,0
137,INFY.NS,36.369,0.002082,-0.000588,0.000149,0.071734,0.9536,0.017404,1.0,0.9996,3,55.0,2,0,0,10,1,0
138,INFY.NS,36.369,0.001011,-0.001573,-0.00075,-0.741926,0.9606,0.017762,1.0,0.9996,3,55.0,2,0,0,10,1,0
139,LT.NS,36.369,0.006259,-0.001598,0.000149,0.023856,0.942,0.01652,1.0,0.9996,3,55.0,3,0,0,10,1,0
