timestamp,volatility_5m_std_24h,upside_excursion_24h,downside_excursion_24h,trend_dir,ret_15m,ret_30m,ret_60m,ret_120m,ret_300m
1784396700000,0.000523114379118249,0.00715229297681026,-0.00233719549970404,1,0.0007088145464634343,0.000924500233762968,0.0006909700471545722,0.0015603850873985553,0.005046579574130988
1784397000000,0.0005230409314152731,0.006903059585141941,-0.0025840805897156065,1,0.00016755101540562756,0.0022031407127557326,0.000496912872541132,0.0015552767865204588,0.004635112673403615
1784397300000,0.0005228654408879567,0.007278293193390185,-0.0022123824696217388,1,-0.0001296520223466827,0.0014866558447550497,0.0004981367174372606,0.0011243745957097897,0.00503657784417536
1784397600000,0.0005228110779013102,0.007057931440048151,-0.0024306679527377256,1,0.00021553291443454097,0.0001347468364342782,0.0003518303473755197,0.0009381108865675081,0.004724977675286813
1784397900000,0.0005211946156369056,0.006241028521500343,-0.0032398739312238883,1,0.002035248689365599,0.0003922829003434046,0.0009185841580994889,0.0015655639830628142,0.004228558381281615
1784398200000,0.0005098793454699035,0.0080603248107542,-0.0014377192314720647,1,0.0016165174518585246,5.6613785255094044e-05,0.001079074257587755,0.0022657922602906683,0.004057424680787383
1784398500000,0.000509058884842772,0.009008352363374767,-0.0007765821002909478,1,-8.076866969348874e-05,-0.00023331448731033717,0.0009124844334279445,0.001914108953369831,0.004622572347256916
1784398800000,0.0005155420192242137,0.00998730480353719,-0.0012015096652345258,1,-0.0016396287367846072,-0.0017024770437270335,-0.001403715387572046,0.0011767803679227206,0.003096130510236953
1784399100000,0.0005145823058537942,0.010366373522228186,-0.001900447130026415,1,-0.0015573861247534842,-0.000987051721107529,-0.001457813759414264,0.0011135690189024309,0.003909492901016848
1784399400000,0.0005167646658855773,0.009429269242169783,-0.002826174061790987,1,-0.00015255813953482959,0.00021705426356589147,8.961240310075714e-05,0.0018751937984495674,0.00495906976744187
1784399700000,0.0005108965433646298,0.008076050082141554,-0.0041629638382072185,1,-6.295152407031641e-05,0.0005260948797308077,0.0005262499327457909,0.001611465984392058,0.005361733257026622
1784400000000,0.00048395817010912914,0.005254660783386556,-0.006950098754170985,1,0.0005712240200088428,0.0010224025902519722,0.0007019711959162641,0.002033327966960492,0.005456484455044804
1784400300000,0.0004840735532805651,0.00512138718081868,-0.007081754286875075,1,0.0003696687990849535,0.0011460663146128994,0.0008688147152991841,0.0013940111173548675,0.00520839148173922
1784400600000,0.00047833999031857404,0.006376777493462807,-0.005841605621436701,1,0.0005890834875044671,0.00029927115843206775,0.0010578382605306025,0.0028133039520384672,0.0051787866058633876
1784400900000,0.0004778057287099565,0.006873792290933472,-0.005350625062180869,1,0.000450920993340607,-0.00047122716388988496,0.0006259260815089279,0.0027994613749509362,0.004988342553006432
1784401200000,0.0004618170347869522,0.008947516225661508,-0.0033020781328008215,1,0.0007761106116501799,-0.00012741420466877212,0.0005860743404531988,0.002852249124221131,0.004975664196918498
1784401500000,0.00046153306127048654,0.009262438354454085,-0.0029909794618890296,1,-0.0002896417059261457,1.5497148527828646e-07,0.0006463860649640331,0.0021035829407388723,0.004897098933796182
1784401800000,0.0004615450068738882,0.009413985931466749,-0.00284127181838585,1,-0.0009217325286830638,-0.00032010411905523565,0.0011854388261816357,0.0033852637450322346,0.0046923297413292
1784402100000,0.0004596174402526752,0.010176825267893406,-0.0020876940860383246,1,-0.0009028241249351361,-0.00027693421433929707,0.0010007113863794612,0.003623222637606339,0.004490733003666007
1784402400000,0.0004582030728811279,0.009073461490450631,-0.0031776619647984248,1,0.00028988063893419983,0.0007583401527625319,0.0025841231288941764,0.003359050034793464,0.005527574236959002
1784402700000,0.00045892748589633004,0.008963887332170906,-0.0032859057872881205,1,0.0006021834617127238,0.001097670497554261,0.002575136848246443,0.003768648030667697,0.004786141126804132
1784403000000,0.0004585459042226741,0.008468267233213886,-0.003775508581013213,1,0.000626455489725161,0.0007135794652820079,0.0017854213994466582,0.0031161548624015095,0.004482854094625292
1784403300000,0.0004561288450346054,0.007581301626866038,-0.004651705570844403,1,0.00046832375583876157,0.0006462309933313779,0.0010846452571526375,0.0025103827004737626,0.0038476314394322534
1784403600000,0.0004559684977610172,0.0078067838528375205,-0.004428960916212137,1,0.0004951888413108752,0.0015060250300523914,0.0013304228525233674,0.0019587469722961554,0.00397421980247011
1784403900000,0.000456415705781049,0.007636720703752555,-0.004596959334914093,1,8.706943043416417e-05,0.0012779995225124512,0.0005247404997877541,0.00188717567992778,0.0035603960512618584
1784404200000,0.00045615323344059844,0.007928517100784235,-0.0043087056271119495,1,0.0001778239583085832,0.0018243994607658673,0.0017536106550628653,0.003435193313075603,0.0035979920763007105
