env,penalty,mode,seed,target,opt_x,opt_y,opt_z,preserved,recovered,rediscovered,dist_carrier,dist_noncarrier
StaticNull,500,PureSA,104,X,0,0,0,0,0,0,0.00,10.56
StaticNull,500,PureSA,105,X,0,0,0,0,0,0,0.00,10.59
StaticNull,500,PureSA,106,Z,0,0,0,0,0,0,0.00,9.94
StaticNull,500,PureSA,107,X,0,0,0,0,0,0,0.00,10.46
StaticNull,500,PureSA,108,Z,0,0,0,0,0,0,0.00,10.40
StaticNull,500,PureSA,109,Y,0,0,0,0,0,0,0.00,10.39
StaticNull,500,PureSA,110,X,0,0,0,0,0,0,0.00,10.95
StaticNull,500,PureSA,111,Y,0,0,0,0,0,0,0.00,10.70
StaticNull,500,PureSA,112,Z,0,0,0,0,0,0,0.00,10.16
StaticNull,500,PureSA,113,X,0,0,0,0,0,0,0.00,10.58
StaticNull,500,PureSA,114,Z,0,0,0,0,0,0,0.00,10.33
StaticNull,500,PureSA,115,Y,0,0,0,0,0,0,0.00,10.67
StaticNull,500,PureSA,116,Z,0,0,0,0,0,0,0.00,10.55
StaticNull,500,PureSA,117,Z,0,0,0,0,0,0,0.00,10.59
StaticNull,500,PureSA,118,X,0,0,0,0,0,0,0.00,10.33
StaticNull,500,PureSA,119,Y,0,0,0,0,0,0,0.00,10.04
StaticNull,500,GA+SA,100,Z,0,0,0,0,0,0,0.00,12.77
StaticNull,500,GA+SA,101,Z,0,0,0,0,0,0,0.00,10.07
StaticNull,500,GA+SA,102,Z,0,0,0,0,0,0,0.00,10.57
StaticNull,500,GA+SA,103,Z,0,0,0,0,0,0,0.00,9.33
StaticNull,500,GA+SA,104,X,0,0,0,0,0,0,0.00,11.10
StaticNull,500,GA+SA,105,X,0,0,0,0,0,0,0.00,9.43
StaticNull,500,GA+SA,106,Z,0,0,0,0,0,0,0.00,10.43
StaticNull,500,GA+SA,107,X,0,0,0,0,0,0,0.00,10.53
StaticNull,500,GA+SA,108,Z,0,0,0,0,0,0,0.00,9.21
StaticNull,500,GA+SA,109,Y,0,0,0,0,0,0,0.00,10.96
StaticNull,500,GA+SA,110,X,0,0,0,0,0,0,0.00,11.71
StaticNull,500,GA+SA,111,Y,0,0,0,0,0,0,0.00,9.92
StaticNull,500,GA+SA,112,Z,0,0,0,0,0,0,0.00,12.64
StaticNull,500,GA+SA,113,X,0,0,0,0,0,0,0.00,8.22
StaticNull,500,GA+SA,114,Z,0,0,0,0,0,0,0.00,9.73
StaticNull,500,GA+SA,115,Y,0,0,0,0,0,0,0.00,10.14
StaticNull,500,GA+SA,116,Z,0,0,0,0,0,0,0.00,8.63
StaticNull,500,GA+SA,117,Z,0,0,0,0,0,0,0.00,13.37
StaticNull,500,GA+SA,118,X,0,0,0,0,0,0,0.00,9.48
StaticNull,500,GA+SA,119,Y,0,0,0,0,0,0,0.00,11.84
StaticNull,1000,GA,100,Z,0,0,0,0,0,0,0.00,12.44
StaticNull,1000,GA,101,Z,0,0,0,0,0,0,0.00,10.05
StaticNull,1000,GA,102,Z,0,0,0,0,0,0,0.00,11.77
StaticNull,1000,GA,103,Z,0,0,0,0,0,0,0.00,9.87
StaticNull,1000,GA,104,X,0,0,0,0,0,0,0.00,11.06
StaticNull,1000,GA,105,X,0,0,0,0,0,0,0.00,10.73
StaticNull,1000,GA,106,Z,0,0,0,0,0,0,0.00,11.53
StaticNull,1000,GA,107,X,0,0,0,0,0,0,0.00,8.92
StaticNull,1000,GA,108,Z,0,0,0,0,0,0,0.00,10.65
StaticNull,1000,GA,109,Y,0,0,0,0,0,0,0.00,9.98
StaticNull,1000,GA,110,X,0,0,0,0,0,0,0.00,11.89
StaticNull,1000,GA,111,Y,0,0,0,0,0,0,0.00,10.05
StaticNull,1000,GA,112,Z,0,0,0,0,0,0,0.00,11.64
StaticNull,1000,GA,113,X,0,0,0,0,0,0,0.00,11.74
StaticNull,1000,GA,114,Z,1,0,0,0,0,0,0.00,10.81
StaticNull,1000,GA,115,Y,0,0,0,0,0,0,0.00,9.92
StaticNull,1000,GA,116,Z,0,0,0,0,0,0,0.00,11.05
StaticNull,1000,GA,117,Z,0,0,0,0,0,0,0.00,11.61
StaticNull,1000,GA,118,X,0,0,0,0,0,0,0.00,11.38
StaticNull,1000,GA,119,Y,0,0,0,0,0,0,0.00,7.87
StaticNull,1000,PureSA,100,Z,0,0,0,0,0,0,0.00,10.90
StaticNull,1000,PureSA,101,Z,0,0,0,0,0,0,0.00,10.65
StaticNull,1000,PureSA,102,Z,0,0,0,0,0,0,0.00,10.72
StaticNull,1000,PureSA,103,Z,0,0,0,0,0,0,0.00,9.88
StaticNull,1000,PureSA,104,X,0,0,0,0,0,0,0.00,10.56
StaticNull,1000,PureSA,105,X,0,0,0,0,0,0,0.00,10.59
StaticNull,1000,PureSA,106,Z,0,0,0,0,0,0,0.00,9.94
StaticNull,1000,PureSA,107,X,0,0,0,0,0,0,0.00,10.46
StaticNull,1000,PureSA,108,Z,0,0,0,0,0,0,0.00,10.40
StaticNull,1000,PureSA,109,Y,0,0,0,0,0,0,0.00,10.39
StaticNull,1000,PureSA,110,X,0,0,0,0,0,0,0.00,10.95
StaticNull,1000,PureSA,111,Y,0,0,0,0,0,0,0.00,10.70
StaticNull,1000,PureSA,112,Z,0,0,0,0,0,0,0.00,10.16
StaticNull,1000,PureSA,113,X,0,0,0,0,0,0,0.00,10.58
StaticNull,1000,PureSA,114,Z,0,0,0,0,0,0,0.00,10.33
StaticNull,1000,PureSA,115,Y,0,0,0,0,0,0,0.00,10.67
StaticNull,1000,PureSA,116,Z,0,0,0,0,0,0,0.00,10.55
StaticNull,1000,PureSA,117,Z,0,0,0,0,0,0,0.00,10.59
StaticNull,1000,PureSA,118,X,0,0,0,0,0,0,0.00,10.33
StaticNull,1000,PureSA,119,Y,0,0,0,0,0,0,0.00,10.04
StaticNull,1000,GA+SA,100,Z,0,0,0,0,0,0,0.00,12.77
StaticNull,1000,GA+SA,101,Z,0,0,0,0,0,0,0.00,10.07
StaticNull,1000,GA+SA,102,Z,0,0,0,0,0,0,0.00,10.57
StaticNull,1000,GA+SA,103,Z,0,0,0,0,0,0,0.00,9.33
StaticNull,1000,GA+SA,104,X,0,0,0,0,0,0,0.00,11.10
StaticNull,1000,GA+SA,105,X,0,0,0,0,0,0,0.00,9.43
StaticNull,1000,GA+SA,106,Z,0,0,0,0,0,0,0.00,10.43
StaticNull,1000,GA+SA,107,X,0,0,0,0,0,0,0.00,10.53
StaticNull,1000,GA+SA,108,Z,0,0,0,0,0,0,0.00,9.21
StaticNull,1000,GA+SA,109,Y,0,0,0,0,0,0,0.00,10.96
StaticNull,1000,GA+SA,110,X,0,0,0,0,0,0,0.00,11.71
StaticNull,1000,GA+SA,111,Y,0,0,0,0,0,0,0.00,9.92
StaticNull,1000,GA+SA,112,Z,0,0,0,0,0,0,0.00,12.64
StaticNull,1000,GA+SA,113,X,0,0,0,0,0,0,0.00,8.22
StaticNull,1000,GA+SA,114,Z,0,0,0,0,0,0,0.00,9.73
StaticNull,1000,GA+SA,115,Y,0,0,0,0,0,0,0.00,10.14
StaticNull,1000,GA+SA,116,Z,0,0,0,0,0,0,0.00,8.63
StaticNull,1000,GA+SA,117,Z,0,0,0,0,0,0,0.00,13.37
StaticNull,1000,GA+SA,118,X,0,0,0,0,0,0,0.00,9.48
StaticNull,1000,GA+SA,119,Y,0,0,0,0,0,0,0.00,11.84
DelayedPayoff,200,GA,100,Z,0,0,0,0,0,0,0.00,12.44
DelayedPayoff,200,GA,101,Z,0,0,0,0,0,0,0.00,10.05
DelayedPayoff,200,GA,102,Z,0,0,0,0,0,0,0.00,11.77
DelayedPayoff,200,GA,103,Z,0,0,0,0,0,0,0.00,9.87
DelayedPayoff,200,GA,104,X,0,0,0,0,0,0,0.00,11.06
DelayedPayoff,200,GA,105,X,0,0,0,0,0,0,0.00,10.73
DelayedPayoff,200,GA,106,Z,0,0,0,0,0,0,0.00,11.53
DelayedPayoff,200,GA,107,X,0,0,0,0,0,0,0.00,8.92
DelayedPayoff,200,GA,108,Z,0,0,0,0,0,0,0.00,10.65
DelayedPayoff,200,GA,109,Y,0,0,0,0,0,0,0.00,9.98
DelayedPayoff,200,GA,110,X,0,0,0,0,0,0,0.00,11.89
DelayedPayoff,200,GA,111,Y,0,0,0,0,0,0,0.00,10.05
DelayedPayoff,200,GA,112,Z,0,0,0,0,0,0,0.00,11.64
DelayedPayoff,200,GA,113,X,0,0,0,0,0,0,0.00,11.74
DelayedPayoff,200,GA,114,Z,1,0,0,0,0,0,0.00,10.81
DelayedPayoff,200,GA,115,Y,0,0,0,0,0,0,0.00,9.92
DelayedPayoff,200,GA,116,Z,0,0,0,0,0,0,0.00,11.05
DelayedPayoff,200,GA,117,Z,0,0,0,0,0,0,0.00,11.61
DelayedPayoff,200,GA,118,X,0,0,0,0,0,0,0.00,11.38
DelayedPayoff,200,GA,119,Y,0,0,0,0,0,0,0.00,7.87
DelayedPayoff,200,PureSA,100,Z,0,0,0,0,0,0,0.00,10.90
DelayedPayoff,200,PureSA,101,Z,0,0,0,0,0,0,0.00,10.65
DelayedPayoff,200,PureSA,102,Z,0,0,0,0,0,0,0.00,10.72
DelayedPayoff,200,PureSA,103,Z,0,0,0,0,0,0,0.00,9.88
DelayedPayoff,200,PureSA,104,X,0,0,0,0,0,0,0.00,10.56
DelayedPayoff,200,PureSA,105,X,0,0,0,0,0,0,0.00,10.59
DelayedPayoff,200,PureSA,106,Z,0,0,0,0,0,0,0.00,9.94
DelayedPayoff,200,PureSA,107,X,0,0,0,0,0,0,0.00,10.46
DelayedPayoff,200,PureSA,108,Z,0,0,0,0,0,0,0.00,10.40
DelayedPayoff,200,PureSA,109,Y,0,0,0,0,0,0,0.00,10.39
DelayedPayoff,200,PureSA,110,X,0,0,0,0,0,0,0.00,10.95
DelayedPayoff,200,PureSA,111,Y,0,0,0,0,0,0,0.00,10.70
DelayedPayoff,200,PureSA,112,Z,0,0,0,0,0,0,0.00,10.16
DelayedPayoff,200,PureSA,113,X,0,0,0,0,0,0,0.00,10.58
DelayedPayoff,200,PureSA,114,Z,0,0,0,0,0,0,0.00,10.33
DelayedPayoff,200,PureSA,115,Y,0,0,0,0,0,0,0.00,10.67
DelayedPayoff,200,PureSA,116,Z,0,0,0,0,0,0,0.00,10.55
DelayedPayoff,200,PureSA,117,Z,0,0,0,0,0,0,0.00,10.59
DelayedPayoff,200,PureSA,118,X,0,0,0,0,0,0,0.00,10.33
DelayedPayoff,200,PureSA,119,Y,0,0,0,0,0,0,0.00,10.04
DelayedPayoff,200,GA+SA,100,Z,0,0,0,0,0,0,0.00,12.77
DelayedPayoff,200,GA+SA,101,Z,0,0,0,0,0,0,0.00,10.07
DelayedPayoff,200,GA+SA,102,Z,0,0,0,0,0,0,0.00,10.57
DelayedPayoff,200,GA+SA,103,Z,0,0,0,0,0,0,0.00,9.33
DelayedPayoff,200,GA+SA,104,X,0,0,0,0,0,0,0.00,11.10
DelayedPayoff,200,GA+SA,105,X,0,0,0,0,0,0,0.00,9.43
DelayedPayoff,200,GA+SA,106,Z,0,0,0,0,0,0,0.00,10.43
DelayedPayoff,200,GA+SA,107,X,0,0,0,0,0,0,0.00,10.53
DelayedPayoff,200,GA+SA,108,Z,0,0,0,0,0,0,0.00,9.21
DelayedPayoff,200,GA+SA,109,Y,0,0,0,0,0,0,0.00,10.96
DelayedPayoff,200,GA+SA,110,X,0,0,0,0,0,0,0.00,11.71
DelayedPayoff,200,GA+SA,111,Y,0,0,0,0,0,0,0.00,9.92
DelayedPayoff,200,GA+SA,112,Z,0,0,0,0,0,0,0.00,12.64
DelayedPayoff,200,GA+SA,113,X,0,0,0,0,0,0,0.00,8.22
DelayedPayoff,200,GA+SA,114,Z,0,0,0,0,0,0,0.00,9.73
DelayedPayoff,200,GA+SA,115,Y,0,0,0,0,0,0,0.00,10.14
DelayedPayoff,200,GA+SA,116,Z,0,0,0,0,0,0,0.00,8.63
DelayedPayoff,200,GA+SA,117,Z,0,0,0,0,0,0,0.00,13.37
DelayedPayoff,200,GA+SA,118,X,0,0,0,0,0,0,0.00,9.48
DelayedPayoff,200,GA+SA,119,Y,0,0,0,0,0,0,0.00,11.84
DelayedPayoff,500,GA,100,Z,0,0,0,0,0,0,0.00,12.44
DelayedPayoff,500,GA,101,Z,0,0,0,0,0,0,0.00,10.05
DelayedPayoff,500,GA,102,Z,0,0,0,0,0,0,0.00,11.77
DelayedPayoff,500,GA,103,Z,0,0,0,0,0,0,0.00,9.87
DelayedPayoff,500,GA,104,X,0,0,0,0,0,0,0.00,11.06
DelayedPayoff,500,GA,105,X,0,0,0,0,0,0,0.00,10.73
DelayedPayoff,500,GA,106,Z,0,0,0,0,0,0,0.00,11.53
DelayedPayoff,500,GA,107,X,0,0,0,0,0,0,0.00,8.92
DelayedPayoff,500,GA,108,Z,0,0,0,0,0,0,0.00,10.65
DelayedPayoff,500,GA,109,Y,0,0,0,0,0,0,0.00,9.98
DelayedPayoff,500,GA,110,X,0,0,0,0,0,0,0.00,11.89
DelayedPayoff,500,GA,111,Y,0,0,0,0,0,0,0.00,10.05
DelayedPayoff,500,GA,112,Z,0,0,0,0,0,0,0.00,11.64
DelayedPayoff,500,GA,113,X,0,0,0,0,0,0,0.00,11.74
DelayedPayoff,500,GA,114,Z,1,0,0,0,0,0,0.00,10.81
DelayedPayoff,500,GA,115,Y,0,0,0,0,0,0,0.00,9.92
DelayedPayoff,500,GA,116,Z,0,0,0,0,0,0,0.00,11.05
DelayedPayoff,500,GA,117,Z,0,0,0,0,0,0,0.00,11.61
DelayedPayoff,500,GA,118,X,0,0,0,0,0,0,0.00,11.38
DelayedPayoff,500,GA,119,Y,0,0,0,0,0,0,0.00,7.87
DelayedPayoff,500,PureSA,100,Z,0,0,0,0,0,0,0.00,10.90
DelayedPayoff,500,PureSA,101,Z,0,0,0,0,0,0,0.00,10.65
DelayedPayoff,500,PureSA,102,Z,0,0,0,0,0,0,0.00,10.72
DelayedPayoff,500,PureSA,103,Z,0,0,0,0,0,0,0.00,9.88
DelayedPayoff,500,PureSA,104,X,0,0,0,0,0,0,0.00,10.56
DelayedPayoff,500,PureSA,105,X,0,0,0,0,0,0,0.00,10.59
DelayedPayoff,500,PureSA,106,Z,0,0,0,0,0,0,0.00,9.94
