family,instance,utilization_pct,global_constructor_enabled,seed,feasible_at_gen_0,generations_to_first_feasible,final_feasible,initial_fitness,first_feasible_fitness,best_fitness,final_fitness,seed_population_size,seed_feasible_count,construction_ms,optimization_ms,total_wall_ms,construction_overhead_pct
A,Control_95,95,false,28,true,0,true,44296.8,44296.8,56980,56980,100,52,0,195359,195359,0.00
A,Control_95,95,true,28,true,0,true,84880,84880,84880,84880,100,53,13,193202,193215,0.01
A,Control_95,95,false,29,true,0,true,44196.8,44196.8,57880,57880,100,48,0,194612,194612,0.00
A,Control_95,95,true,29,true,0,true,84880,84880,84880,84880,100,50,13,201777,201790,0.01
A,Control_95,95,false,30,true,0,true,44635.2,44635.2,56980,56980,100,50,0,206070,206070,0.00
A,Control_95,95,true,30,true,0,true,84880,84880,84880,84880,100,51,13,191310,191323,0.01
B,B1,95,false,1,false,22,true,-563509.2,36843.2,43352.8,43352.8,100,0,0,185100,185100,0.00
B,B1,95,true,1,false,22,true,-563509.2,36843.2,43352.8,43352.8,100,0,1001,186856,187858,0.54
B,B1,95,false,2,false,70,true,-762718,39150,44351.2,44351.2,100,0,0,186104,186104,0.00
B,B1,95,true,2,false,70,true,-762718,39150,44351.2,44351.2,100,0,1001,187283,188285,0.53
B,B1,95,false,3,false,26,true,-661843.2,39046.8,45751.2,45751.2,100,0,0,189875,189875,0.00
B,B1,95,true,3,false,26,true,-661843.2,39046.8,45751.2,45751.2,100,0,1001,197921,198922,0.51
B,B1,95,false,4,false,240,true,-662619.2,43058.8,43860.4,43860.4,100,0,0,196146,196146,0.00
B,B1,95,true,4,false,240,true,-662619.2,43058.8,43860.4,43860.4,100,0,1001,197136,198138,0.51
B,B1,95,false,5,false,103,true,-662645.6,40845.2,44147.2,44147.2,100,0,0,194088,194088,0.00
B,B1,95,true,5,false,103,true,-662645.6,40845.2,44147.2,44147.2,100,0,1001,196016,197017,0.51
B,B1,95,false,6,false,66,true,-464490.4,37646,43853.2,43853.2,100,0,0,184747,184747,0.00
B,B1,95,true,6,false,66,true,-464490.4,37646,43853.2,43853.2,100,0,1001,185730,186732,0.54
B,B1,95,false,7,false,35,true,-662708.4,37852,45452.8,45452.8,100,0,0,184943,184943,0.00
B,B1,95,true,7,false,35,true,-662708.4,37852,45452.8,45452.8,100,0,1001,186204,187206,0.54
B,B1,95,false,8,false,36,true,-963327.2,37044.8,43955.2,43955.2,100,0,0,184886,184886,0.00
B,B1,95,true,8,false,36,true,-963327.2,37044.8,43955.2,43955.2,100,0,1001,185391,186393,0.54
B,B1,95,false,9,false,140,true,-761932.4,42547.2,45749.6,45749.6,100,0,0,184548,184548,0.00
B,B1,95,true,9,false,140,true,-761932.4,42547.2,45749.6,45749.6,100,0,1001,185914,186916,0.54
B,B1,95,false,10,false,44,true,-862304,38660.8,43160.8,43160.8,100,0,0,186598,186598,0.00
B,B1,95,true,10,false,44,true,-862304,38660.8,43160.8,43160.8,100,0,1001,186317,187318,0.54
B,B1,95,false,11,false,197,true,-1161468.8,43450.8,45555.6,45555.6,100,0,0,185909,185909,0.00
B,B1,95,true,11,false,197,true,-1161468.8,43450.8,45555.6,45555.6,100,0,1001,188394,189395,0.53
B,B1,95,false,12,false,104,true,-760706.4,42156.8,45849.6,45849.6,100,0,0,189100,189100,0.00
B,B1,95,true,12,false,104,true,-760706.4,42156.8,45849.6,45849.6,100,0,1001,195306,196308,0.51
B,B1,95,false,13,false,192,true,-765728.8,40148.4,42452,42452,100,0,0,186423,186424,0.00
B,B1,95,true,13,false,192,true,-765728.8,40148.4,42452,42452,100,0,1002,196061,197063,0.51
B,B1,95,false,14,false,36,true,-761941.2,38940.4,45955.2,45955.2,100,0,0,189823,189824,0.00
B,B1,95,true,14,false,36,true,-761941.2,38940.4,45955.2,45955.2,100,0,1001,189235,190237,0.53
B,B1,95,false,15,false,108,true,-964105.6,39051.2,44058.4,44058.4,100,0,0,190127,190127,0.00
B,B1,95,true,15,false,108,true,-964105.6,39051.2,44058.4,44058.4,100,0,1001,193372,194374,0.52
B,B1,95,false,16,false,125,true,-863244.4,40451.2,43351.6,43351.6,100,0,0,187358,187358,0.00
B,B1,95,true,16,false,125,true,-863244.4,40451.2,43351.6,43351.6,100,0,1001,185620,186622,0.54
B,B1,95,false,17,false,27,true,-863045.2,37740.8,45053.2,45053.2,100,0,0,190069,190069,0.00
B,B1,95,true,17,false,27,true,-863045.2,37740.8,45053.2,45053.2,100,0,1001,191570,192571,0.52
B,B1,95,false,18,false,64,true,-661125.2,40540.8,46850.8,46850.8,100,0,0,198054,198054,0.00
B,B1,95,true,18,false,64,true,-661125.2,40540.8,46850.8,46850.8,100,0,1001,199673,200675,0.50
B,B1,95,false,19,false,19,true,-562405.6,37940.8,44851.6,44851.6,100,0,0,194796,194796,0.00
B,B1,95,true,19,false,19,true,-562405.6,37940.8,44851.6,44851.6,100,0,1001,194117,195118,0.52
B,B1,95,false,20,false,62,true,-961104.8,38753.6,44360,44360,100,0,0,192662,192662,0.00
B,B1,95,true,20,false,62,true,-961104.8,38753.6,44360,44360,100,0,1001,194126,195128,0.52
B,B1,95,false,21,false,119,true,-961623.2,40953.6,44754.4,44754.4,100,0,0,191106,191107,0.00
