seed,arm,score,hard,hc_coverage,hc_skills,hc_one_shift_per_day,hc_forbidden_successions,gini,cv,coverage
1025,FullEcology,4945,15000,6000,0,4000,5000,0.0720,0.1279,0.9406
1026,Off,4890,10000,5000,1000,1000,3000,0.1003,0.1815,0.9505
1026,WeekLocal,5075,15000,3000,1000,4000,7000,0.0907,0.1624,0.9703
1026,FullEcology,5140,18000,5000,1000,4000,8000,0.0600,0.1070,0.9505
1027,Off,5010,15000,5000,0,6000,4000,0.0817,0.1485,0.9505
1027,WeekLocal,5230,12000,6000,0,2000,4000,0.0838,0.1526,0.9406
1027,FullEcology,4505,13000,4000,0,2000,7000,0.0734,0.1335,0.9604
1028,Off,4755,15000,5000,0,1000,9000,0.0870,0.1568,0.9505
1028,WeekLocal,5130,12000,1000,0,3000,8000,0.0761,0.1406,0.9901
1028,FullEcology,5110,16000,6000,1000,4000,5000,0.0574,0.1074,0.9406
1029,Off,5490,14000,6000,0,2000,6000,0.0904,0.1669,0.9406
1029,WeekLocal,4735,14000,3000,0,6000,5000,0.0817,0.1487,0.9802
1029,FullEcology,5230,15000,3000,0,3000,9000,0.0770,0.1363,0.9802
