seed,arm,score,hard,hc_coverage,hc_skills,hc_one_shift_per_day,hc_forbidden_successions,gini,cv,coverage
1015,Depth2w,4915,17000,9000,0,4000,4000,0.0712,0.1258,0.9109
1015,Depth4w,4885,13000,3000,1000,5000,4000,0.0585,0.1065,0.9703
1015,DepthFull,4885,13000,3000,1000,5000,4000,0.0585,0.1065,0.9703
1016,Off,5585,14000,2000,0,6000,6000,0.0902,0.1612,0.9802
1016,Depth1w,5625,13000,4000,0,4000,5000,0.0730,0.1364,0.9604
1016,Depth2w,4835,15000,5000,2000,4000,4000,0.0650,0.1225,0.9604
1016,Depth4w,5265,17000,4000,1000,5000,7000,0.0636,0.1144,0.9604
1016,DepthFull,5265,17000,4000,1000,5000,7000,0.0636,0.1144,0.9604
1017,Off,5405,10000,1000,2000,1000,6000,0.0826,0.1452,0.9901
1017,Depth1w,4550,15000,5000,0,6000,4000,0.0715,0.1283,0.9505
1017,Depth2w,5260,15000,6000,1000,3000,5000,0.0705,0.1253,0.9406
1017,Depth4w,5035,14000,5000,0,4000,5000,0.0519,0.0973,0.9505
1017,DepthFull,5035,14000,5000,0,4000,5000,0.0519,0.0973,0.9505
1018,Off,4985,13000,2000,0,4000,7000,0.0988,0.1780,0.9802
1018,Depth1w,4845,13000,6000,2000,3000,2000,0.0866,0.1587,0.9505
1018,Depth2w,5145,12000,4000,1000,2000,5000,0.0809,0.1451,0.9604
1018,Depth4w,5240,16000,7000,0,1000,8000,0.0861,0.1561,0.9406
1018,DepthFull,5240,16000,7000,0,1000,8000,0.0861,0.1561,0.9406
1019,Off,5005,15000,7000,1000,4000,3000,0.0915,0.1646,0.9406
1019,Depth1w,4985,10000,4000,0,2000,4000,0.0609,0.1121,0.9604
1019,Depth2w,4965,11000,3000,0,3000,5000,0.0763,0.1346,0.9703
1019,Depth4w,5060,15000,6000,0,4000,5000,0.0633,0.1155,0.9406
1019,DepthFull,5060,15000,6000,0,4000,5000,0.0633,0.1155,0.9406
1020,Off,5415,14000,4000,1000,1000,8000,0.0839,0.1561,0.9604
1020,Depth1w,4670,14000,6000,0,3000,5000,0.0768,0.1357,0.9505
1020,Depth2w,5030,16000,3000,1000,4000,8000,0.0759,0.1414,0.9703
1020,Depth4w,4630,20000,1000,2000,9000,8000,0.0639,0.1154,0.9901
1020,DepthFull,4630,20000,1000,2000,9000,8000,0.0639,0.1154,0.9901
1021,Off,4815,15000,2000,0,4000,9000,0.0890,0.1572,0.9802
1021,Depth1w,6380,15000,5000,0,5000,5000,0.0816,0.1532,0.9604
1021,Depth2w,5105,15000,6000,0,2000,7000,0.0672,0.1200,0.9505
1021,Depth4w,5225,16000,9000,1000,2000,4000,0.0631,0.1182,0.9109
1021,DepthFull,5225,16000,9000,1000,2000,4000,0.0631,0.1182,0.9109
1022,Off,4685,16000,5000,0,1000,10000,0.0791,0.1412,0.9505
1022,Depth1w,5135,14000,3000,0,4000,7000,0.0753,0.1341,0.9802
1022,Depth2w,5110,18000,4000,1000,7000,6000,0.0555,0.0998,0.9604
1022,Depth4w,5300,14000,7000,1000,0,6000,0.0646,0.1144,0.9406
1022,DepthFull,5300,14000,7000,1000,0,6000,0.0646,0.1144,0.9406
1023,Off,5745,15000,5000,1000,3000,6000,0.0804,0.1422,0.9505
1023,Depth1w,4955,13000,5000,0,5000,3000,0.0861,0.1525,0.9604
1023,Depth2w,4885,11000,6000,0,3000,2000,0.0742,0.1380,0.9703
1023,Depth4w,4835,16000,4000,2000,6000,4000,0.0757,0.1348,0.9604
1023,DepthFull,4835,16000,4000,2000,6000,4000,0.0757,0.1348,0.9604
1024,Off,4865,18000,6000,0,5000,7000,0.0887,0.1616,0.9406
1024,Depth1w,4885,12000,2000,1000,4000,5000,0.0663,0.1201,0.9802
1024,Depth2w,4935,17000,4000,0,6000,7000,0.0705,0.1252,0.9703
1024,Depth4w,5455,14000,6000,1000,3000,4000,0.0518,0.0922,0.9505
1024,DepthFull,5455,14000,6000,1000,3000,4000,0.0518,0.0922,0.9505
1025,Off,5645,11000,3000,0,4000,4000,0.0815,0.1450,0.9802
1025,Depth1w,4180,14000,2000,1000,4000,7000,0.0673,0.1206,0.9802
1025,Depth2w,5300,17000,5000,1000,6000,5000,0.0720,0.1290,0.9505
1025,Depth4w,4945,15000,6000,0,4000,5000,0.0720,0.1279,0.9406
1025,DepthFull,4945,15000,6000,0,4000,5000,0.0720,0.1279,0.9406
1026,Off,4890,10000,5000,1000,1000,3000,0.1003,0.1815,0.9505
1026,Depth1w,5480,15000,2000,0,8000,5000,0.0896,0.1569,0.9802
1026,Depth2w,5195,14000,2000,0,5000,7000,0.0706,0.1269,0.9901
1026,Depth4w,5140,18000,5000,1000,4000,8000,0.0600,0.1070,0.9505
1026,DepthFull,5140,18000,5000,1000,4000,8000,0.0600,0.1070,0.9505
1027,Off,5010,15000,5000,0,6000,4000,0.0817,0.1485,0.9505
1027,Depth1w,5190,13000,4000,0,3000,6000,0.0667,0.1209,0.9604
1027,Depth2w,5110,16000,2000,2000,5000,7000,0.0544,0.0994,0.9901
1027,Depth4w,4505,13000,4000,0,2000,7000,0.0734,0.1335,0.9604
1027,DepthFull,4505,13000,4000,0,2000,7000,0.0734,0.1335,0.9604
1028,Off,4755,15000,5000,0,1000,9000,0.0870,0.1568,0.9505
1028,Depth1w,4665,12000,6000,0,2000,4000,0.0689,0.1231,0.9505
1028,Depth2w,4950,18000,5000,0,5000,8000,0.0670,0.1195,0.9604
1028,Depth4w,5110,16000,6000,1000,4000,5000,0.0574,0.1074,0.9406
1028,DepthFull,5110,16000,6000,1000,4000,5000,0.0574,0.1074,0.9406
1029,Off,5490,14000,6000,0,2000,6000,0.0904,0.1669,0.9406
1029,Depth1w,5265,15000,3000,1000,3000,8000,0.0840,0.1486,0.9703
1029,Depth2w,5650,18000,5000,2000,2000,9000,0.0736,0.1329,0.9505
1029,Depth4w,5230,15000,3000,0,3000,9000,0.0770,0.1363,0.9802
1029,DepthFull,5230,15000,3000,0,3000,9000,0.0770,0.1363,0.9802
