env,penalty,mode,seed,gen,pct_carriers,pct_lineages
StaticNull,200,GA,106,550,0.00,0.00
StaticNull,200,GA,106,600,0.00,0.00
StaticNull,200,GA,106,650,0.00,0.00
StaticNull,200,GA,106,700,0.00,0.00
StaticNull,200,GA,106,750,0.00,0.00
StaticNull,200,GA,106,800,0.00,0.00
StaticNull,200,GA,106,850,0.00,0.00
StaticNull,200,GA,106,900,0.00,0.00
StaticNull,200,GA,106,950,0.00,0.00
StaticNull,200,GA,106,1000,0.00,0.00
StaticNull,200,GA,107,0,0.00,0.00
StaticNull,200,GA,107,50,0.00,0.00
StaticNull,200,GA,107,100,0.00,0.00
StaticNull,200,GA,107,150,0.00,0.00
StaticNull,200,GA,107,200,0.00,0.00
StaticNull,200,GA,107,250,0.00,0.00
StaticNull,200,GA,107,300,0.00,0.00
StaticNull,200,GA,107,350,0.00,0.00
StaticNull,200,GA,107,400,0.00,0.00
StaticNull,200,GA,107,450,0.00,0.00
StaticNull,200,GA,107,500,0.00,0.00
StaticNull,200,GA,107,550,0.00,0.00
StaticNull,200,GA,107,600,0.00,0.00
StaticNull,200,GA,107,650,0.00,0.00
StaticNull,200,GA,107,700,0.00,0.00
StaticNull,200,GA,107,750,0.00,0.00
StaticNull,200,GA,107,800,0.00,0.00
StaticNull,200,GA,107,850,0.00,0.00
StaticNull,200,GA,107,900,0.00,0.00
StaticNull,200,GA,107,950,0.00,0.00
StaticNull,200,GA,107,1000,0.00,0.00
StaticNull,200,GA,108,0,0.00,0.00
StaticNull,200,GA,108,50,0.00,0.00
StaticNull,200,GA,108,100,0.00,0.00
StaticNull,200,GA,108,150,0.00,0.00
StaticNull,200,GA,108,200,0.00,0.00
StaticNull,200,GA,108,250,0.00,0.00
StaticNull,200,GA,108,300,0.00,0.00
StaticNull,200,GA,108,350,0.00,0.00
StaticNull,200,GA,108,400,0.00,0.00
StaticNull,200,GA,108,450,0.00,0.00
StaticNull,200,GA,108,500,0.00,0.00
StaticNull,200,GA,108,550,0.00,0.00
StaticNull,200,GA,108,600,0.00,0.00
StaticNull,200,GA,108,650,0.00,0.00
StaticNull,200,GA,108,700,0.00,0.00
StaticNull,200,GA,108,750,0.00,0.00
StaticNull,200,GA,108,800,0.00,0.00
StaticNull,200,GA,108,850,0.00,0.00
StaticNull,200,GA,108,900,0.00,0.00
StaticNull,200,GA,108,950,0.00,0.00
StaticNull,200,GA,108,1000,0.00,0.00
StaticNull,200,GA,109,0,0.00,0.00
StaticNull,200,GA,109,50,0.00,0.00
StaticNull,200,GA,109,100,0.00,0.00
StaticNull,200,GA,109,150,0.00,0.00
StaticNull,200,GA,109,200,0.00,0.00
StaticNull,200,GA,109,250,0.00,0.00
StaticNull,200,GA,109,300,0.00,0.00
StaticNull,200,GA,109,350,0.00,0.00
StaticNull,200,GA,109,400,0.00,0.00
StaticNull,200,GA,109,450,0.00,0.00
StaticNull,200,GA,109,500,0.00,0.00
StaticNull,200,GA,109,550,0.00,0.00
StaticNull,200,GA,109,600,0.00,0.00
StaticNull,200,GA,109,650,0.00,0.00
StaticNull,200,GA,109,700,0.00,0.00
StaticNull,200,GA,109,750,0.00,0.00
StaticNull,200,GA,109,800,0.00,0.00
StaticNull,200,GA,109,850,0.00,0.00
StaticNull,200,GA,109,900,0.00,0.00
StaticNull,200,GA,109,950,0.00,0.00
StaticNull,200,GA,109,1000,0.00,0.00
StaticNull,200,GA,110,0,0.00,0.00
StaticNull,200,GA,110,50,0.00,0.00
StaticNull,200,GA,110,100,0.00,0.00
StaticNull,200,GA,110,150,0.00,0.00
StaticNull,200,GA,110,200,0.00,0.00
StaticNull,200,GA,110,250,0.00,0.00
StaticNull,200,GA,110,300,0.00,0.00
StaticNull,200,GA,110,350,0.00,0.00
StaticNull,200,GA,110,400,0.00,0.00
StaticNull,200,GA,110,450,0.00,0.00
StaticNull,200,GA,110,500,0.00,0.00
StaticNull,200,GA,110,550,0.00,0.00
StaticNull,200,GA,110,600,0.00,0.00
StaticNull,200,GA,110,650,0.00,0.00
StaticNull,200,GA,110,700,0.00,0.00
StaticNull,200,GA,110,750,0.00,0.00
StaticNull,200,GA,110,800,0.00,0.00
StaticNull,200,GA,110,850,0.00,0.00
StaticNull,200,GA,110,900,0.00,0.00
StaticNull,200,GA,110,950,0.00,0.00
StaticNull,200,GA,110,1000,0.00,0.00
StaticNull,200,GA,111,0,0.00,0.00
StaticNull,200,GA,111,50,0.00,0.00
StaticNull,200,GA,111,100,0.00,0.00
StaticNull,200,GA,111,150,0.00,0.00
StaticNull,200,GA,111,200,0.00,0.00
StaticNull,200,GA,111,250,0.00,0.00
StaticNull,200,GA,111,300,0.00,0.00
StaticNull,200,GA,111,350,0.00,0.00
StaticNull,200,GA,111,400,0.00,0.00
StaticNull,200,GA,111,450,0.00,0.00
StaticNull,200,GA,111,500,0.00,0.00
StaticNull,200,GA,111,550,0.00,0.00
StaticNull,200,GA,111,600,0.00,0.00
StaticNull,200,GA,111,650,0.00,0.00
StaticNull,200,GA,111,700,0.00,0.00
StaticNull,200,GA,111,750,0.00,0.00
StaticNull,200,GA,111,800,0.00,0.00
StaticNull,200,GA,111,850,0.00,0.00
StaticNull,200,GA,111,900,0.00,0.00
StaticNull,200,GA,111,950,0.00,0.00
StaticNull,200,GA,111,1000,0.00,0.00
StaticNull,200,GA,112,0,0.00,0.00
StaticNull,200,GA,112,50,0.00,0.00
StaticNull,200,GA,112,100,0.00,0.00
StaticNull,200,GA,112,150,0.00,0.00
StaticNull,200,GA,112,200,0.00,0.00
StaticNull,200,GA,112,250,0.00,0.00
StaticNull,200,GA,112,300,0.00,0.00
StaticNull,200,GA,112,350,0.00,0.00
StaticNull,200,GA,112,400,0.00,0.00
StaticNull,200,GA,112,450,0.00,0.00
StaticNull,200,GA,112,500,0.00,0.00
StaticNull,200,GA,112,550,0.00,0.00
StaticNull,200,GA,112,600,0.00,0.00
StaticNull,200,GA,112,650,0.00,0.00
StaticNull,200,GA,112,700,0.00,0.00
StaticNull,200,GA,112,750,0.00,0.00
StaticNull,200,GA,112,800,0.00,0.00
StaticNull,200,GA,112,850,0.00,0.00
StaticNull,200,GA,112,900,0.00,0.00
StaticNull,200,GA,112,950,0.00,0.00
StaticNull,200,GA,112,1000,0.00,0.00
StaticNull,200,GA,113,0,0.00,0.00
StaticNull,200,GA,113,50,0.00,0.00
StaticNull,200,GA,113,100,0.00,0.00
StaticNull,200,GA,113,150,0.00,0.00
StaticNull,200,GA,113,200,0.00,0.00
StaticNull,200,GA,113,250,0.00,0.00
StaticNull,200,GA,113,300,0.00,0.00
StaticNull,200,GA,113,350,0.00,0.00
StaticNull,200,GA,113,400,0.00,0.00
StaticNull,200,GA,113,450,0.00,0.00
StaticNull,200,GA,113,500,0.00,0.00
StaticNull,200,GA,113,550,0.00,0.00
StaticNull,200,GA,113,600,0.00,0.00
StaticNull,200,GA,113,650,0.00,0.00
StaticNull,200,GA,113,700,0.00,0.00
StaticNull,200,GA,113,750,0.00,0.00
StaticNull,200,GA,113,800,0.00,0.00
StaticNull,200,GA,113,850,0.00,0.00
StaticNull,200,GA,113,900,0.00,0.00
StaticNull,200,GA,113,950,0.00,0.00
StaticNull,200,GA,113,1000,0.00,0.00
StaticNull,200,GA,114,0,0.00,0.00
StaticNull,200,GA,114,50,0.00,0.00
StaticNull,200,GA,114,100,0.00,0.00
StaticNull,200,GA,114,150,0.00,0.00
StaticNull,200,GA,114,200,0.00,0.00
StaticNull,200,GA,114,250,0.00,0.00
StaticNull,200,GA,114,300,0.00,0.00
StaticNull,200,GA,114,350,0.00,0.00
StaticNull,200,GA,114,400,0.00,0.00
StaticNull,200,GA,114,450,0.00,0.00
StaticNull,200,GA,114,500,0.00,0.00
StaticNull,200,GA,114,550,0.00,0.00
StaticNull,200,GA,114,600,0.00,0.00
StaticNull,200,GA,114,650,0.00,0.00
StaticNull,200,GA,114,700,0.00,0.00
StaticNull,200,GA,114,750,0.00,0.00
StaticNull,200,GA,114,800,0.00,0.00
StaticNull,200,GA,114,850,0.00,0.00
StaticNull,200,GA,114,900,0.00,0.00
StaticNull,200,GA,114,950,0.00,0.00
StaticNull,200,GA,114,1000,0.00,0.00
StaticNull,200,GA,115,0,0.00,0.00
StaticNull,200,GA,115,50,0.00,0.00
StaticNull,200,GA,115,100,0.00,0.00
StaticNull,200,GA,115,150,0.00,0.00
StaticNull,200,GA,115,200,0.00,0.00
StaticNull,200,GA,115,250,0.00,0.00
StaticNull,200,GA,115,300,0.00,0.00
StaticNull,200,GA,115,350,0.00,0.00
StaticNull,200,GA,115,400,0.00,0.00
StaticNull,200,GA,115,450,0.00,0.00
StaticNull,200,GA,115,500,0.00,0.00
StaticNull,200,GA,115,550,0.00,0.00
StaticNull,200,GA,115,600,0.00,0.00
StaticNull,200,GA,115,650,0.00,0.00
StaticNull,200,GA,115,700,0.00,0.00
StaticNull,200,GA,115,750,0.00,0.00
StaticNull,200,GA,115,800,0.00,0.00
StaticNull,200,GA,115,850,0.00,0.00
StaticNull,200,GA,115,900,0.00,0.00
StaticNull,200,GA,115,950,0.00,0.00
StaticNull,200,GA,115,1000,0.00,0.00
StaticNull,200,GA,116,0,0.00,0.00
StaticNull,200,GA,116,50,0.00,0.00
StaticNull,200,GA,116,100,0.00,0.00
StaticNull,200,GA,116,150,0.00,0.00
StaticNull,200,GA,116,200,0.00,0.00
StaticNull,200,GA,116,250,0.00,0.00
StaticNull,200,GA,116,300,0.00,0.00
StaticNull,200,GA,116,350,0.00,0.00
StaticNull,200,GA,116,400,0.00,0.00
StaticNull,200,GA,116,450,0.00,0.00
StaticNull,200,GA,116,500,0.00,0.00
StaticNull,200,GA,116,550,0.00,0.00
StaticNull,200,GA,116,600,0.00,0.00
StaticNull,200,GA,116,650,0.00,0.00
StaticNull,200,GA,116,700,0.00,0.00
StaticNull,200,GA,116,750,0.00,0.00
StaticNull,200,GA,116,800,0.00,0.00
StaticNull,200,GA,116,850,0.00,0.00
StaticNull,200,GA,116,900,0.00,0.00
StaticNull,200,GA,116,950,0.00,0.00
StaticNull,200,GA,116,1000,0.00,0.00
StaticNull,200,GA,117,0,0.00,0.00
StaticNull,200,GA,117,50,0.00,0.00
StaticNull,200,GA,117,100,0.00,0.00
StaticNull,200,GA,117,150,0.00,0.00
StaticNull,200,GA,117,200,0.00,0.00
StaticNull,200,GA,117,250,0.00,0.00
StaticNull,200,GA,117,300,0.00,0.00
StaticNull,200,GA,117,350,0.00,0.00
StaticNull,200,GA,117,400,0.00,0.00
StaticNull,200,GA,117,450,0.00,0.00
StaticNull,200,GA,117,500,0.00,0.00
StaticNull,200,GA,117,550,0.00,0.00
StaticNull,200,GA,117,600,0.00,0.00
StaticNull,200,GA,117,650,0.00,0.00
StaticNull,200,GA,117,700,0.00,0.00
StaticNull,200,GA,117,750,0.00,0.00
StaticNull,200,GA,117,800,0.00,0.00
StaticNull,200,GA,117,850,0.00,0.00
StaticNull,200,GA,117,900,0.00,0.00
StaticNull,200,GA,117,950,0.00,0.00
StaticNull,200,GA,117,1000,0.00,0.00
StaticNull,200,GA,118,0,0.00,0.00
StaticNull,200,GA,118,50,0.00,0.00
StaticNull,200,GA,118,100,0.00,0.00
StaticNull,200,GA,118,150,0.00,0.00
StaticNull,200,GA,118,200,0.00,0.00
StaticNull,200,GA,118,250,0.00,0.00
StaticNull,200,GA,118,300,0.00,0.00
StaticNull,200,GA,118,350,0.00,0.00
StaticNull,200,GA,118,400,0.00,0.00
StaticNull,200,GA,118,450,0.00,0.00
StaticNull,200,GA,118,500,0.00,0.00
StaticNull,200,GA,118,550,0.00,0.00
StaticNull,200,GA,118,600,0.00,0.00
StaticNull,200,GA,118,650,0.00,0.00
StaticNull,200,GA,118,700,0.00,0.00
StaticNull,200,GA,118,750,0.00,0.00
StaticNull,200,GA,118,800,0.00,0.00
StaticNull,200,GA,118,850,0.00,0.00
StaticNull,200,GA,118,900,0.00,0.00
StaticNull,200,GA,118,950,0.00,0.00
StaticNull,200,GA,118,1000,0.00,0.00
StaticNull,200,GA,119,0,0.00,0.00
StaticNull,200,GA,119,50,0.00,0.00
StaticNull,200,GA,119,100,0.00,0.00
StaticNull,200,GA,119,150,0.00,0.00
StaticNull,200,GA,119,200,0.00,0.00
StaticNull,200,GA,119,250,0.00,0.00
StaticNull,200,GA,119,300,0.00,0.00
StaticNull,200,GA,119,350,0.00,0.00
StaticNull,200,GA,119,400,0.00,0.00
StaticNull,200,GA,119,450,0.00,0.00
StaticNull,200,GA,119,500,0.00,0.00
StaticNull,200,GA,119,550,0.00,0.00
StaticNull,200,GA,119,600,0.00,0.00
StaticNull,200,GA,119,650,0.00,0.00
StaticNull,200,GA,119,700,0.00,0.00
StaticNull,200,GA,119,750,0.00,0.00
StaticNull,200,GA,119,800,0.00,0.00
StaticNull,200,GA,119,850,0.00,0.00
StaticNull,200,GA,119,900,0.00,0.00
StaticNull,200,GA,119,950,0.00,0.00
StaticNull,200,GA,119,1000,0.00,0.00
StaticNull,200,PureSA,100,0,0.00,0.00
StaticNull,200,PureSA,100,50,0.00,0.00
