env,penalty,mode,seed,target,coverage,entropy,reachability,recovery,shock
DelayedPayoff,500,GA-Base,105,X,2,0.9710,5,999,-0.1228
DelayedPayoff,500,GA-Base,106,Z,1,0.0000,8,999,0.0000
DelayedPayoff,500,GA-Base,107,X,1,0.0000,8,999,-0.2000
DelayedPayoff,500,GA-Base,108,Z,1,0.0000,6,999,0.6792
DelayedPayoff,500,GA-Base,109,Y,2,1.0000,4,999,0.2000
DelayedPayoff,500,GA-Base,110,X,2,0.9183,5,258,0.1000
DelayedPayoff,500,GA-Base,111,Y,1,0.0000,8,999,0.6000
DelayedPayoff,500,GA-Base,112,Z,0,0.0000,7,999,0.0000
DelayedPayoff,500,GA-Base,113,X,0,0.0000,6,999,0.0000
DelayedPayoff,500,GA-Base,114,Z,2,0.8113,3,999,0.4415
DelayedPayoff,500,GA-Base,115,Y,1,0.0000,9,999,0.0000
DelayedPayoff,500,GA-Base,116,Z,1,0.0000,5,999,-0.0163
DelayedPayoff,500,GA-Base,117,Z,2,0.9183,8,999,0.4607
DelayedPayoff,500,GA-Base,118,X,1,0.0000,6,999,0.0000
DelayedPayoff,500,GA-Base,119,Y,1,0.0000,6,999,0.1837
DelayedPayoff,500,Island,100,Z,1,0.0000,8,999,-0.6163
DelayedPayoff,500,Island,101,Z,0,0.0000,7,999,0.0163
DelayedPayoff,500,Island,102,Z,0,0.0000,6,999,0.0000
DelayedPayoff,500,Island,103,Z,2,1.0000,6,999,-0.3510
DelayedPayoff,500,Island,104,X,2,1.0000,3,999,0.2170
DelayedPayoff,500,Island,105,X,1,0.0000,6,999,-0.1837
DelayedPayoff,500,Island,106,Z,1,0.0000,7,999,0.2000
DelayedPayoff,500,Island,107,X,2,0.9183,5,999,0.4000
DelayedPayoff,500,Island,108,Z,2,0.9183,6,999,-0.6000
DelayedPayoff,500,Island,109,Y,2,1.0000,5,999,-0.1837
DelayedPayoff,500,Island,110,X,0,0.0000,6,999,0.0000
DelayedPayoff,500,Island,111,Y,0,0.0000,6,999,0.0000
DelayedPayoff,500,Island,112,Z,1,0.0000,7,999,-0.2000
DelayedPayoff,500,Island,113,X,0,0.0000,10,999,0.0000
DelayedPayoff,500,Island,114,Z,1,0.0000,4,999,-0.4170
DelayedPayoff,500,Island,115,Y,0,0.0000,9,999,0.0000
DelayedPayoff,500,Island,116,Z,0,0.0000,7,999,0.2000
DelayedPayoff,500,Island,117,Z,1,0.0000,7,999,-0.2000
DelayedPayoff,500,Island,118,X,0,0.0000,7,999,0.4000
DelayedPayoff,500,Island,119,Y,1,0.0000,6,999,-0.3000
