seed,scale_factor,initial_gini,arm,score,hard,hc_coverage,hc_skills,hc_one_shift_per_day,hc_forbidden_successions,final_gini,cv,coverage
1027,2.00,0.5000,FullEcology,4505,13000,4000,0,2000,7000,0.3079,0.5883,0.9604
1028,0.00,0.0000,Off,4755,15000,5000,0,1000,9000,0.0368,0.0663,0.9505
1028,0.00,0.0000,FullEcology,5110,16000,6000,1000,4000,5000,0.0242,0.0452,0.9406
1028,0.25,0.0610,Off,4755,15000,5000,0,1000,9000,0.0525,0.0938,0.9505
1028,0.25,0.0610,FullEcology,5110,16000,6000,1000,4000,5000,0.0515,0.0911,0.9406
1028,0.50,0.1250,Off,4755,15000,5000,0,1000,9000,0.0883,0.1552,0.9505
1028,0.50,0.1250,FullEcology,5110,16000,6000,1000,4000,5000,0.0884,0.1596,0.9406
1028,1.00,0.2500,Off,4755,15000,5000,0,1000,9000,0.1604,0.2922,0.9505
1028,1.00,0.2500,FullEcology,5110,16000,6000,1000,4000,5000,0.1608,0.3013,0.9406
1028,2.00,0.5000,Off,4755,15000,5000,0,1000,9000,0.3046,0.5769,0.9505
1028,2.00,0.5000,FullEcology,5110,16000,6000,1000,4000,5000,0.3054,0.5889,0.9406
1029,0.00,0.0000,Off,5490,14000,6000,0,2000,6000,0.0379,0.0698,0.9406
1029,0.00,0.0000,FullEcology,5230,15000,3000,0,3000,9000,0.0322,0.0570,0.9802
1029,0.25,0.0610,Off,5490,14000,6000,0,2000,6000,0.0540,0.0980,0.9406
1029,0.25,0.0610,FullEcology,5230,15000,3000,0,3000,9000,0.0468,0.0840,0.9802
1029,0.50,0.1250,Off,5490,14000,6000,0,2000,6000,0.0904,0.1595,0.9406
1029,0.50,0.1250,FullEcology,5230,15000,3000,0,3000,9000,0.0835,0.1479,0.9802
1029,1.00,0.2500,Off,5490,14000,6000,0,2000,6000,0.1630,0.2971,0.9406
1029,1.00,0.2500,FullEcology,5230,15000,3000,0,3000,9000,0.1563,0.2878,0.9802
1029,2.00,0.5000,Off,5490,14000,6000,0,2000,6000,0.3084,0.5836,0.9406
1029,2.00,0.5000,FullEcology,5230,15000,3000,0,3000,9000,0.3017,0.5760,0.9802
