mode,seed,target,coverage,half_life,recovery,origin
T4,175,Z,0,104,999,None
T4,176,X,2,104,999,None
T4,177,Z,1,36,999,None
T4,178,Y,2,90,999,None
T4,179,Y,2,60,999,None
T4,180,Y,2,31,999,None
T4,181,Y,2,63,999,None
T4,182,Z,2,64,999,None
T4,183,X,2,36,999,None
T4,184,Z,2,99,999,None
T4,185,Y,2,66,999,None
T4,186,X,1,73,999,None
T4,187,Z,2,58,999,None
T4,188,Y,1,40,999,None
T4,189,Y,1,30,999,None
T4,190,Y,1,57,999,None
T4,191,Z,1,43,999,None
T4,192,Z,1,67,999,None
T4,193,Z,0,41,999,None
T4,194,Z,1,60,999,None
T4,195,X,2,72,999,None
T4,196,Y,1,84,999,None
T4,197,Z,1,52,999,None
T4,198,X,0,51,999,None
T4,199,Z,2,50,999,None
T8,100,Z,1,40,999,None
T8,101,Z,2,49,999,None
T8,102,Z,2,39,999,None
T8,103,Z,1,8,999,None
T8,104,X,1,29,999,None
T8,105,X,0,52,999,None
T8,106,Z,2,70,999,None
T8,107,X,1,69,999,None
T8,108,Z,1,40,999,None
T8,109,Y,1,41,999,None
T8,110,X,2,90,999,None
T8,111,Y,3,105,999,None
T8,112,Z,1,44,999,None
T8,113,X,3,76,999,None
T8,114,Z,0,39,999,None
T8,115,Y,1,51,999,None
T8,116,Z,3,19,999,None
T8,117,Z,1,9,999,None
T8,118,X,2,39,999,None
T8,119,Y,1,21,999,None
T8,120,X,2,39,999,None
T8,121,X,1,47,999,None
T8,122,Z,3,48,999,None
T8,123,X,0,56,999,None
T8,124,Y,2,70,999,None
T8,125,Y,3,103,999,None
T8,126,Z,1,116,999,None
T8,127,X,1,51,999,None
T8,128,Z,2,14,999,None
T8,129,Y,2,50,999,None
T8,130,X,3,58,999,None
T8,131,X,1,23,999,None
T8,132,Y,1,99,999,None
T8,133,Y,0,114,999,None
T8,134,Y,1,66,999,None
T8,135,Y,0,40,999,None
T8,136,X,2,9,999,None
T8,137,X,1,61,999,None
T8,138,Y,2,49,999,None
T8,139,Z,3,55,999,None
T8,140,Z,3,92,999,None
T8,141,X,1,10,999,None
T8,142,X,2,71,999,None
T8,143,Y,2,17,999,None
T8,144,Z,1,54,999,None
T8,145,Z,3,86,999,None
T8,146,Z,1,61,999,None
T8,147,Y,2,89,999,None
T8,148,X,1,18,999,None
T8,149,Y,0,13,999,None
T8,150,Z,2,51,999,None
T8,151,Z,2,36,999,None
T8,152,X,2,17,999,None
T8,153,Y,2,9,999,None
T8,154,Z,1,59,999,None
T8,155,X,1,66,999,None
T8,156,X,3,20,999,None
T8,157,Y,1,15,999,None
T8,158,Z,2,37,999,None
T8,159,Y,3,8,999,None
T8,160,Y,2,36,999,None
T8,161,Y,1,57,340,Rediscovered
T8,162,Y,1,6,999,None
T8,163,Z,2,43,999,None
T8,164,X,0,29,999,None
T8,165,Y,1,20,999,None
T8,166,Y,2,43,999,None
T8,167,Y,2,81,999,None
T8,168,Z,2,52,999,None
T8,169,Z,2,118,999,None
T8,170,Y,0,159,999,None
T8,171,Z,3,74,999,None
T8,172,X,2,121,999,None
T8,173,Y,3,77,999,None
T8,174,Z,2,15,999,None
T8,175,Z,1,65,999,None
T8,176,X,1,90,999,None
T8,177,Z,1,29,999,None
T8,178,Y,1,62,999,None
T8,179,Y,0,61,999,None
T8,180,Y,2,67,999,None
T8,181,Y,2,44,999,None
T8,182,Z,0,41,999,None
T8,183,X,1,45,999,None
T8,184,Z,0,35,999,None
T8,185,Y,2,25,999,None
T8,186,X,0,13,999,None
T8,187,Z,1,11,999,None
T8,188,Y,0,43,999,None
T8,189,Y,1,49,999,None
T8,190,Y,2,8,999,None
T8,191,Z,3,42,999,None
T8,192,Z,1,33,999,None
T8,193,Z,1,84,999,None
T8,194,Z,1,44,999,None
T8,195,X,0,47,999,None
T8,196,Y,1,29,999,None
T8,197,Z,1,68,999,None
T8,198,X,3,57,999,None
T8,199,Z,0,60,999,None
T16,100,Z,1,49,999,None
T16,101,Z,1,33,999,None
T16,102,Z,1,28,999,None
T16,103,Z,0,54,999,None
T16,104,X,3,64,999,None
T16,105,X,2,89,999,None
T16,106,Z,0,40,999,None
T16,107,X,0,30,999,None
T16,108,Z,2,26,999,None
T16,109,Y,0,59,999,None
T16,110,X,1,70,999,None
T16,111,Y,1,36,999,None
T16,112,Z,2,33,999,None
T16,113,X,1,66,999,None
T16,114,Z,1,51,999,None
T16,115,Y,1,4,999,None
T16,116,Z,2,27,999,None
T16,117,Z,2,123,999,None
T16,118,X,2,8,999,None
T16,119,Y,1,17,999,None
T16,120,X,1,166,999,None
T16,121,X,1,72,999,None
T16,122,Z,1,69,999,None
T16,123,X,1,9,999,None
T16,124,Y,2,32,999,None
T16,125,Y,2,9,999,None
T16,126,Z,3,3,999,None
T16,127,X,0,5,188,Recovered
T16,128,Z,2,6,999,None
T16,129,Y,2,54,999,None
T16,130,X,2,118,999,None
T16,131,X,1,41,999,None
T16,132,Y,3,31,999,None
T16,133,Y,1,85,999,None
T16,134,Y,2,79,999,None
T16,135,Y,0,45,999,None
T16,136,X,1,54,999,None
T16,137,X,2,8,999,None
T16,138,Y,2,78,999,None
T16,139,Z,1,5,999,None
T16,140,Z,0,50,999,None
T16,141,X,2,6,999,None
T16,142,X,0,53,999,None
T16,143,Y,2,37,999,None
T16,144,Z,1,42,999,None
T16,145,Z,1,38,999,None
T16,146,Z,2,7,999,None
T16,147,Y,1,9,999,None
T16,148,X,2,10,999,None
T16,149,Y,3,62,999,None
T16,150,Z,2,24,999,None
T16,151,Z,1,58,999,None
T16,152,X,0,61,320,Rediscovered
T16,153,Y,1,38,999,None
T16,154,Z,1,7,999,None
T16,155,X,0,67,999,None
T16,156,X,1,57,999,None
T16,157,Y,2,22,999,None
T16,158,Z,1,53,999,None
T16,159,Y,1,52,999,None
T16,160,Y,1,17,999,None
T16,161,Y,0,41,999,None
T16,162,Y,2,7,999,None
T16,163,Z,1,64,999,None
T16,164,X,1,72,999,None
T16,165,Y,0,59,999,None
T16,166,Y,1,61,999,None
T16,167,Y,2,24,999,None
T16,168,Z,1,96,999,None
T16,169,Z,3,39,999,None
T16,170,Y,2,21,999,None
T16,171,Z,1,92,999,None
T16,172,X,1,13,999,None
T16,173,Y,2,46,999,None
T16,174,Z,1,6,999,None
T16,175,Z,1,62,999,None
T16,176,X,2,63,999,None
T16,177,Z,3,70,999,None
T16,178,Y,1,39,999,None
T16,179,Y,1,72,999,None
T16,180,Y,0,43,999,None
T16,181,Y,2,72,999,None
T16,182,Z,1,47,999,None
T16,183,X,2,54,999,None
T16,184,Z,1,76,999,None
T16,185,Y,0,24,999,None
T16,186,X,1,46,999,None
T16,187,Z,1,11,999,None
T16,188,Y,0,21,999,None
T16,189,Y,2,102,999,None
T16,190,Y,1,47,999,None
T16,191,Z,2,52,999,None
T16,192,Z,2,48,999,None
T16,193,Z,1,20,999,None
T16,194,Z,1,135,999,None
T16,195,X,1,54,999,None
T16,196,Y,2,73,999,None
T16,197,Z,1,13,162,Recovered
T16,198,X,2,30,999,None
T16,199,Z,1,20,999,None
T32,100,Z,2,34,999,None
T32,101,Z,3,61,999,None
T32,102,Z,2,5,999,None
T32,103,Z,3,96,999,None
T32,104,X,2,6,999,None
T32,105,X,2,3,999,None
T32,106,Z,1,107,999,None
T32,107,X,1,7,999,None
T32,108,Z,1,73,999,None
T32,109,Y,0,4,999,None
T32,110,X,2,12,999,None
T32,111,Y,1,25,999,None
T32,112,Z,1,6,999,None
T32,113,X,2,62,999,None
T32,114,Z,2,3,999,None
T32,115,Y,0,4,999,None
T32,116,Z,2,40,999,None
T32,117,Z,1,7,999,None
T32,118,X,2,5,999,None
T32,119,Y,1,7,999,None
T32,120,X,1,56,999,None
T32,121,X,0,41,999,None
T32,122,Z,1,68,999,None
T32,123,X,2,55,999,None
