env,penalty,mode,seed,gen,dist0,dist2,dist5,dist10
StaticNull,200,GA,104,900,0.00,0.00,2.00,66.00
StaticNull,200,GA,104,950,0.00,0.00,1.00,53.00
StaticNull,200,GA,104,1000,0.00,0.00,1.00,63.00
StaticNull,200,GA,105,0,0.00,0.00,0.00,46.00
StaticNull,200,GA,105,50,0.00,0.00,0.00,45.00
StaticNull,200,GA,105,100,0.00,0.00,0.00,31.00
StaticNull,200,GA,105,150,0.00,0.00,0.00,55.00
StaticNull,200,GA,105,200,0.00,0.00,0.00,30.00
StaticNull,200,GA,105,250,0.00,0.00,0.00,43.00
StaticNull,200,GA,105,300,0.00,0.00,0.00,30.00
StaticNull,200,GA,105,350,0.00,0.00,0.00,41.00
StaticNull,200,GA,105,400,0.00,0.00,1.00,76.00
StaticNull,200,GA,105,450,0.00,0.00,0.00,37.00
StaticNull,200,GA,105,500,0.00,0.00,2.00,61.00
StaticNull,200,GA,105,550,0.00,0.00,1.00,36.00
StaticNull,200,GA,105,600,0.00,0.00,0.00,65.00
StaticNull,200,GA,105,650,0.00,0.00,1.00,60.00
StaticNull,200,GA,105,700,0.00,0.00,0.00,37.00
StaticNull,200,GA,105,750,0.00,0.00,0.00,72.00
StaticNull,200,GA,105,800,0.00,0.00,0.00,36.00
StaticNull,200,GA,105,850,0.00,0.00,2.00,50.00
StaticNull,200,GA,105,900,0.00,0.00,0.00,47.00
StaticNull,200,GA,105,950,0.00,0.00,0.00,56.00
StaticNull,200,GA,105,1000,0.00,0.00,0.00,41.00
StaticNull,200,GA,106,0,0.00,0.00,0.00,39.00
StaticNull,200,GA,106,50,0.00,0.00,9.00,91.00
StaticNull,200,GA,106,100,0.00,0.00,6.00,90.00
StaticNull,200,GA,106,150,0.00,0.00,4.00,80.00
StaticNull,200,GA,106,200,0.00,0.00,7.00,93.00
StaticNull,200,GA,106,250,0.00,1.00,9.00,94.00
StaticNull,200,GA,106,300,0.00,0.00,3.00,83.00
StaticNull,200,GA,106,350,0.00,0.00,1.00,87.00
StaticNull,200,GA,106,400,0.00,0.00,9.00,88.00
StaticNull,200,GA,106,450,0.00,0.00,11.00,94.00
StaticNull,200,GA,106,500,0.00,0.00,8.00,94.00
StaticNull,200,GA,106,550,0.00,0.00,7.00,86.00
StaticNull,200,GA,106,600,0.00,1.00,17.00,94.00
StaticNull,200,GA,106,650,0.00,0.00,11.00,94.00
StaticNull,200,GA,106,700,0.00,0.00,5.00,91.00
StaticNull,200,GA,106,750,0.00,1.00,5.00,86.00
StaticNull,200,GA,106,800,0.00,0.00,1.00,95.00
StaticNull,200,GA,106,850,0.00,1.00,12.00,93.00
StaticNull,200,GA,106,900,0.00,0.00,10.00,98.00
StaticNull,200,GA,106,950,0.00,0.00,4.00,86.00
StaticNull,200,GA,106,1000,0.00,1.00,8.00,90.00
StaticNull,200,GA,107,0,0.00,0.00,0.00,57.00
StaticNull,200,GA,107,50,0.00,0.00,4.00,97.00
StaticNull,200,GA,107,100,0.00,0.00,0.00,84.00
StaticNull,200,GA,107,150,0.00,0.00,6.00,90.00
StaticNull,200,GA,107,200,0.00,0.00,4.00,87.00
StaticNull,200,GA,107,250,0.00,0.00,3.00,92.00
StaticNull,200,GA,107,300,0.00,0.00,1.00,90.00
StaticNull,200,GA,107,350,0.00,0.00,0.00,77.00
StaticNull,200,GA,107,400,0.00,0.00,3.00,95.00
StaticNull,200,GA,107,450,0.00,0.00,0.00,80.00
StaticNull,200,GA,107,500,0.00,0.00,2.00,83.00
StaticNull,200,GA,107,550,0.00,0.00,0.00,63.00
StaticNull,200,GA,107,600,0.00,0.00,2.00,77.00
StaticNull,200,GA,107,650,0.00,0.00,0.00,74.00
StaticNull,200,GA,107,700,0.00,0.00,1.00,92.00
StaticNull,200,GA,107,750,0.00,0.00,1.00,72.00
StaticNull,200,GA,107,800,0.00,0.00,1.00,83.00
StaticNull,200,GA,107,850,0.00,0.00,1.00,85.00
StaticNull,200,GA,107,900,0.00,0.00,2.00,76.00
StaticNull,200,GA,107,950,0.00,0.00,2.00,92.00
StaticNull,200,GA,107,1000,0.00,0.00,2.00,81.00
StaticNull,200,GA,108,0,0.00,0.00,2.00,54.00
StaticNull,200,GA,108,50,0.00,0.00,0.00,60.00
StaticNull,200,GA,108,100,0.00,0.00,0.00,73.00
StaticNull,200,GA,108,150,0.00,0.00,1.00,70.00
StaticNull,200,GA,108,200,0.00,0.00,0.00,70.00
StaticNull,200,GA,108,250,0.00,0.00,0.00,78.00
StaticNull,200,GA,108,300,0.00,0.00,0.00,83.00
StaticNull,200,GA,108,350,0.00,0.00,2.00,77.00
StaticNull,200,GA,108,400,0.00,0.00,0.00,50.00
StaticNull,200,GA,108,450,0.00,0.00,2.00,74.00
StaticNull,200,GA,108,500,0.00,0.00,0.00,73.00
StaticNull,200,GA,108,550,0.00,0.00,4.00,74.00
StaticNull,200,GA,108,600,0.00,0.00,0.00,66.00
StaticNull,200,GA,108,650,0.00,0.00,1.00,57.00
StaticNull,200,GA,108,700,0.00,0.00,4.00,66.00
StaticNull,200,GA,108,750,0.00,0.00,0.00,53.00
StaticNull,200,GA,108,800,0.00,0.00,1.00,63.00
StaticNull,200,GA,108,850,0.00,0.00,0.00,55.00
StaticNull,200,GA,108,900,0.00,0.00,0.00,67.00
StaticNull,200,GA,108,950,0.00,0.00,2.00,70.00
StaticNull,200,GA,108,1000,0.00,0.00,0.00,47.00
StaticNull,200,GA,109,0,0.00,1.00,3.00,42.00
StaticNull,200,GA,109,50,0.00,0.00,0.00,43.00
StaticNull,200,GA,109,100,0.00,0.00,1.00,34.00
StaticNull,200,GA,109,150,0.00,0.00,0.00,55.00
StaticNull,200,GA,109,200,0.00,0.00,0.00,37.00
StaticNull,200,GA,109,250,0.00,0.00,0.00,26.00
StaticNull,200,GA,109,300,0.00,0.00,0.00,31.00
StaticNull,200,GA,109,350,0.00,0.00,0.00,34.00
StaticNull,200,GA,109,400,0.00,0.00,0.00,36.00
StaticNull,200,GA,109,450,0.00,0.00,0.00,32.00
StaticNull,200,GA,109,500,0.00,0.00,0.00,37.00
StaticNull,200,GA,109,550,0.00,0.00,0.00,51.00
StaticNull,200,GA,109,600,0.00,0.00,0.00,35.00
StaticNull,200,GA,109,650,0.00,0.00,0.00,55.00
StaticNull,200,GA,109,700,0.00,0.00,0.00,42.00
StaticNull,200,GA,109,750,0.00,0.00,0.00,26.00
StaticNull,200,GA,109,800,0.00,0.00,0.00,59.00
StaticNull,200,GA,109,850,0.00,0.00,0.00,27.00
StaticNull,200,GA,109,900,0.00,0.00,0.00,24.00
StaticNull,200,GA,109,950,0.00,0.00,0.00,45.00
StaticNull,200,GA,109,1000,0.00,0.00,0.00,52.00
StaticNull,200,GA,110,0,0.00,0.00,2.00,54.00
StaticNull,200,GA,110,50,0.00,0.00,0.00,70.00
StaticNull,200,GA,110,100,0.00,0.00,2.00,75.00
StaticNull,200,GA,110,150,0.00,0.00,5.00,86.00
StaticNull,200,GA,110,200,0.00,0.00,4.00,81.00
StaticNull,200,GA,110,250,0.00,0.00,2.00,71.00
StaticNull,200,GA,110,300,0.00,0.00,2.00,75.00
StaticNull,200,GA,110,350,0.00,0.00,1.00,58.00
StaticNull,200,GA,110,400,0.00,0.00,0.00,81.00
StaticNull,200,GA,110,450,0.00,0.00,1.00,77.00
StaticNull,200,GA,110,500,0.00,0.00,2.00,84.00
StaticNull,200,GA,110,550,0.00,0.00,0.00,64.00
StaticNull,200,GA,110,600,0.00,0.00,3.00,88.00
StaticNull,200,GA,110,650,0.00,0.00,1.00,72.00
StaticNull,200,GA,110,700,0.00,0.00,2.00,80.00
StaticNull,200,GA,110,750,0.00,0.00,2.00,78.00
StaticNull,200,GA,110,800,0.00,0.00,0.00,70.00
StaticNull,200,GA,110,850,0.00,0.00,0.00,75.00
StaticNull,200,GA,110,900,0.00,0.00,2.00,75.00
StaticNull,200,GA,110,950,0.00,0.00,2.00,73.00
StaticNull,200,GA,110,1000,0.00,0.00,0.00,73.00
StaticNull,200,GA,111,0,0.00,0.00,2.00,58.00
StaticNull,200,GA,111,50,0.00,0.00,0.00,67.00
StaticNull,200,GA,111,100,0.00,0.00,3.00,73.00
StaticNull,200,GA,111,150,0.00,0.00,0.00,57.00
StaticNull,200,GA,111,200,0.00,0.00,2.00,70.00
StaticNull,200,GA,111,250,0.00,0.00,0.00,74.00
StaticNull,200,GA,111,300,0.00,0.00,0.00,62.00
StaticNull,200,GA,111,350,0.00,0.00,1.00,76.00
StaticNull,200,GA,111,400,0.00,0.00,0.00,49.00
StaticNull,200,GA,111,450,0.00,0.00,0.00,55.00
StaticNull,200,GA,111,500,0.00,0.00,0.00,70.00
StaticNull,200,GA,111,550,0.00,0.00,0.00,45.00
StaticNull,200,GA,111,600,0.00,0.00,0.00,71.00
StaticNull,200,GA,111,650,0.00,0.00,2.00,53.00
StaticNull,200,GA,111,700,0.00,0.00,0.00,60.00
StaticNull,200,GA,111,750,0.00,0.00,1.00,67.00
StaticNull,200,GA,111,800,0.00,0.00,2.00,76.00
StaticNull,200,GA,111,850,0.00,0.00,1.00,71.00
StaticNull,200,GA,111,900,0.00,0.00,0.00,71.00
StaticNull,200,GA,111,950,0.00,0.00,0.00,65.00
StaticNull,200,GA,111,1000,0.00,0.00,2.00,56.00
StaticNull,200,GA,112,0,0.00,0.00,1.00,48.00
StaticNull,200,GA,112,50,0.00,0.00,1.00,89.00
StaticNull,200,GA,112,100,0.00,0.00,3.00,82.00
StaticNull,200,GA,112,150,0.00,0.00,2.00,78.00
StaticNull,200,GA,112,200,0.00,0.00,3.00,71.00
StaticNull,200,GA,112,250,0.00,0.00,4.00,66.00
StaticNull,200,GA,112,300,0.00,0.00,4.00,73.00
StaticNull,200,GA,112,350,0.00,0.00,1.00,81.00
StaticNull,200,GA,112,400,0.00,0.00,0.00,59.00
StaticNull,200,GA,112,450,0.00,0.00,3.00,78.00
StaticNull,200,GA,112,500,0.00,0.00,0.00,86.00
StaticNull,200,GA,112,550,0.00,0.00,1.00,78.00
