instance,seed,category,total_generations,max_generation,validity_collapse_gen,diversity_collapse_gen,diversity_before_validity,final_valid_count,final_unique_fitness,final_best_obj,final_best_mlu,final_best_sdi,final_stagnation,zero_valid_fraction,mono_diversity_fraction,peak_valid_count,peak_valid_gen
setA-01,0,shape_competition,91,90,,,,50,12,49.80708425515029,0.7187466297135101,1.9949529448276515,20,0.0,0.0,50,4
setA-02,0,collapsed_basin,21,20,0,0,False,0,1,,,0.0,20,1.0,1.0,0,0
setA-03,0,shape_competition,81,80,,,,48,15,60.40175611840564,0.7731619309951275,2.2577758064827056,20,0.0,0.0,50,9
setA-04,0,collapsed_basin,14,13,,,,50,43,63.39936391512485,0.5919812814070351,1.6697912822907022,1,0.0,0.0,50,4
setA-05,0,collapsed_basin,11,10,,,,50,48,13.56599402282129,0.16871078406318077,0.4331204188885967,0,0.0,0.0,50,1
setA-06,0,collapsed_basin,13,12,,,,50,49,54.17881604310437,0.57042255,1.7822383305535032,0,0.0,0.0,50,6
setA-07,0,collapsed_basin,21,20,0,0,False,0,1,,,0.0,20,1.0,1.0,0,0
setA-08,0,collapsed_basin,9,8,,,,50,49,51.64859853293773,0.5575749652890812,1.4100088731632645,0,0.0,0.0,50,5
setA-09,0,shape_competition,11,10,,,,50,46,156.84541872640386,0.7302781598513011,2.272206631706088,0,0.0,0.0,50,7
setA-10,0,shape_competition,11,10,,,,50,49,86.873424045778,0.6510870500000001,1.9316334936574804,0,0.0,0.0,50,7
setA-11,0,shape_competition,10,9,,,,50,48,113.13904013186192,0.7186028118609407,1.808616949121436,0,0.0,0.0,50,4
setA-12,0,shape_competition,11,10,,,,50,50,18.380807680702702,0.7599738112431678,1.3643883012248488,0,0.0,0.0,50,6
setA-13,0,shape_competition,6,5,,,,43,43,70.43584064934211,0.794871,2.409405347416052,0,0.0,0.0,43,5
setA-14,0,shape_competition,8,7,,,,49,48,91.83983165104212,0.6000772856270775,1.7054826209370506,0,0.0,0.0,49,7
setA-15,0,shape_competition,8,7,,,,49,48,243.66355913145506,0.8619509041916167,2.641905642354947,0,0.0,0.0,50,4
setA-16,0,shape_competition,5,4,0,0,False,0,1,,,0.0,4,1.0,1.0,0,0
setA-17,0,shape_competition,2,1,,,,32,33,61.58262321868452,0.4405074334290816,1.2431579493118035,0,0.0,0.0,32,1
setA-18,0,unknown,4,3,,,,30,29,799246.6876412014,0.8166821312540611,2.2418743928649376,0,0.0,0.0,30,3
setA-19,0,unknown,3,2,0,0,False,0,1,,,0.0,2,1.0,1.0,0,0
setA-20,0,unknown,2,1,0,0,False,0,1,,,0.0,1,1.0,1.0,0,0
