generation,valid_count,population_size,unique_fitness_count,stagnation,best_obj,best_mlu,best_sdi,crossover_count,mutation_count,gen_moves_peak,gen_moves_shoulder,gen_moves_transition,gen_moves_tail,gen_moves_mixed,gen_moves_neutral
0,7,50,8,0,99.39187869242852,0.9225353500000001,2.5475508504950906,0,0,,,,,,
1,10,50,11,1,99.39187869242852,0.9225353500000001,2.5475508504950906,0,0,,,,,,
2,19,50,19,0,74.77132821564624,0.79577455,2.3563856772312164,0,0,,,,,,
3,30,50,29,0,67.11005901553273,0.7676057000000001,2.203442804206105,0,0,,,,,,
4,35,50,35,0,63.54111675439448,0.661971775,2.11279672619021,0,0,,,,,,
5,44,50,44,1,63.54111675439448,0.661971775,2.11279672619021,0,0,,,,,,
6,50,50,47,2,63.54111675439448,0.661971775,2.11279672619021,0,0,,,,,,
7,49,50,47,0,59.93574535363804,0.6830987,2.0073404649634954,0,0,,,,,,
8,50,50,47,0,57.13585331180619,0.6126760499999999,1.915392769694847,0,0,,,,,,
9,50,50,48,1,57.13585331180619,0.6126760499999999,1.915392769694847,0,0,,,,,,
10,50,50,48,0,55.82094113759195,0.6478873999999999,1.7882222976678819,0,0,,,,,,
11,50,50,50,0,54.83401011959705,0.6338029000000001,1.7522646037727887,0,0,,,,,,
12,50,50,49,0,54.17881604310437,0.57042255,1.7822383305535032,0,0,,,,,,
