generation,valid_count,population_size,unique_fitness_count,stagnation,best_obj,best_mlu,best_sdi,crossover_count,mutation_count,gen_moves_peak,gen_moves_shoulder,gen_moves_transition,gen_moves_tail,gen_moves_mixed,gen_moves_neutral
0,4,50,5,0,191.93213469791715,0.7879442431357203,2.5332221931789265,0,0,,,,,,
1,9,50,10,1,191.93213469791715,0.7879442431357203,2.5332221931789265,0,0,,,,,,
2,24,50,25,0,182.64068346151487,0.7787814367474521,2.473210195770828,0,0,,,,,,
3,37,50,33,0,174.49332838005927,0.7302781598513011,2.378698703214564,0,0,,,,,,
4,44,50,41,0,171.76201431431804,0.7302781598513011,2.3363924590767366,0,0,,,,,,
5,47,50,45,0,168.7816694373612,0.7302781598513011,2.37296302177726,0,0,,,,,,
6,49,50,47,1,168.7816694373612,0.7302781598513011,2.37296302177726,0,0,,,,,,
7,50,50,48,0,163.13992416515484,0.7302781598513011,2.353205585257201,0,0,,,,,,
8,49,50,50,0,158.44654956552571,0.7302781598513011,2.316427268841008,0,0,,,,,,
9,50,50,48,1,158.44654956552571,0.7302781598513011,2.316427268841008,0,0,,,,,,
10,50,50,46,0,156.84541872640386,0.7302781598513011,2.272206631706088,0,0,,,,,,
