generation,valid_count,population_size,unique_fitness_count,stagnation,best_obj,best_mlu,best_sdi,crossover_count,mutation_count,gen_moves_peak,gen_moves_shoulder,gen_moves_transition,gen_moves_tail,gen_moves_mixed,gen_moves_neutral
0,0,50,1,0,,,0.0,0,0,,,,,,
1,0,50,1,1,,,0.0,0,0,,,,,,
2,0,50,1,2,,,0.0,0,0,,,,,,
3,0,50,1,3,,,0.0,0,0,,,,,,
4,0,50,1,4,,,0.0,0,0,,,,,,
5,0,50,1,5,,,0.0,0,0,,,,,,
6,0,50,1,6,,,0.0,0,0,,,,,,
7,0,50,1,7,,,0.0,0,0,,,,,,
8,0,50,1,8,,,0.0,0,0,,,,,,
9,0,50,1,9,,,0.0,0,0,,,,,,
10,0,50,1,10,,,0.0,0,0,,,,,,
11,0,50,1,11,,,0.0,0,0,,,,,,
12,0,50,1,12,,,0.0,0,0,,,,,,
13,0,50,1,13,,,0.0,0,0,,,,,,
14,0,50,1,14,,,0.0,0,0,,,,,,
15,0,50,1,15,,,0.0,0,0,,,,,,
16,0,50,1,16,,,0.0,0,0,,,,,,
17,0,50,1,17,,,0.0,0,0,,,,,,
18,0,50,1,18,,,0.0,0,0,,,,,,
19,0,50,1,19,,,0.0,0,0,,,,,,
20,0,50,1,20,,,0.0,0,0,,,,,,
