generation,valid_count,population_size,unique_fitness_count,stagnation,best_obj,best_mlu,best_sdi,crossover_count,mutation_count,gen_moves_peak,gen_moves_shoulder,gen_moves_transition,gen_moves_tail,gen_moves_mixed,gen_moves_neutral
0,4,50,5,0,149.07721886407637,0.92391305,2.534155752543958,0,0,,,,,,
1,4,50,5,1,149.07721886407637,0.92391305,2.534155752543958,0,0,,,,,,
2,13,50,12,0,111.26029629797401,0.8913044,2.3428709382628297,0,0,,,,,,
3,18,50,19,0,97.55970274852734,0.78804355,2.2200799072725763,0,0,,,,,,
4,35,50,33,0,94.76372223499722,0.7500001,2.1986254745322484,0,0,,,,,,
5,47,50,45,0,93.06869174894896,0.76630445,2.1581131510239473,0,0,,,,,,
6,48,50,48,0,90.3463146154379,0.6804348400000001,2.0830245549198847,0,0,,,,,,
7,50,50,50,1,90.3463146154379,0.6804348400000001,2.0830245549198847,0,0,,,,,,
8,50,50,49,0,89.335220600508,0.66847835,1.9652449232793359,0,0,,,,,,
9,50,50,50,0,88.28766477431904,0.6739131,1.9933863942225396,0,0,,,,,,
10,50,50,49,0,86.873424045778,0.6510870500000001,1.9316334936574804,0,0,,,,,,
