generation,valid_count,population_size,unique_fitness_count,stagnation,best_obj,best_mlu,best_sdi,crossover_count,mutation_count,gen_moves_peak,gen_moves_shoulder,gen_moves_transition,gen_moves_tail,gen_moves_mixed,gen_moves_neutral
0,40,50,41,0,15.667595560448529,0.16871078406318077,0.5288518683608912,0,0,,,,,,
1,50,50,49,1,15.667595560448529,0.16871078406318077,0.5288518683608912,0,0,,,,,,
2,50,50,49,0,15.032367388988499,0.16871078406318077,0.4753441828387192,0,0,,,,,,
3,50,50,48,0,14.502065551986195,0.1720771994958128,0.4894352819238848,0,0,,,,,,
4,50,50,50,0,14.302850268838764,0.17050036464529295,0.44467672497821525,0,0,,,,,,
5,50,50,48,0,14.113911451821751,0.16871078406318077,0.46589007844360003,0,0,,,,,,
6,50,50,49,0,13.685831072311387,0.16871078406318077,0.4339764066798073,0,0,,,,,,
7,50,50,47,1,13.685831072311387,0.16871078406318077,0.4339764066798073,0,0,,,,,,
8,50,50,49,0,13.570407768952915,0.16871078406318077,0.4339764066798073,0,0,,,,,,
9,50,50,48,1,13.570407768952915,0.16871078406318077,0.4339764066798073,0,0,,,,,,
10,50,50,48,0,13.56599402282129,0.16871078406318077,0.4331204188885967,0,0,,,,,,
