generation,valid_count,population_size,unique_fitness_count,stagnation,best_obj,best_mlu,best_sdi,crossover_count,mutation_count,gen_moves_peak,gen_moves_shoulder,gen_moves_transition,gen_moves_tail,gen_moves_mixed,gen_moves_neutral
0,1,50,2,0,20.141403987573796,0.7599738112431678,1.5180329118029925,0,0,,,,,,
1,1,50,2,1,20.141403987573796,0.7599738112431678,1.5180329118029925,0,0,,,,,,
2,2,50,3,2,20.141403987573796,0.7599738112431678,1.5180329118029925,0,0,,,,,,
3,7,50,8,3,20.141403987573796,0.7599738112431678,1.5180329118029925,0,0,,,,,,
4,25,50,22,0,19.296143931781145,0.7599738112431678,1.44473803469955,0,0,,,,,,
5,41,50,39,0,19.105699037246602,0.7599738112431678,1.4404148720008378,0,0,,,,,,
6,50,50,47,0,18.7746882014594,0.7599738112431678,1.3691981983579826,0,0,,,,,,
7,50,50,48,0,18.504053090430038,0.7599738112431678,1.369980129107623,0,0,,,,,,
8,50,50,48,0,18.450854927999806,0.7599738112431678,1.3672153917115535,0,0,,,,,,
9,50,50,49,0,18.437812875182658,0.7599738112431678,1.3706860949213961,0,0,,,,,,
10,50,50,50,0,18.380807680702702,0.7599738112431678,1.3643883012248488,0,0,,,,,,
