ticker,direction,date,entry_price,exit_price,exit_reason,realized_return,decision_id,intraday_return,mfe,mae,time_to_mfe,time_to_mae,target_attained,risk_attained,n_bars_available,status
ADANIGREEN_NS,LONG,20260907,1288.000000,1304.900024,HORIZON,0.013121,,,,,,,,,,NO_P4_RECORD
AMBUJACEM_NS,LONG,20260907,398.600006,402.950012,HORIZON,0.010913,,,,,,,,,,NO_P4_RECORD
ASIANPAINT_NS,LONG,20260907,2500.899902,2513.199951,HORIZON,0.004918,,,,,,,,,,NO_P4_RECORD
BAJFINANCE_NS,LONG,20260907,1060.000000,1060.000000,HORIZON,0.000000,,,,,,,,,,NO_P4_RECORD
BANKBARODA_NS,LONG,20260907,237.000000,237.679993,HORIZON,0.002869,,,,,,,,,,NO_P4_RECORD
BPCL_NS,LONG,20260907,312.899994,313.500000,HORIZON,0.001918,,,,,,,,,,NO_P4_RECORD
COLPAL_NS,LONG,20260907,1813.500000,1820.099976,HORIZON,0.003639,,,,,,,,,,NO_P4_RECORD
DABUR_NS,LONG,20260907,375.500000,378.700012,HORIZON,0.008522,,,,,,,,,,NO_P4_RECORD
DRREDDY_NS,LONG,20260907,1144.199951,1153.900024,HORIZON,0.008478,,,,,,,,,,NO_P4_RECORD
GODREJCP_NS,LONG,20260907,861.900024,868.099976,HORIZON,0.007193,,,,,,,,,,NO_P4_RECORD
GODREJPROP_NS,LONG,20260907,1922.199951,1946.000000,HORIZON,0.012382,,,,,,,,,,NO_P4_RECORD
HDFCLIFE_NS,LONG,20260907,533.200012,539.299988,HORIZON,0.011440,,,,,,,,,,NO_P4_RECORD
INDUSINDBK_NS,LONG,20260907,998.000000,1012.900024,HORIZON,0.014930,,,,,,,,,,NO_P4_RECORD
INDUSTOWER_NS,LONG,20260907,376.450012,378.950012,HORIZON,0.006641,,,,,,,,,,NO_P4_RECORD
IOC_NS,LONG,20260907,135.149994,136.169998,HORIZON,0.007547,,,,,,,,,,NO_P4_RECORD
LICI_NS,LONG,20260907,411.500000,414.549988,HORIZON,0.007412,,,,,,,,,,NO_P4_RECORD
LUPIN_NS,LONG,20260907,2105.000000,2115.899902,HORIZON,0.005178,,,,,,,,,,NO_P4_RECORD
MRF_NS,LONG,20260907,128890.000000,128800.000000,HORIZON,-0.000698,,,,,,,,,,NO_P4_RECORD
ONGC_NS,LONG,20260907,233.699997,233.619995,HORIZON,-0.000342,,,,,,,,,,NO_P4_RECORD
PAGEIND_NS,LONG,20260907,35825.000000,36000.000000,HORIZON,0.004885,,,,,,,,,,NO_P4_RECORD
RECLTD_NS,LONG,20260907,316.399994,318.700012,HORIZON,0.007269,,,,,,,,,,NO_P4_RECORD
SBILIFE_NS,LONG,20260907,1732.000000,1754.199951,HORIZON,0.012818,,,,,,,,,,NO_P4_RECORD
SBIN_NS,LONG,20260907,1005.900024,1007.000000,HORIZON,0.001094,,,,,,,,,,NO_P4_RECORD
SHREECEM_NS,LONG,20260907,23365.000000,23610.000000,HORIZON,0.010486,,,,,,,,,,NO_P4_RECORD
SUNPHARMA_NS,LONG,20260907,1895.000000,1896.800049,HORIZON,0.000950,,,,,,,,,,NO_P4_RECORD
TATASTEEL_NS,LONG,20260907,185.610001,185.600006,HORIZON,-0.000054,,,,,,,,,,NO_P4_RECORD
TRENT_NS,LONG,20260907,2814.500000,2823.699951,HORIZON,0.003269,,,,,,,,,,NO_P4_RECORD
ULTRACEMCO_NS,LONG,20260907,11175.000000,11247.000000,HORIZON,0.006443,,,,,,,,,,NO_P4_RECORD
UNITDSPR_NS,LONG,20260907,1440.000000,1461.099976,HORIZON,0.014653,,,,,,,,,,NO_P4_RECORD
UPL_NS,LONG,20260907,573.000000,581.150024,HORIZON,0.014223,,,,,,,,,,NO_P4_RECORD
WIPRO_NS,LONG,20260907,172.800003,173.949997,HORIZON,0.006655,,,,,,,,,,NO_P4_RECORD
ADANIGREEN_NS,LONG,20260908,1280.000000,1284.400024,HORIZON,0.003438,LIVE-005-20260908-0439-ADANIGREEN_NS,-0.000390625,0.005390644073486328,-0.0009374618530273438,,,,,360,RECONSTRUCTED_FROM_P4
DRREDDY_NS,LONG,20260908,1145.599976,1147.000000,HORIZON,0.001222,LIVE-005-20260908-0439-DRREDDY_NS,0.0027059843331019295,0.00480097775594568,0.0,,,,,361,RECONSTRUCTED_FROM_P4
GODREJPROP_NS,LONG,20260908,1895.400024,1899.900024,HORIZON,0.002374,LIVE-005-20260908-0439-GODREJPROP_NS,0.005592474121242212,0.01461430347951909,-0.0027435228317014677,,,,,361,RECONSTRUCTED_FROM_P4
HDFCLIFE_NS,LONG,20260908,539.750000,541.450012,HORIZON,0.003150,LIVE-005-20260908-0439-HDFCLIFE_NS,0.012968967114404817,0.013432144511347846,0.004816999696039833,,,,,360,RECONSTRUCTED_FROM_P4
INDUSTOWER_NS,LONG,20260908,373.750000,373.950012,HORIZON,0.000535,LIVE-005-20260908-0439-INDUSTOWER_NS,0.002541838681020067,0.006287641748536789,0.0022742638221153848,,,,,361,RECONSTRUCTED_FROM_P4
IOC_NS,LONG,20260908,134.789993,134.949997,HORIZON,0.001187,LIVE-005-20260908-0439-IOC_NS,0.003932146780071584,0.005341651877485468,7.426193429471596e-05,,,,,361,RECONSTRUCTED_FROM_P4
ITC_NS,LONG,20260908,263.500000,264.299988,HORIZON,0.003036,LIVE-005-20260908-0439-ITC_NS,0.002277063011444497,0.003036006804435484,-0.0018975332068311196,,,,,361,RECONSTRUCTED_FROM_P4
LUPIN_NS,LONG,20260908,2095.699951,2100.600098,HORIZON,0.002338,LIVE-005-20260908-0439-LUPIN_NS,0.005678363678789355,0.007587033857343913,0.003960513919697223,,,,,360,RECONSTRUCTED_FROM_P4
ONGC_NS,LONG,20260908,232.919998,232.949997,HORIZON,0.000129,LIVE-005-20260908-0439-ONGC_NS,0.0026189275937959907,0.004550908324432046,-0.00021467908359480356,,,,,361,RECONSTRUCTED_FROM_P4
RECLTD_NS,LONG,20260908,315.600006,315.799988,HORIZON,0.000634,LIVE-005-20260908-0439-RECLTD_NS,0.004435975505099269,0.004435975505099269,0.0012674077590264002,,,,,361,RECONSTRUCTED_FROM_P4
