cohort_label,as_of_cohort,evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-SIEMENS_NS,2026-04-24T03:45:00Z,SIEMENS.NS,SHORT,NoTrade,Unfavourable,0.221106,199,StateOnly,1.017285,3.0,3808.8999,3623.8643,3990.7915,NO_TRADE,3,false,false,false,0.011368,-0.021817,0.008428,false
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-SRF_NS,2026-04-24T03:45:00Z,SRF.NS,LONG,Watch,Mixed,0.326087,46,Exact,0.893851,4.0,2493.6001,2578.7162,2398.3761,TARGET,3,true,false,false,0.044273,-0.003690,0.034134,true
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-SUNPHARMA_NS,2026-04-24T03:45:00Z,SUNPHARMA.NS,LONG,Watch,Mixed,0.362745,102,Exact,0.935449,4.0,1620.4000,1667.3705,1570.1883,TARGET,1,true,false,false,0.090410,0.000000,0.028987,true
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-TATACONSUM_NS,2026-04-24T03:45:00Z,TATACONSUM.NS,LONG,Watch,Mixed,0.318182,66,Exact,1.092285,3.0,1174.0000,1223.1274,1129.0233,HORIZON,3,false,false,true,0.008433,-0.025554,-0.005111,true
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-TATASTEEL_NS,2026-04-24T03:45:00Z,TATASTEEL.NS,SHORT,NoTrade,Unfavourable,0.287234,188,StateOnly,0.952853,3.0,210.0700,202.1686,218.3624,NO_TRADE,3,false,false,false,0.000000,-0.038892,-0.027657,false
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-TCS_NS,2026-04-24T03:45:00Z,TCS.NS,LONG,Watch,Mixed,0.337349,83,Exact,0.980401,4.0,2396.8999,2459.6138,2332.9323,TARGET,2,true,false,false,0.037590,0.000000,0.026165,true
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-TECHM_NS,2026-04-24T03:45:00Z,TECHM.NS,SHORT,Sell,Favourable,0.426471,68,Exact,1.062325,3.5,1358.5000,1306.4165,1407.5278,RISK,2,false,true,false,0.000000,-0.040118,-0.036090,true
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-TITAN_NS,2026-04-24T03:45:00Z,TITAN.NS,SHORT,Watch,Mixed,0.323864,176,StateOnly,1.021211,3.0,4410.0000,4253.9258,4562.8324,HORIZON,3,false,false,true,0.004898,-0.014739,-0.006757,true
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-TMCV_NS,2026-04-24T03:45:00Z,TMCV.NS,LONG,Buy,Mixed,0.400000,20,RelaxVolume,1.910665,6.0,424.5500,452.2572,410.0486,RISK,4,false,true,false,0.008480,-0.048640,-0.034157,true
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-TORNTPHARM_NS,2026-04-24T03:45:00Z,TORNTPHARM.NS,LONG,Buy,Favourable,0.492308,65,Exact,0.951679,4.0,4117.2002,4249.0986,3978.6047,TARGET,2,true,false,false,0.032352,0.000000,0.032036,true
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-TRENT_NS,2026-04-24T03:45:00Z,TRENT.NS,SHORT,Watch,Mixed,0.304094,171,StateOnly,1.090136,4.0,2864.8667,2718.6488,2998.9948,HORIZON,4,false,false,true,0.040328,-0.011914,0.035534,true
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-TVSMOTOR_NS,2026-04-24T03:45:00Z,TVSMOTOR.NS,LONG,NoTrade,Unfavourable,0.216216,37,Exact,1.307533,3.0,3488.2000,3652.1370,3362.8210,NO_TRADE,3,false,false,false,0.032624,-0.001548,0.018835,false
T5,2026-04-24T03:45:00Z,TIME006-20260424T034500Z-gen20260820T105049017765Z-ULTRACEMCO_NS,2026-04-24T03:45:00Z,ULTRACEMCO.NS,LONG,Buy,Favourable,0.523810,84,Exact,0.930859,4.0,11998.0000,12361.0103,11608.0267,RISK,4,false,true,false,0.023671,-0.042840,-0.032503,true
