instance_class,total_moves,peak,shoulder,transition,tail,mixed,neutral,peak_pct,shoulder_pct,transition_pct,tail_pct,mixed_pct,neutral_pct,avg_sdi,avg_mlu,avg_diversity,avg_stagnation
collapsed_basin,41,0,7,6,10,18,0,0.0,17.07,14.63,24.39,43.9,0.0,0.837461,0.531647,23.82,4.46
shape_competition,91,0,24,23,28,15,1,0.0,26.37,25.27,30.77,16.48,1.1,1.892829,0.734482,21.04,3.83
