timestamp,open,high,low,close,volume
2025-02-24T03:45:00Z,22611.5,22668.05,22607.5,22664.05,0
2025-02-24T03:46:00Z,22667.05,22667.05,22627.65,22628.0,0
2025-02-24T03:47:00Z,22626.45,22632.25,22621.75,22632.25,0
2025-02-24T03:48:00Z,22631.7,22655.4,22626.8,22651.75,0
2025-02-24T03:49:00Z,22649.95,22656.35,22644.85,22645.0,0
2025-02-24T03:50:00Z,22644.65,22644.65,22618.0,22625.2,0
2025-02-24T03:51:00Z,22625.25,22626.3,22613.6,22617.35,0
2025-02-24T03:52:00Z,22617.8,22623.4,22615.75,22621.6,0
2025-02-24T03:53:00Z,22621.55,22625.25,22616.05,22618.45,0
2025-02-24T03:54:00Z,22618.8,22625.75,22615.0,22624.55,0
2025-02-24T03:55:00Z,22625.7,22628.7,22621.45,22625.05,0
2025-02-24T03:56:00Z,22624.7,22624.7,22612.35,22614.6,0
2025-02-24T03:57:00Z,22614.5,22640.85,22612.8,22640.6,0
2025-02-24T03:58:00Z,22641.25,22645.25,22634.1,22634.1,0
2025-02-24T03:59:00Z,22634.1,22635.3,22618.95,22621.4,0
2025-02-24T04:00:00Z,22619.95,22640.35,22619.85,22631.5,0
2025-02-24T04:01:00Z,22632.3,22639.75,22626.3,22639.15,0
2025-02-24T04:02:00Z,22637.8,22641.35,22631.5,22631.5,0
2025-02-24T04:03:00Z,22630.1,22640.0,22629.55,22640.0,0
2025-02-24T04:04:00Z,22640.5,22644.35,22625.4,22627.4,0
2025-02-24T04:05:00Z,22626.85,22628.7,22620.85,22624.55,0
2025-02-24T04:06:00Z,22623.7,22627.35,22619.55,22623.45,0
2025-02-24T04:07:00Z,22622.15,22622.8,22599.7,22599.7,0
2025-02-24T04:08:00Z,22601.55,22603.65,22577.55,22577.55,0
2025-02-24T04:09:00Z,22579.65,22590.9,22575.75,22586.25,0
2025-02-24T04:10:00Z,22586.75,22589.5,22574.3,22574.3,0
2025-02-24T04:11:00Z,22573.95,22586.25,22571.15,22579.8,0
2025-02-24T04:12:00Z,22580.55,22582.95,22570.75,22573.35,0
2025-02-24T04:13:00Z,22573.4,22573.45,22564.9,22566.35,0
2025-02-24T04:14:00Z,22565.85,22573.65,22563.2,22570.75,0
2025-02-24T04:15:00Z,22571.65,22583.55,22568.15,22581.2,0
2025-02-24T04:16:00Z,22580.1,22584.6,22575.8,22580.15,0
2025-02-24T04:17:00Z,22581.8,22590.75,22579.85,22586.45,0
2025-02-24T04:18:00Z,22585.25,22595.85,22580.8,22590.2,0
2025-02-24T04:19:00Z,22591.0,22596.0,22587.2,22591.5,0
2025-02-24T04:20:00Z,22591.05,22592.4,22585.4,22587.2,0
2025-02-24T04:21:00Z,22587.85,22588.7,22580.1,22586.55,0
2025-02-24T04:22:00Z,22585.7,22592.95,22584.15,22590.9,0
2025-02-24T04:23:00Z,22590.3,22596.7,22590.0,22595.95,0
2025-02-24T04:24:00Z,22596.05,22596.95,22584.1,22587.6,0
2025-02-24T04:25:00Z,22587.65,22596.7,22586.25,22596.25,0
2025-02-24T04:26:00Z,22595.75,22596.55,22575.65,22577.85,0
2025-02-24T04:27:00Z,22578.2,22589.85,22574.3,22589.35,0
2025-02-24T04:28:00Z,22589.45,22589.65,22578.2,22578.6,0
2025-02-24T04:29:00Z,22578.3,22583.8,22577.15,22582.55,0
2025-02-24T04:30:00Z,22581.85,22586.8,22580.3,22583.05,0
2025-02-24T04:31:00Z,22583.35,22585.2,22570.75,22570.9,0
2025-02-24T04:32:00Z,22571.0,22575.75,22568.9,22573.9,0
2025-02-24T04:33:00Z,22573.65,22575.2,22566.3,22575.2,0
2025-02-24T04:34:00Z,22574.7,22578.6,22571.85,22574.2,0
2025-02-24T04:35:00Z,22574.4,22575.05,22561.75,22571.1,0
2025-02-24T04:36:00Z,22571.3,22571.4,22564.95,22568.5,0
2025-02-24T04:37:00Z,22567.4,22571.2,22562.2,22562.6,0
2025-02-24T04:38:00Z,22563.15,22567.3,22560.3,22565.95,0
2025-02-24T04:39:00Z,22566.05,22576.75,22565.85,22576.6,0
2025-02-24T04:40:00Z,22574.35,22589.65,22574.35,22589.6,0
2025-02-24T04:41:00Z,22589.8,22590.05,22578.85,22579.5,0
2025-02-24T04:42:00Z,22580.75,22587.35,22579.3,22583.05,0
2025-02-24T04:43:00Z,22583.2,22585.0,22579.05,22579.05,0
2025-02-24T04:44:00Z,22578.05,22578.5,22568.8,22572.15,0
2025-02-24T04:45:00Z,22572.5,22573.05,22565.75,22568.4,0
2025-02-24T04:46:00Z,22567.15,22572.45,22565.0,22572.45,0
2025-02-24T04:47:00Z,22573.2,22576.25,22569.85,22575.85,0
2025-02-24T04:48:00Z,22576.45,22578.65,22574.85,22575.85,0
2025-02-24T04:49:00Z,22575.5,22575.5,22568.7,22571.9,0
2025-02-24T04:50:00Z,22571.95,22574.9,22568.45,22571.7,0
2025-02-24T04:51:00Z,22572.4,22578.15,22569.45,22577.95,0
2025-02-24T04:52:00Z,22576.55,22580.9,22571.1,22572.65,0
2025-02-24T04:53:00Z,22572.55,22573.05,22549.05,22550.2,0
2025-02-24T04:54:00Z,22549.9,22558.15,22549.9,22552.7,0
2025-02-24T04:55:00Z,22552.0,22554.1,22550.3,22553.4,0
2025-02-24T04:56:00Z,22552.15,22560.5,22548.35,22559.05,0
2025-02-24T04:57:00Z,22557.15,22560.1,22553.3,22560.1,0
2025-02-24T04:58:00Z,22560.25,22568.55,22560.05,22567.4,0
2025-02-24T04:59:00Z,22567.6,22569.85,22563.95,22567.35,0
2025-02-24T05:00:00Z,22567.3,22568.5,22562.95,22565.1,0
2025-02-24T05:01:00Z,22565.65,22574.15,22564.95,22568.15,0
2025-02-24T05:02:00Z,22568.35,22571.6,22564.9,22570.05,0
2025-02-24T05:03:00Z,22570.3,22575.5,22567.75,22574.8,0
2025-02-24T05:04:00Z,22574.2,22575.2,22570.0,22574.1,0
2025-02-24T05:05:00Z,22574.4,22574.7,22571.6,22571.6,0
2025-02-24T05:06:00Z,22571.9,22573.3,22563.75,22565.0,0
2025-02-24T05:07:00Z,22563.3,22564.5,22557.7,22558.9,0
2025-02-24T05:08:00Z,22558.8,22564.0,22555.85,22560.8,0
2025-02-24T05:09:00Z,22560.6,22565.7,22557.9,22558.55,0
2025-02-24T05:10:00Z,22558.1,22562.25,22553.0,22561.25,0
2025-02-24T05:11:00Z,22562.55,22563.05,22555.15,22556.45,0
2025-02-24T05:12:00Z,22556.35,22561.0,22555.85,22559.95,0
2025-02-24T05:13:00Z,22560.1,22560.7,22555.9,22559.15,0
2025-02-24T05:14:00Z,22559.5,22560.65,22554.45,22554.55,0
2025-02-24T05:15:00Z,22554.7,22560.8,22553.45,22558.3,0
2025-02-24T05:16:00Z,22558.1,22571.25,22556.7,22568.3,0
2025-02-24T05:17:00Z,22568.35,22577.45,22568.35,22575.15,0
2025-02-24T05:18:00Z,22574.85,22575.0,22570.05,22571.3,0
2025-02-24T05:19:00Z,22571.25,22579.05,22570.0,22577.4,0
2025-02-24T05:20:00Z,22577.55,22579.35,22573.3,22573.75,0
2025-02-24T05:21:00Z,22574.05,22575.6,22571.75,22572.95,0
2025-02-24T05:22:00Z,22573.05,22575.25,22571.25,22571.55,0
2025-02-24T05:23:00Z,22572.25,22574.65,22570.85,22574.65,0
2025-02-24T05:24:00Z,22574.15,22574.35,22568.6,22571.05,0
2025-02-24T05:25:00Z,22571.0,22574.6,22568.4,22573.3,0
2025-02-24T05:26:00Z,22574.0,22574.0,22559.2,22560.05,0
2025-02-24T05:27:00Z,22559.0,22561.55,22554.4,22557.6,0
2025-02-24T05:28:00Z,22557.4,22559.4,22553.15,22553.15,0
2025-02-24T05:29:00Z,22552.0,22555.85,22552.0,22555.35,0
2025-02-24T05:30:00Z,22552.85,22556.2,22551.9,22552.35,0
2025-02-24T05:31:00Z,22552.45,22553.2,22550.65,22550.95,0
2025-02-24T05:32:00Z,22550.1,22561.1,22550.1,22558.6,0
2025-02-24T05:33:00Z,22558.5,22562.2,22557.6,22560.15,0
2025-02-24T05:34:00Z,22559.2,22562.15,22558.6,22561.6,0
2025-02-24T05:35:00Z,22561.65,22564.5,22559.3,22561.55,0
2025-02-24T05:36:00Z,22560.95,22563.85,22559.75,22563.8,0
2025-02-24T05:37:00Z,22563.55,22571.85,22563.55,22571.65,0
2025-02-24T05:38:00Z,22572.15,22577.25,22571.2,22575.95,0
2025-02-24T05:39:00Z,22576.05,22576.7,22573.8,22575.35,0
2025-02-24T05:40:00Z,22574.3,22578.15,22573.2,22577.1,0
2025-02-24T05:41:00Z,22576.5,22577.95,22572.75,22576.9,0
2025-02-24T05:42:00Z,22576.1,22578.75,22575.7,22578.75,0
2025-02-24T05:43:00Z,22578.1,22580.95,22577.25,22577.55,0
2025-02-24T05:44:00Z,22577.0,22577.1,22568.55,22568.55,0
2025-02-24T05:45:00Z,22567.75,22573.05,22565.4,22572.85,0
2025-02-24T05:46:00Z,22571.55,22574.2,22569.2,22572.0,0
2025-02-24T05:47:00Z,22572.15,22575.6,22571.45,22575.6,0
2025-02-24T05:48:00Z,22575.0,22580.05,22573.95,22578.4,0
2025-02-24T05:49:00Z,22577.6,22584.6,22577.6,22579.8,0
2025-02-24T05:50:00Z,22579.8,22581.05,22578.25,22579.55,0
2025-02-24T05:51:00Z,22579.55,22583.8,22578.15,22581.65,0
2025-02-24T05:52:00Z,22581.1,22583.15,22579.05,22579.75,0
2025-02-24T05:53:00Z,22579.15,22580.0,22576.7,22578.2,0
2025-02-24T05:54:00Z,22578.6,22580.55,22577.2,22579.7,0
2025-02-24T05:55:00Z,22579.5,22580.6,22576.85,22577.15,0
2025-02-24T05:56:00Z,22576.85,22577.15,22573.65,22573.65,0
2025-02-24T05:57:00Z,22573.65,22573.7,22564.55,22565.3,0
2025-02-24T05:58:00Z,22565.3,22569.75,22563.75,22569.05,0
2025-02-24T05:59:00Z,22568.85,22574.4,22568.55,22574.3,0
2025-02-24T06:00:00Z,22573.85,22576.05,22570.25,22570.25,0
2025-02-24T06:01:00Z,22569.8,22572.65,22568.65,22572.25,0
2025-02-24T06:02:00Z,22571.75,22574.95,22571.1,22573.75,0
2025-02-24T06:03:00Z,22574.25,22575.65,22573.15,22575.3,0
2025-02-24T06:04:00Z,22574.85,22577.4,22569.35,22576.9,0
2025-02-24T06:05:00Z,22579.15,22580.8,22573.3,22574.0,0
2025-02-24T06:06:00Z,22573.5,22577.4,22573.05,22574.7,0
2025-02-24T06:07:00Z,22573.9,22578.1,22573.25,22577.75,0
2025-02-24T06:08:00Z,22577.8,22577.8,22573.1,22573.25,0
2025-02-24T06:09:00Z,22573.75,22579.9,22573.2,22579.9,0
2025-02-24T06:10:00Z,22579.6,22598.4,22579.1,22595.85,0
2025-02-24T06:11:00Z,22596.55,22597.55,22591.15,22593.85,0
2025-02-24T06:12:00Z,22593.65,22600.9,22593.4,22600.0,0
2025-02-24T06:13:00Z,22599.35,22603.7,22597.7,22603.3,0
2025-02-24T06:14:00Z,22603.2,22611.85,22602.2,22610.1,0
2025-02-24T06:15:00Z,22610.35,22617.15,22603.0,22603.65,0
2025-02-24T06:16:00Z,22603.5,22606.0,22600.15,22603.4,0
2025-02-24T06:17:00Z,22603.4,22611.65,22602.65,22611.65,0
2025-02-24T06:18:00Z,22611.55,22619.35,22611.25,22614.7,0
2025-02-24T06:19:00Z,22614.8,22620.05,22613.3,22614.65,0
2025-02-24T06:20:00Z,22614.2,22615.8,22608.7,22614.2,0
