timestamp,volatility_1m_std_24h,upside_excursion_24h,downside_excursion_24h,trend_dir,past_volatility_24h,past_trend_dir,delta_volatility,delta_upside,delta_downside,reversal_60m,vol_expansion_60m,excursion_exceeded_60m,reversal_120m,vol_expansion_120m,excursion_exceeded_120m,reversal_300m,vol_expansion_300m,excursion_exceeded_300m
1784414760000,0.00021095137696431227,0.01418133997018984,-0.0011513807735358697,1,0.00023714125658546624,1,-2.6189879621153967e-05,0.009731026104882693,0.003486057236722139,0,1,0,0,1,0,1,1,0
1784414820000,0.00021097545640218633,0.01418133997018984,-0.0011513807735358697,1,0.0002371307951136489,1,-2.615533871146256e-05,0.00950770389815029,0.0036411174805297767,0,1,0,0,1,0,1,1,0
1784414880000,0.00021094079325408268,0.014021526677293849,-0.0013087779575028785,1,0.00023720934697575214,1,-2.6268553721669455e-05,0.008846963086271406,0.002987512566187917,0,1,0,0,1,0,1,1,0
1784414940000,0.0002109025768091681,0.013712506975964243,-0.0016131257992763465,1,0.00023659339052624088,1,-2.5690813717072787e-05,0.00788531579814738,0.002036686259264818,0,1,0,0,1,0,1,1,0
1784415000000,0.00021098154581502404,0.013832447639887465,-0.0014949984370115888,1,0.0002368037848024694,1,-2.5822238987445364e-05,0.00758655211115359,0.001740054344402098,0,1,0,0,1,0,1,1,0
1784415060000,0.00021108514892969834,0.013769225707868517,-0.001557264559462444,1,0.0002369576223782979,1,-2.587247344859955e-05,0.007842411984014499,0.0019938636065195085,0,1,0,1,1,0,1,1,0
1784415120000,0.00021112910375855023,0.01385035403094799,-0.001477362760548976,1,0.00023559174171267246,1,-2.4462637954122225e-05,0.0069257567453601164,0.0010853830590636239,1,1,0,1,1,0,1,1,0
1784415180000,0.00021121223975833535,0.013895994419156343,-0.0014324123784563462,1,0.00023551992489220593,1,-2.4307685133870586e-05,0.006743701442346084,0.0009047831212476939,0,1,0,1,1,0,1,1,0
1784415240000,0.0002120735563394604,0.01383260610075122,-0.0014948423718103023,1,0.0002354632255570849,1,-2.33896692176245e-05,0.006485243233744293,0.0006491212054880822,0,1,0,0,1,0,1,1,0
1784415300000,0.00021252795119784573,0.01383260610075122,-0.0014948423718103023,1,0.0002354642846568636,1,-2.293633345901787e-05,0.006505540316477179,0.0006692270471007891,0,1,0,1,1,0,1,1,0
1784415360000,0.00021321253660880826,0.013832447639887465,-0.0014949984370115888,1,0.00023503134733190582,1,-2.181881072309757e-05,0.007057337583376178,0.0012158261282261872,1,1,0,1,1,0,1,1,0
1784415420000,0.00021320028705080427,0.013975082459239343,-0.0013545200168826727,1,0.00023486602564383414,1,-2.1665738593029866e-05,0.007639688405094247,0.0017918775030744884,0,1,0,1,1,0,1,1,0
1784415480000,0.00021317096751139345,0.01373738005188635,-0.0015886287625418289,1,0.00023441055537770848,1,-2.1239587866315026e-05,0.006834320466744408,0.0009954518271737777,0,1,0,1,1,0,1,1,0
1784415540000,0.0002128929200259083,0.014181181400293943,-0.0011515369461209146,1,0.0002329688953261027,1,-2.0075975300194406e-05,0.00628674807445174,0.00045051072429144875,0,1,0,1,1,0,1,1,0
1784415600000,0.00021275787840109315,0.014465259589093534,-0.0008717535430431513,1,0.00023259381054768562,1,-1.9835932146592474e-05,0.0070812340267941585,0.0012358927785024877,0,1,0,1,1,0,1,1,0
