metric,value
generated,46195
tournament_winners,16650
entered_population,11565
entered_elite,1081
became_global_best,419
pct_won_tournament,36.043
pct_entered_pop,69.459
pct_entered_elite,9.347
pct_global_best,38.76
overall_osr,0.907
