ticker,total,complete,long,short,no_trade,long_complete,short_complete,bull_pos,bear_pos,bear_neg_long,absent_long,min_long_bucket,bull_neg,absent_short,min_short_bucket,target_rate,short_target_rate,median_mfe5,median_mfe10,bull_pos_rate,bear_pos_rate,bear_neg_long_rate,bull_neg_rate
BPCL.NS,1218,1209,1034,184,0,1025,184,469,167,360,28,167,184,0,184,0.2751219512195122,0.20652173913043478,2.5858479610884975,3.9788583485446902,0.2537313432835821,0.38922155688622756,0.23333333333333334,0.20652173913043478
BRITANNIA.NS,1218,1209,1031,187,0,1022,187,482,173,338,9,173,187,0,187,0.25440313111545987,0.29411764705882354,1.8348796902877471,2.761849914511439,0.26348547717842324,0.2658959537572254,0.257396449704142,0.29411764705882354
CANBK.NS,1218,1209,1045,173,0,1036,173,533,169,305,29,169,173,0,173,0.3301158301158301,0.17341040462427745,3.2745629577269444,4.870816354882892,0.3151969981238274,0.2958579881656805,0.3344262295081967,0.17341040462427745
CHOLAFIN.NS,1217,1208,1011,206,0,1002,206,518,166,289,20,166,206,0,206,0.30538922155688625,0.2961165048543689,3.203198640228953,4.695075091673967,0.24324324324324326,0.42168674698795183,0.3494809688581315,0.2961165048543689
CIPLA.NS,1219,1210,1056,163,0,1048,162,494,175,350,13,175,162,0,162,0.23950381679389313,0.22839506172839505,1.9917960285093002,2.8421421346416675,0.23279352226720648,0.2057142857142857,0.2742857142857143,0.22839506172839505
COALINDIA.NS,1219,1210,994,225,0,985,225,583,126,247,28,126,225,0,225,0.2913705583756345,0.14666666666666667,2.3038410914892875,3.5945537671153778,0.313893653516295,0.2698412698412698,0.23481781376518218,0.14666666666666667
COLPAL.NS,1217,1208,1067,150,0,1066,142,518,167,352,7,167,142,0,142,0.2673545966228893,0.24647887323943662,1.9473706410270708,2.9535006705191877,0.3359073359073359,0.20359281437125748,0.21875,0.24647887323943662
DABUR.NS,1218,1209,1059,159,0,1052,157,319,233,471,9,233,157,0,157,0.24904942965779467,0.29936305732484075,1.8153742071180445,2.6095681146904743,0.2601880877742947,0.18025751072961374,0.2781316348195329,0.29936305732484075
DIVISLAB.NS,1217,1208,1040,177,0,1031,177,460,208,334,21,208,177,0,177,0.2754607177497575,0.2033898305084746,2.4502493122531086,3.776034988757148,0.24782608695652175,0.25961538461538464,0.32335329341317365,0.2033898305084746
DLF.NS,1218,1209,1050,168,0,1045,164,459,171,386,26,171,164,0,164,0.3004784688995215,0.4024390243902439,2.9577311614338044,4.451038575667656,0.33769063180827885,0.26900584795321636,0.2694300518134715,0.4024390243902439
DRREDDY.NS,1219,1210,1005,214,0,996,214,413,195,359,17,195,214,0,214,0.28413654618473894,0.2523364485981308,2.0749893324851807,2.9368272832156883,0.2469733656174334,0.26666666666666666,0.3370473537604457,0.2523364485981308
EICHERMOT.NS,1219,1210,964,255,0,955,255,571,150,205,16,150,255,0,255,0.27225130890052357,0.13725490196078433,2.3855966025118502,3.6467632257476708,0.26970227670753066,0.21333333333333335,0.33170731707317075,0.13725490196078433
GAIL.NS,1218,1209,1016,202,0,1010,199,515,167,299,23,167,199,0,199,0.2811881188118812,0.1708542713567839,2.6766531520350947,3.892129403901631,0.29514563106796116,0.23952095808383234,0.2842809364548495,0.1708542713567839
GODREJCP.NS,1217,1208,1025,192,0,1024,184,464,171,360,5,171,184,0,184,0.2431640625,0.19021739130434784,2.3231205448645498,3.248102517137867,0.22413793103448276,0.25146198830409355,0.275,0.19021739130434784
GODREJPROP.NS,1218,1209,1032,186,0,1030,179,428,164,409,28,164,179,0,179,0.30970873786407765,0.2905027932960894,3.47120379000172,5.213975748208531,0.338785046728972,0.3353658536585366,0.2591687041564792,0.2905027932960894
GRASIM.NS,1219,1210,971,248,0,962,248,556,151,226,29,151,248,0,248,0.29521829521829523,0.20967741935483872,2.1315320672759084,3.2742444389528753,0.22841726618705036,0.41721854304635764,0.35398230088495575,0.20967741935483872
HAVELLS.NS,1218,1209,1045,173,0,1036,173,359,239,409,12,239,173,0,173,0.2972972972972973,0.3468208092485549,2.3230317507357783,3.5779965059592675,0.31197771587743733,0.22594142259414227,0.32273838630806845,0.3468208092485549
HCLTECH.NS,1218,1209,1070,148,0,1061,148,479,142,411,19,142,148,0,148,0.3110273327049953,0.3310810810810811,2.2621655785919863,3.3778566768085527,0.33402922755741127,0.3873239436619718,0.27007299270072993,0.3310810810810811
HDFCBANK.NS,1219,1210,1003,216,0,995,215,435,179,352,27,179,215,0,215,0.32763819095477387,0.2744186046511628,1.704432492241564,2.5567429731545572,0.30114942528735633,0.3575418994413408,0.3380681818181818,0.2744186046511628
HDFCLIFE.NS,1219,1210,1048,171,0,1039,171,373,200,437,11,200,171,0,171,0.28103946102021177,0.28654970760233917,2.141181396891489,3.131715910033107,0.2975871313672922,0.335,0.2608695652173913,0.28654970760233917
