source_type,s1_edge_preservation,s1_signature_overlap,s2_dist,returned_to_same_region,retained_elite,s2_region
Random,0.5556,0.8000,825.8377,false,false,15512280343957320089
Random,0.5000,0.6000,840.9450,false,false,13383343620214730433
Random,0.5000,0.6000,865.2383,false,false,4002525940372020833
Random,0.5278,0.6000,810.5735,false,false,6307814058645704904
Random,0.5000,0.4000,922.0509,false,false,9895240525752068085
Random,0.5000,0.8000,884.0296,false,false,6079218329959348000
Random,0.5000,0.4000,837.2387,false,false,7373778606146978034
Random,0.6389,0.8000,797.4513,true,true,10264966111433119558
Random,0.5000,0.4000,864.5160,false,false,7622649576488570165
Random,0.5833,0.6000,810.5735,false,false,6307814058645704904
Random,0.6667,0.6000,821.4624,false,false,8233460523690004838
Random,0.5278,0.6000,851.8484,false,false,9540288027062484531
Random,0.5833,0.4000,838.4979,false,false,11741168474939349512
Random,0.5556,0.2000,803.3111,false,true,13996102363368337268
Random,0.5000,0.6000,922.9217,false,false,5850098277237003343
Random,0.6111,0.4000,873.7002,false,false,2157089366235599323
Random,0.6667,0.6000,831.3398,false,false,14532170960908445531
Random,0.5556,0.8000,797.4513,true,true,10264966111433119558
Random,0.5278,0.6000,815.2039,false,false,10413644933670406191
Random,0.6111,0.2000,797.4513,true,true,10264966111433119558
Random,0.7222,0.8000,829.2061,false,false,17960348779387031640
Random,0.5000,0.6000,868.0588,false,false,10235549631660612588
Random,0.5000,0.8000,811.3205,false,false,11824326250485796480
Random,0.6389,1.0000,821.7963,true,false,10264966111433119558
Random,0.5556,0.6000,838.2210,false,false,18414080694212278056
Random,0.5000,0.8000,817.9923,false,false,16150261068118086330
Random,0.5000,0.4000,896.3914,false,false,11362436951474984769
Random,0.5556,0.6000,836.8092,false,false,2868724174853822375
Random,0.5556,0.0000,867.9254,false,false,16754448887030470350
Random,0.5000,0.2000,863.9562,false,false,9061616368280208789
Random,0.6667,0.8000,815.1484,false,false,11824326250485796480
Random,0.5556,0.6000,821.6916,false,false,13225244327087722692
Random,0.5556,0.6000,797.8718,true,true,10264966111433119558
Random,0.5000,0.2000,835.0131,false,false,6524965636449191191
Random,0.5833,0.6000,797.4513,true,true,10264966111433119558
Random,0.6389,0.6000,797.8718,true,true,10264966111433119558
Random,0.5000,0.4000,890.0163,false,false,2082149710829020516
Random,0.5000,0.4000,810.5735,false,false,6307814058645704904
Random,0.5833,0.6000,863.4177,false,false,2023177026395298890
Random,0.5556,0.8000,857.7017,false,false,8751209803230902836
Random,0.5556,0.4000,858.3566,false,false,7263661719896719671
Random,0.6389,0.6000,861.2964,false,false,4492458597741278696
Random,0.6111,0.4000,861.7558,false,false,8788696581207459266
Random,0.5000,0.6000,801.8739,false,true,11824326250485796480
Random,0.6389,0.8000,840.1075,false,false,4973473140108401203
Random,0.5556,0.8000,797.8718,true,true,10264966111433119558
Random,0.5278,0.2000,812.0974,false,false,678773149692492076
Random,0.5000,0.4000,845.0657,false,false,7373778606146978034
Random,0.5556,0.6000,827.3525,false,false,6942061030029042200
Random,0.6389,0.8000,816.2453,false,false,3030673687312833173
Random,0.6111,0.4000,852.7832,false,false,13994630371753901841
Random,0.5000,0.6000,869.4227,false,false,9647114518166095088
Random,0.5278,0.4000,884.3652,false,false,9091152920169913611
Random,0.5278,0.8000,820.5115,false,false,7282138676726714151
Random,0.5278,0.4000,833.1168,false,false,16605646900115264559
Random,0.5278,0.2000,853.4556,false,false,8996951450707541075
Random,0.5000,0.2000,816.4972,false,false,16588847154838108504
Random,0.5000,0.2000,868.1303,false,false,3485543241970589479
Random,0.5000,0.2000,864.2109,false,false,13537731011536477188
Random,0.5278,0.6000,862.8430,false,false,7145441905331770198
Random,0.5278,0.8000,812.2031,true,false,10264966111433119558
Random,0.5556,0.8000,854.6147,false,false,9920773095804984968
Random,0.5000,0.6000,866.9468,false,false,7730957554178648582
Random,0.5278,0.4000,801.8739,false,true,11824326250485796480
Random,0.5833,0.4000,821.7963,true,false,10264966111433119558
Random,0.6111,0.4000,850.9900,false,false,5324550750245691835
Random,0.5556,0.6000,838.7305,false,false,8002949508144976527
Random,0.6667,0.8000,797.4513,true,true,10264966111433119558
Random,0.5000,0.4000,880.8006,false,false,14364399138474812945
Random,0.5556,0.6000,882.9100,false,false,1780495502382711778
Random,0.5000,0.4000,842.3421,false,false,14779434136486198673
Random,0.6944,0.6000,810.5735,false,false,6307814058645704904
Random,0.5556,0.4000,904.4996,false,false,10792465896720457168
Random,0.5000,0.6000,844.9767,false,false,2670304712526693309
Random,0.6667,0.6000,852.1839,false,false,4441262185404415933
Random,0.6389,0.8000,834.9123,false,false,17904330269021476746
Random,0.5833,0.8000,864.0731,false,false,14409928617467505053
Random,0.6389,0.8000,820.5115,false,false,7282138676726714151
Random,0.5000,0.8000,859.1938,false,false,12871131176589721501
Random,0.5000,0.4000,877.1413,false,false,15754145938417948209
Random,0.6389,0.8000,869.9325,false,false,3274170566781225194
Random,0.5556,0.8000,838.7305,false,false,8002949508144976527
Random,0.5000,0.4000,874.5749,false,false,11065325708956434602
Random,0.5000,0.8000,842.2993,false,false,12312691849637040635
Random,0.5278,0.2000,810.5735,false,false,6307814058645704904
Random,0.5833,0.8000,835.6781,false,false,16111095867936497187
Random,0.6111,0.4000,827.6188,false,false,15328930014682100007
Random,0.5000,0.4000,834.3310,false,false,3585958712743979975
Random,0.5556,0.8000,801.8739,false,true,11824326250485796480
Random,0.5000,0.4000,860.7518,false,false,18251162200063290697
Random,0.5556,0.2000,846.8455,false,false,12154750257938526669
Random,0.5000,0.4000,855.1787,false,false,7535097706381856299
Random,0.6667,1.0000,828.7001,false,false,10121627615558797951
Random,0.6667,0.8000,819.5007,false,false,13225244327087722692
Random,0.6111,0.6000,847.1439,false,false,4742195957009215486
Random,0.5556,0.8000,848.9618,false,false,13196317952163209133
Random,0.5556,0.6000,812.2031,true,false,10264966111433119558
Random,0.5556,0.6000,797.8718,true,true,10264966111433119558
Random,0.5556,0.6000,844.5714,false,false,13914130406151975936
Random,0.6389,0.6000,810.5735,false,false,6307814058645704904
Random,0.5556,0.4000,827.3525,false,false,6942061030029042200
Random,0.5278,1.0000,798.9434,false,true,678773149692492076
Random,0.6944,0.8000,810.5735,false,false,6307814058645704904
Random,0.5000,0.8000,853.5571,false,false,4914164665015886268
Random,0.5833,0.6000,797.4513,true,true,10264966111433119558
Random,0.6111,0.8000,821.7963,true,false,10264966111433119558
Random,0.6111,0.6000,797.4513,true,true,10264966111433119558
Random,0.5556,0.4000,820.4407,false,false,6251334824792168828
Random,0.5556,0.2000,852.1602,false,false,11845314315732010002
Random,0.6389,0.4000,856.2045,false,false,9525284363792314511
Random,0.5278,0.4000,821.7963,true,false,10264966111433119558
Random,0.5833,0.6000,820.5758,false,false,1422527976808164485
Random,0.5833,0.4000,845.1385,false,false,238536661053097708
Random,0.6389,0.8000,811.3205,false,false,11824326250485796480
Random,0.5556,0.4000,820.5736,false,false,1799920800935451210
Random,0.5278,0.6000,896.3099,false,false,14843761950491190263
Random,0.5556,0.4000,844.5194,false,false,956293968073659663
Random,0.5833,0.8000,822.5776,false,false,11811168530275145137
Random,0.5000,0.6000,874.6883,false,false,8455075139676327706
Random,0.5278,0.4000,915.7381,false,false,7985520651490738238
Random,0.5556,0.4000,837.3199,false,false,9149955604146687031
Random,0.5278,0.6000,797.4513,true,true,10264966111433119558
Random,0.5833,0.4000,860.5896,false,false,9510925388531942308
Random,0.5000,0.6000,832.6336,false,false,16690348411077407920
Random,0.5278,0.6000,877.1192,false,false,13732166681299638226
Random,0.6389,0.8000,841.0370,false,false,17811921967933490631
Random,0.5278,0.6000,797.4513,true,true,10264966111433119558
Random,0.5833,0.6000,825.4293,false,false,2070561062040917602
Random,0.5278,0.6000,848.2217,false,false,9277105635744123415
Random,0.5000,0.4000,842.3169,false,false,3814057175973504429
Random,0.5000,0.6000,803.3936,false,true,11824326250485796480
Random,0.5556,0.8000,810.5735,false,false,6307814058645704904
Random,0.5556,0.4000,907.2615,false,false,4679985593230961534
Random,0.5000,0.0000,835.0131,false,false,6524965636449191191
Random,0.5000,0.2000,851.1324,false,false,9085871769723918268
Random,0.5556,0.4000,816.2453,false,false,3030673687312833173
Random,0.5000,0.6000,851.9597,false,false,6483974364753361927
Random,0.5556,0.4000,810.5735,false,false,6307814058645704904
Random,0.5000,0.6000,830.0429,false,false,501179778604118284
Random,0.5000,0.8000,893.9139,false,false,13178307435619714018
Random,0.5278,0.6000,837.5388,false,false,2560126505731505788
Random,0.5000,0.6000,857.2728,false,false,69105248038719418
Random,0.5833,0.4000,879.9996,false,false,16299686952904369712
Random,0.5000,0.4000,829.1403,false,false,10896477319414813953
Random,0.5556,0.2000,871.3935,false,false,12744366930802612360
Random,0.5000,0.6000,804.0648,false,true,6063581546530241427
Random,0.5278,0.4000,797.8718,true,true,10264966111433119558
Random,0.5000,0.4000,885.6484,false,false,7175487767106135643
Random,0.5556,0.4000,827.5683,false,false,5868812619231253220
Random,0.6389,0.8000,816.2453,false,false,3030673687312833173
Random,0.5556,0.8000,907.0949,false,false,1614601513438808070
Random,0.5278,0.6000,826.0486,false,false,9753051505955958754
Random,0.5000,0.4000,810.5735,false,false,6307814058645704904
Random,0.6389,0.6000,810.6053,true,false,10264966111433119558
Random,0.5278,0.4000,816.4972,false,false,16588847154838108504
Random,0.5278,0.4000,801.8739,false,true,11824326250485796480
Random,0.5556,0.2000,819.2922,false,false,17345357077446173885
Random,0.5000,0.6000,852.8743,false,false,2274715067136979199
Random,0.5833,1.0000,857.7209,false,false,17440334673260099568
