source_type,s1_edge_preservation,backbone_broken,placebo_broken,s2_dist,target_basin_hash,elite_reconstruction
BackbonePreserver,0.7500,0,6,830.3328,5739212504447643914,0
BackbonePreserver,0.6944,0,7,835.0500,1317356837511439522,0
BackbonePreserver,0.7500,0,7,819.2922,17345357077446173885,0
BackbonePreserver,0.7222,0,5,828.7001,10121627615558797951,0
BackbonePreserver,0.6111,0,9,835.0500,1317356837511439522,0
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,854.6170,2055257113323394818,0
BackbonePreserver,0.7500,0,6,804.0648,6063581546530241427,1
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,858.1911,13364294852125887391,0
BackbonePreserver,0.7500,0,7,927.8109,11334029296357064096,0
BackbonePreserver,0.7222,0,8,817.8002,12333060991338731011,0
BackbonePreserver,0.7222,0,6,828.7001,10121627615558797951,0
BackbonePreserver,0.7222,0,8,826.0082,5397702475199642,0
BackbonePreserver,0.7500,0,7,834.3771,17491741963748787141,0
BackbonePreserver,0.6667,0,8,801.8739,11824326250485796480,1
BackbonePreserver,0.7500,0,4,820.1789,11824326250485796480,0
BackbonePreserver,0.7500,0,6,845.9556,6954008508939780195,0
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,819.5007,13225244327087722692,0
BackbonePreserver,0.7222,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.6667,0,7,828.3204,1941884731723026855,0
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,803.2738,15328930014682100007,1
BackbonePreserver,0.6944,0,8,821.7963,10264966111433119558,0
BackbonePreserver,0.6389,0,8,854.7596,13582174528403163755,0
BackbonePreserver,0.6389,0,9,797.8718,10264966111433119558,1
BackbonePreserver,0.6944,0,7,805.5019,2362194408984126241,1
BackbonePreserver,0.7222,0,7,903.0179,15585300980388593983,0
BackbonePreserver,0.6944,0,8,812.2031,10264966111433119558,0
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,5,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,831.4938,15865672196618607671,0
BackbonePreserver,0.6389,0,9,838.3345,1392749124181593455,0
BackbonePreserver,0.7222,0,7,834.2525,13225244327087722692,0
BackbonePreserver,0.7222,0,6,816.4278,15328930014682100007,0
BackbonePreserver,0.7222,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,816.4278,15328930014682100007,0
