evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
TIME006-20260717T034500Z-gen20260820T104928773748Z-ADANIENT_NS,2026-07-17T03:45:00Z,ADANIENT.NS,SHORT,Watch,Mixed,0.349693,163,StateOnly,0.858181,3.0,3160.7000,3016.2936,3328.9701,HORIZON,3,false,false,true,0.008764,-0.016705,0.004113,true
TIME006-20260717T034500Z-gen20260820T104928773748Z-ADANIGREEN_NS,2026-07-17T03:45:00Z,ADANIGREEN.NS,SHORT,NoTrade,Unfavourable,0.295597,159,StateOnly,0.878752,4.0,1513.9000,1431.8852,1607.2311,NO_TRADE,4,false,false,false,0.093731,-0.029592,0.054175,false
TIME006-20260717T034500Z-gen20260820T104928773748Z-ADANIPORTS_NS,2026-07-17T03:45:00Z,ADANIPORTS.NS,SHORT,Watch,Mixed,0.312102,157,StateOnly,0.856933,3.0,1837.4000,1769.9145,1916.1524,HORIZON,3,false,false,true,0.013878,-0.010885,0.009796,true
TIME006-20260717T034500Z-gen20260820T104928773748Z-AMBUJACEM_NS,2026-07-17T03:45:00Z,AMBUJACEM.NS,LONG,NoTrade,Unfavourable,0.200000,40,Exact,1.817610,3.5,438.5000,466.9009,422.8746,NO_TRADE,4,false,false,false,0.015393,-0.038883,-0.035634,false
TIME006-20260717T034500Z-gen20260820T104928773748Z-APOLLOHOSP_NS,2026-07-17T03:45:00Z,APOLLOHOSP.NS,SHORT,NoTrade,Unfavourable,0.252941,170,StateOnly,1.107110,4.0,8826.0000,8517.6328,9104.5334,NO_TRADE,4,false,false,false,0.006175,-0.019714,-0.004079,false
TIME006-20260717T034500Z-gen20260820T104928773748Z-ASIANPAINT_NS,2026-07-17T03:45:00Z,ASIANPAINT.NS,SHORT,Watch,Mixed,0.352941,51,Exact,1.187052,4.0,2689.0000,2609.8659,2755.6644,HORIZON,4,false,false,true,0.012272,-0.011528,0.007512,true
TIME006-20260717T034500Z-gen20260820T104928773748Z-AUROPHARMA_NS,2026-07-17T03:45:00Z,AUROPHARMA.NS,SHORT,NoTrade,Unfavourable,0.242857,140,StateOnly,1.043275,3.0,1533.4000,1459.9140,1603.8378,NO_TRADE,3,false,false,false,0.011999,-0.033520,-0.000130,false
TIME006-20260717T034500Z-gen20260820T104928773748Z-AXISBANK_NS,2026-07-17T03:45:00Z,AXISBANK.NS,SHORT,Watch,Mixed,0.308824,68,Exact,1.433978,4.0,1328.5000,1271.2767,1368.4052,TARGET,1,true,false,false,0.059767,0.000000,0.043074,true
TIME006-20260717T034500Z-gen20260820T104928773748Z-BAJAJ-AUTO_NS,2026-07-17T03:45:00Z,BAJAJ-AUTO.NS,LONG,Buy,Favourable,0.480769,52,Exact,1.102107,4.5,10443.0000,10772.2868,10144.2206,TARGET,3,true,false,false,0.056306,-0.009624,0.031532,true
TIME006-20260717T034500Z-gen20260820T104928773748Z-BAJAJFINSV_NS,2026-07-17T03:45:00Z,BAJAJFINSV.NS,SHORT,NoTrade,Unfavourable,0.296552,145,StateOnly,1.202720,4.0,1854.0000,1780.3425,1915.2425,NO_TRADE,4,false,false,false,0.008198,-0.027400,-0.019094,false
TIME006-20260717T034500Z-gen20260820T104928773748Z-BAJFINANCE_NS,2026-07-17T03:45:00Z,BAJFINANCE.NS,SHORT,Sell,Favourable,0.407186,167,StateOnly,1.194335,4.0,1056.3000,1015.4605,1090.4944,HORIZON,4,false,false,true,0.018745,-0.017135,0.015621,true
TIME006-20260717T034500Z-gen20260820T104928773748Z-BANDHANBNK_NS,2026-07-17T03:45:00Z,BANDHANBNK.NS,SHORT,NoTrade,Unfavourable,0.296053,152,StateOnly,1.231059,3.0,213.2500,199.3486,224.5423,NO_TRADE,3,false,false,false,0.204877,-0.012521,0.118640,false
TIME006-20260717T034500Z-gen20260820T104928773748Z-BANKBARODA_NS,2026-07-17T03:45:00Z,BANKBARODA.NS,LONG,Buy,Favourable,0.416667,96,Exact,0.844595,3.5,246.8000,257.8261,233.7451,HORIZON,4,false,false,true,0.041329,-0.018436,-0.014789,true
TIME006-20260717T034500Z-gen20260820T104928773748Z-BERGEPAINT_NS,2026-07-17T03:45:00Z,BERGEPAINT.NS,SHORT,Watch,Mixed,0.318182,44,Exact,0.729438,2.0,493.7000,478.7457,514.2011,HORIZON,2,false,false,true,0.009317,-0.039801,-0.025724,true
TIME006-20260717T034500Z-gen20260820T104928773748Z-BHARTIARTL_NS,2026-07-17T03:45:00Z,BHARTIARTL.NS,SHORT,Watch,Mixed,0.337079,89,Exact,1.126214,3.0,1908.8000,1839.3813,1970.4391,HORIZON,3,false,false,true,0.003982,-0.024728,-0.021060,true
