ticker,direction,entry_price,adaptive_target,adaptive_risk,risk_distance,multiplier,adjusted_stop,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,false_stop,oqs,entry_state,h300_counterfactual_ret
BOSCHLTD_NS,SHORT,48470.000000,46689.002445,50486.348041,2016.348041,0.750000,49982.261031,48580.000000,10:14,HORIZON,-0.002269,-0.009387,False,62,WAIT-HIGH,-0.002269
BOSCHLTD_NS,SHORT,48470.000000,46689.002445,50486.348041,2016.348041,0.900000,50284.713237,48580.000000,10:14,HORIZON,-0.002269,-0.009387,False,62,WAIT-HIGH,-0.002269
BOSCHLTD_NS,SHORT,48470.000000,46689.002445,50486.348041,2016.348041,1.000000,50486.348041,48580.000000,10:14,HORIZON,-0.002269,-0.009387,False,62,WAIT-HIGH,-0.002269
BOSCHLTD_NS,SHORT,48470.000000,46689.002445,50486.348041,2016.348041,1.100000,50687.982845,48580.000000,10:14,HORIZON,-0.002269,-0.009387,False,62,WAIT-HIGH,-0.002269
BOSCHLTD_NS,SHORT,48470.000000,46689.002445,50486.348041,2016.348041,1.250000,50990.435051,48580.000000,10:14,HORIZON,-0.002269,-0.009387,False,62,WAIT-HIGH,-0.002269
BOSCHLTD_NS,SHORT,48470.000000,46689.002445,50486.348041,2016.348041,1.500000,51494.522062,48580.000000,10:14,HORIZON,-0.002269,-0.009387,False,62,WAIT-HIGH,-0.002269
BOSCHLTD_NS,SHORT,48470.000000,46689.002445,50486.348041,2016.348041,2.000000,52502.696082,48580.000000,10:14,HORIZON,-0.002269,-0.009387,False,62,WAIT-HIGH,-0.002269
CANBK_NS,SHORT,124.570000,120.596650,130.016548,5.446548,0.500000,127.293274,124.699997,10:14,HORIZON,-0.001044,-0.002167,False,66,WAIT-HIGH,-0.001044
CANBK_NS,SHORT,124.570000,120.596650,130.016548,5.446548,0.750000,128.654911,124.699997,10:14,HORIZON,-0.001044,-0.002167,False,66,WAIT-HIGH,-0.001044
CANBK_NS,SHORT,124.570000,120.596650,130.016548,5.446548,0.900000,129.471893,124.699997,10:14,HORIZON,-0.001044,-0.002167,False,66,WAIT-HIGH,-0.001044
CANBK_NS,SHORT,124.570000,120.596650,130.016548,5.446548,1.000000,130.016548,124.699997,10:14,HORIZON,-0.001044,-0.002167,False,66,WAIT-HIGH,-0.001044
CANBK_NS,SHORT,124.570000,120.596650,130.016548,5.446548,1.100000,130.561203,124.699997,10:14,HORIZON,-0.001044,-0.002167,False,66,WAIT-HIGH,-0.001044
CANBK_NS,SHORT,124.570000,120.596650,130.016548,5.446548,1.250000,131.378185,124.699997,10:14,HORIZON,-0.001044,-0.002167,False,66,WAIT-HIGH,-0.001044
CANBK_NS,SHORT,124.570000,120.596650,130.016548,5.446548,1.500000,132.739822,124.699997,10:14,HORIZON,-0.001044,-0.002167,False,66,WAIT-HIGH,-0.001044
CANBK_NS,SHORT,124.570000,120.596650,130.016548,5.446548,2.000000,135.463096,124.699997,10:14,HORIZON,-0.001044,-0.002167,False,66,WAIT-HIGH,-0.001044
DRREDDY_NS,LONG,1145.599976,1183.456885,1107.334671,38.265304,0.500000,1126.467323,1147.000000,10:14,HORIZON,0.001222,-0.001397,False,80,WAIT-HIGH,0.001222
DRREDDY_NS,LONG,1145.599976,1183.456885,1107.334671,38.265304,0.750000,1116.900997,1147.000000,10:14,HORIZON,0.001222,-0.001397,False,80,WAIT-HIGH,0.001222
DRREDDY_NS,LONG,1145.599976,1183.456885,1107.334671,38.265304,0.900000,1111.161202,1147.000000,10:14,HORIZON,0.001222,-0.001397,False,80,WAIT-HIGH,0.001222
DRREDDY_NS,LONG,1145.599976,1183.456885,1107.334671,38.265304,1.000000,1107.334671,1147.000000,10:14,HORIZON,0.001222,-0.001397,False,80,WAIT-HIGH,0.001222
DRREDDY_NS,LONG,1145.599976,1183.456885,1107.334671,38.265304,1.100000,1103.508141,1147.000000,10:14,HORIZON,0.001222,-0.001397,False,80,WAIT-HIGH,0.001222
DRREDDY_NS,LONG,1145.599976,1183.456885,1107.334671,38.265304,1.250000,1097.768345,1147.000000,10:14,HORIZON,0.001222,-0.001397,False,80,WAIT-HIGH,0.001222
DRREDDY_NS,LONG,1145.599976,1183.456885,1107.334671,38.265304,1.500000,1088.202019,1147.000000,10:14,HORIZON,0.001222,-0.001397,False,80,WAIT-HIGH,0.001222
DRREDDY_NS,LONG,1145.599976,1183.456885,1107.334671,38.265304,2.000000,1069.069367,1147.000000,10:14,HORIZON,0.001222,-0.001397,False,80,WAIT-HIGH,0.001222
