ticker,direction,date,entry_price,adaptive_target,adaptive_risk,candidate_stop_pct,candidate_stop_price,coverage_quality,n_obs,final_tier,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,bars_held,reassess_triggered,reassess_bar,reassess_time_ist,h300_counterfactual_ret
APOLLOHOSP_NS,LONG,20260904,8650.000000,9003.396940,8366.268768,-0.001927,8633.330000,LIMITED,2,mae_h60_p50,8707.500000,10:08,REASSESS_EXIT,0.006647,0.000000,42,True,54,10:08,0.006474
ASIANPAINT_NS,LONG,20260904,2527.300049,2608.346488,2448.576405,-0.000505,2526.020000,LIMITED,4,mae_h300_p50,2545.899902,10:14,HORIZON,0.007360,0.000000,48,False,None,None,0.007360
BANDHANBNK_NS,LONG,20260904,164.949997,173.968312,155.775964,-0.008525,163.540000,USABLE,5,mae_h300_p75,166.199997,10:00,REASSESS_EXIT,0.007578,0.000000,34,True,46,10:00,0.005092
BANKBARODA_NS,LONG,20260904,239.000000,249.677659,227.290194,-0.048995,227.290000,USABLE,5,adaptive_risk,240.369995,10:14,REASSESS_EXIT,0.005732,0.000000,48,True,60,10:14,0.005732
BERGEPAINT_NS,LONG,20260904,485.299988,502.924371,465.426272,-0.001648,484.500000,SPARSE,1,mae_h300_p50,484.950012,09:35,REASSESS_EXIT,-0.000721,-0.000721,9,True,21,09:35,0.000000
BHARTIARTL_NS,LONG,20260904,1840.000000,1913.703049,1789.863584,-0.000882,1838.380000,USABLE,5,mae_h300_p50,1861.599976,09:42,REASSESS_EXIT,0.011739,0.000000,16,True,28,09:42,0.011576
BPCL_NS,LONG,20260904,315.700012,328.297737,301.619556,-0.044601,301.620000,LIMITED,2,adaptive_risk,320.100006,10:14,HORIZON,0.013937,0.000000,48,False,None,None,0.013937
BRITANNIA_NS,LONG,20260904,5101.500000,5278.900456,4980.600462,-0.002488,5088.810000,USABLE,5,mae_h300_p50,5142.000000,10:14,HORIZON,0.007939,0.000000,48,False,None,None,0.007939
CHOLAFIN_NS,LONG,20260904,1839.000000,1921.220731,1754.993971,-0.045680,1754.990000,SPARSE,1,adaptive_risk,1852.000000,10:12,REASSESS_EXIT,0.007069,0.000000,46,True,58,10:12,0.007178
CIPLA_NS,LONG,20260904,1385.000000,1434.461677,1348.511238,-0.002996,1380.850000,LIMITED,2,mae_h300_p50,1380.850000,09:31,STOP,-0.002996,-0.003177,5,False,None,None,0.002310
COLPAL_NS,LONG,20260904,1829.199951,1907.823617,1774.064924,-0.001083,1827.220000,LIMITED,4,mae_h300_p50,1837.099976,09:41,REASSESS_EXIT,0.004319,0.000000,15,True,27,09:41,0.002460
DRREDDY_NS,LONG,20260904,1151.000000,1189.035356,1112.554324,-0.033402,1112.550000,LIMITED,3,adaptive_risk,1162.500000,10:14,HORIZON,0.009991,0.000000,48,False,None,None,0.009991
GAIL_NS,LONG,20260904,173.399994,179.854333,166.153626,-0.010987,171.490000,LIMITED,4,mae_h60_p50,173.649994,10:14,HORIZON,0.001442,0.000000,48,False,None,None,0.001442
GODREJPROP_NS,LONG,20260904,1982.000000,2090.227333,1873.409564,-0.054788,1873.410000,USABLE,5,adaptive_risk,2010.699951,09:32,REASSESS_EXIT,0.014480,0.000000,6,True,18,09:32,0.017407
HAVELLS_NS,LONG,20260904,1154.000000,1194.924169,1118.677492,-0.030609,1118.680000,SPARSE,1,adaptive_risk,1159.500000,09:41,REASSESS_EXIT,0.004766,0.000000,15,True,27,09:41,0.010312
HEROMOTOCO_NS,SHORT,20260904,5300.000000,5023.018738,5532.918777,-0.006794,5263.990000,LIMITED,3,mae_h300_p50,5263.990000,09:27,STOP,0.006794,-0.000755,1,False,None,None,0.000849
INDHOTEL_NS,LONG,20260904,720.000000,743.319838,684.293222,-0.006621,715.230000,USABLE,5,mae_h300_p50,726.650024,10:06,REASSESS_EXIT,0.009236,0.000000,40,True,52,10:06,0.008611
LICI_NS,LONG,20260904,415.350006,427.084921,402.431452,-0.002209,414.430000,USABLE,5,mae_h300_p50,415.299988,09:32,REASSESS_EXIT,-0.000120,-0.000120,6,True,18,09:32,0.003973
LT_NS,LONG,20260904,3964.100098,4139.987705,3804.206290,-0.004576,3945.960000,LIMITED,2,mae_h60_p50,3979.800049,10:14,HORIZON,0.003961,0.000000,48,False,None,None,0.003961
LUPIN_NS,LONG,20260904,2110.000000,2193.746761,2043.383883,-0.031572,2043.380000,USABLE,5,adaptive_risk,2127.199951,10:14,HORIZON,0.008152,0.000000,48,False,None,None,0.008152
MARICO_NS,LONG,20260904,815.150024,831.785701,791.816692,-0.028625,791.820000,SPARSE,1,adaptive_risk,820.250000,10:14,HORIZON,0.006256,0.000000,48,False,None,None,0.006256
