timestamp,volume_acceleration_60m,persistence_240m,trend_dir_240m,ret_15,ret_30,ret_60,ret_120,ret_300,mfe_60,mae_60,time_to_mfe_60,time_to_mae_60,max_recovery_after_mae_60,max_giveback_after_mfe_60,final_return_rel_mfe_60,final_return_rel_mae_60,crossed_pos_1pct_60,crossed_neg_1pct_60,crossed_pos_2pct_60,crossed_neg_2pct_60,exit_reason_60,volume_sum_60m,relative_volume_60m,volume_concentration_60m,Persistent_Build,Early_Excursion_Decay,Adverse_Excursion_Recovery,Flat_Bound,va_state,pers_state,cohort
1787152560,3.031458489460278,0.3433870623605505,1,0.0162820565378235,0.0253367202604291,0.0278677889528284,0.0207559003659328,0.0267357876685171,0.0398372886549412,-0.0036668103986122,11,2,0.0435040990535535,0.0266576876592109,-0.0119694997021127,0.0315345993514408,1,0,1,0,TimeStop,3362.25045,2.0341468183180162,0.06474373436398827,False,False,True,False,HIGH,HIGH,HIGH / HIGH
1787152620,3.2107801596205157,0.3098258903144908,1,0.0217665236566559,0.0274057184002879,0.0300348024361704,0.0219606372446071,0.0292707989559269,0.0425729801086076,-0.0010455731901232,10,1,0.0436185532987308,0.0267278209474662,-0.0125381776724371,0.0310803756262936,1,0,1,0,TimeStop,3363.25812,2.0134576231202863,0.06472433641221685,False,False,True,False,HIGH,HIGH,HIGH / HIGH
1787152680,3.357612711473143,0.3103436841422216,1,0.0229892074638613,0.0269023661800369,0.0300584828830055,0.0218642193324861,0.0286213480447781,0.0424890017410317,-0.0007105425037765,9,1,0.0431995442448082,0.026725668044202,-0.0124305188580261,0.030769025386782,1,0,1,0,TimeStop,3386.49083,2.0099063188377806,0.06428030103362187,False,False,True,False,HIGH,HIGH,HIGH / HIGH
1787152740,3.4089869404362148,0.308549259563421,1,0.0272590816361116,0.0271726919942298,0.0306681728860708,0.0204737451979507,0.0291539544408625,0.0423750192351936,-9.973804140896605e-05,8,1,0.0424747572766026,0.0267227459427614,-0.0117068463491227,0.0307679109274798,1,0,1,0,TimeStop,3402.42016,2.0148362551451613,0.06397935580066631,False,False,True,False,HIGH,HIGH,HIGH / HIGH
1787152800,3.170906770614097,0.3199265838969659,1,0.0221337245860405,0.0276372129233164,0.0288377698595682,0.0189657753690451,0.0282958050124263,0.0405126208940922,-0.0007461748061202,7,1,0.0412587957002125,0.0266750007485701,-0.011674851034524,0.0295839446656885,1,0,1,0,TimeStop,3431.27858,2.0185769004019627,0.06344126392675467,False,False,True,False,HIGH,HIGH,HIGH / HIGH
1787152860,3.071842678476973,0.3230062232583532,1,0.0240791193727078,0.0239249751760497,0.0273655335072818,0.0185754232792157,0.028336192982548,0.0400991910422766,0.0,6,1,0.0400991910422766,0.0266644018943273,-0.0127336575349947,0.0273655335072818,1,0,1,0,TimeStop,3476.5994199999996,2.0297436871489194,0.06261424561820816,False,False,False,False,HIGH,HIGH,HIGH / HIGH
1787152920,3.141102265079679,0.3288001829109374,1,0.0236863583365722,0.023093216538611,0.0266646237555681,0.0170677748213698,0.0269866064755299,0.0388950342312176,-0.0002092738198451,5,1,0.0391043080510628,0.0266335316451911,-0.0122304104756495,0.0268738975754132,1,0,1,0,TimeStop,3518.64486,2.035056889766911,0.06186604748738411,False,False,True,False,HIGH,HIGH,HIGH / HIGH
1787152980,2.6853851955480996,0.3316560351473139,1,0.0233344320031459,0.0213929838328198,0.0266994693813273,0.0154027929720593,0.0275599280555547,0.0384073252091531,0.0,4,1,0.0384073252091531,0.0266210285402143,-0.0117078558278258,0.0266994693813273,1,0,1,0,TimeStop,3620.33483,2.05824084754567,0.060128319678100055,False,False,False,False,HIGH,HIGH,HIGH / HIGH
1787153040,2.8277347859151254,0.3553822036583939,1,0.0215638592914399,0.0153492753595155,0.0234041593936771,0.0112173790513795,0.0235550378140901,0.0341272405036245,-0.0017901560907192,3,1,0.0359173965943438,0.0265113025643527,-0.0107230811099474,0.0251943154843963,1,0,1,0,TimeStop,4052.78029,2.166942765896567,0.11041578816995283,False,True,True,False,HIGH,HIGH,HIGH / HIGH
1787153100,2.3474135448133913,0.3507313746349545,1,0.0240329217371916,0.0194446466377682,0.0237380420015323,0.0109720269133952,0.0242176495271728,0.0345351654876688,-0.0004030965795883,2,1,0.0349382620672572,0.0265217602935876,-0.0107971234861364,0.0241411385811207,1,0,1,0,TimeStop,4117.083269999999,2.1741804442861867,0.1086912507358638,False,True,True,False,HIGH,HIGH,HIGH / HIGH
