decision_id,cohort_date,ticker,direction,action,target_rate,rank_score,sample_size,evidence_class,certification_status,reference_price,adaptive_target,adaptive_risk,realized_return,exit_reason,target_reached,gap_through,win
LIVE-005-20260821-1027-NAUKRI_NS,20260821,NAUKRI_NS,SHORT,Watch,0.3228346456692913,0.3578763896589155,127,Mixed,DEGRADED,1350.0999755859375,1265.9078694812906,1407.5850517442238,1.0,TARGET_GAP_THROUGH,True,True,True
LIVE-005-20260821-0654-NAUKRI_NS,20260821,NAUKRI_NS,SHORT,Watch,0.3228346456692913,0.3578763896589155,127,Mixed,DEGRADED,1360.9000244140625,1276.0344282914054,1418.8449492062462,1.0,TARGET_GAP_THROUGH,True,True,True
LIVE-005-20260826-1000-BAJAJFINSV_NS,20260826,BAJAJFINSV_NS,SHORT,Watch,0.3269230769230769,0.4835807583921535,52,Mixed,STALE,2010.0,1930.341687360396,2076.316042250039,-0.0004975124378109452,HORIZON,False,False,False
LIVE-005-20260826-1000-RELIANCE_NS,20260826,RELIANCE_NS,SHORT,Watch,0.32558139534883723,0.4514685297358953,86,Mixed,STALE,1298.0,1263.7344365642239,1336.640506470683,0.00847457627118644,HORIZON,False,False,True
LIVE-005-20260828-1000-BAJAJFINSV_NS,20260828,BAJAJFINSV_NS,SHORT,Watch,0.3269230769230769,0.4835807583921535,52,Mixed,STALE,2002.0,1922.658735370902,2068.0520978032728,0.005994005994005994,HORIZON,False,False,True
LIVE-005-20260828-1000-RELIANCE_NS,20260828,RELIANCE_NS,SHORT,Watch,0.32558139534883723,0.4514685297358953,86,Mixed,STALE,1287.0,1253.0248226950355,1325.31304455144,-0.012043512043512044,HORIZON,False,False,False
LIVE-005-20260831-1000-RELIANCE_NS,20260831,RELIANCE_NS,SHORT,Watch,0.32558139534883723,0.4514685297358953,86,Mixed,STALE,1277.0,1243.2888100866824,1315.0153518975826,-0.029769265385734225,RISK,False,False,False
LIVE-005-20260831-1000-BAJAJFINSV_NS,20260831,BAJAJFINSV_NS,SHORT,Watch,0.3269230769230769,0.4835807583921535,52,Mixed,STALE,2021.0,1940.9057463459503,2087.678965864343,0.03963100131323587,TARGET,True,False,True
LIVE-005-20260902-1000-RELIANCE_NS,20260902,RELIANCE_NS,SHORT,Watch,0.32558139534883723,0.4514685297358953,86,Mixed,STALE,1313.0999755859375,1278.4357918332748,1352.1899972371564,0.00959559501957578,HORIZON,False,False,True
LIVE-005-20260902-1000-BAJAJFINSV_NS,20260902,BAJAJFINSV_NS,SHORT,Watch,0.3269230769230769,0.4835807583921535,52,Mixed,STALE,1990.0,1911.1343073866608,2055.6561811331235,0.025829157997016332,HORIZON,False,False,True
LIVE-005-20260903-1000-BAJAJFINSV_NS,20260903,BAJAJFINSV_NS,SHORT,Watch,0.3269230769230769,0.4835807583921535,52,Mixed,STALE,1992.0999755859375,1913.1510588373942,2057.8254413308428,0.024145362268673202,HORIZON,False,False,True
LIVE-005-20260903-1000-RELIANCE_NS,20260903,RELIANCE_NS,SHORT,Watch,0.32558139534883723,0.4514685297358953,86,Mixed,STALE,1302.5,1268.1156422379827,1341.2744681649187,0.001305144853646833,HORIZON,False,False,True
LIVE-005-20260904-1000-BAJAJFINSV_NS,20260904,BAJAJFINSV_NS,SHORT,Watch,0.3269230769230769,0.4835807583921535,52,Mixed,STALE,1970.0,1891.9269274129254,2034.9963200162076,0.010710647505552031,HORIZON,False,False,True
LIVE-005-20260904-1000-JUBLFOOD_NS,20260904,JUBLFOOD_NS,SHORT,Watch,0.32608695652173914,0.4683722876662995,46,Mixed,STALE,482.7000122070313,465.5212621283755,499.0096526326926,0.017402163251779287,HORIZON,False,False,True
LIVE-005-20260907-1000-JUBLFOOD_NS,20260907,JUBLFOOD_NS,SHORT,Watch,0.32608695652173914,0.4683722876662995,46,Mixed,STALE,475.3999938964844,458.4810432521669,491.4629786960118,0.0023138538444222234,HORIZON,False,False,True
LIVE-005-20260907-1000-BAJAJFINSV_NS,20260907,BAJAJFINSV_NS,SHORT,Watch,0.3269230769230769,0.4835807583921535,52,Mixed,STALE,1938.5999755859375,1861.7713174076523,2002.5603128430928,-0.0053131378096772305,HORIZON,False,False,False
LIVE-005-20260907-1000-RELIANCE_NS,20260907,RELIANCE_NS,SHORT,Watch,0.32558139534883723,0.4514685297358953,86,Mixed,STALE,1309.5,1274.9308510638298,1348.4828530226189,0.006567373490597556,HORIZON,False,False,True
