ticker,direction,date,entry_price,adaptive_target,adaptive_risk,candidate_stop_pct,candidate_stop_price,stop_confidence,coverage_quality,n_obs,path_context,final_tier,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,max_favourable_excursion,bars_held,h300_counterfactual_ret,stop_consequence_pp
APOLLOHOSP_NS,LONG,20260904,8650.000000,9003.396940,8366.268768,-0.001927,8633.330000,LOW,LIMITED,2,STRONG_FAVOUR,mae_h60_p50,8706.000000,10:14,HORIZON,0.006474,0.000000,0.007977,48,0.006474,0.000000
ASIANPAINT_NS,LONG,20260904,2527.300049,2608.346488,2448.576405,-0.000505,2526.020000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h300_p50,2545.899902,10:14,HORIZON,0.007360,0.000000,0.008982,48,0.007360,0.000000
BANDHANBNK_NS,LONG,20260904,164.949997,173.968312,155.775964,-0.008525,163.540000,MEDIUM,USABLE,5,NORMAL,mae_h300_p75,165.789993,10:14,HORIZON,0.005092,0.000000,0.010852,48,0.005092,0.000000
BANKBARODA_NS,LONG,20260904,239.000000,249.677659,227.290194,-0.048995,227.290000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,240.369995,10:14,HORIZON,0.005732,0.000000,0.008159,48,0.005732,0.000000
BERGEPAINT_NS,LONG,20260904,485.299988,502.924371,465.426272,-0.001648,484.500000,LOW,SPARSE,1,NORMAL,mae_h300_p50,484.500000,09:49,STOP,-0.001648,-0.001648,0.005255,23,0.000000,-0.001648
BHARTIARTL_NS,LONG,20260904,1840.000000,1913.703049,1789.863584,-0.000882,1838.380000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,1861.300049,10:14,HORIZON,0.011576,0.000000,0.014565,48,0.011576,0.000000
BPCL_NS,LONG,20260904,315.700012,328.297737,301.619556,-0.044601,301.620000,LOW,LIMITED,2,STRONG_FAVOUR,adaptive_risk,320.100006,10:14,HORIZON,0.013937,0.000000,0.015363,48,0.013937,0.000000
BRITANNIA_NS,LONG,20260904,5101.500000,5278.900456,4980.600462,-0.002488,5088.810000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,5142.000000,10:14,HORIZON,0.007939,0.000000,0.007939,48,0.007939,0.000000
CHOLAFIN_NS,LONG,20260904,1839.000000,1921.220731,1754.993971,-0.045680,1754.990000,LOW,SPARSE,1,STRONG_FAVOUR,adaptive_risk,1852.199951,10:14,HORIZON,0.007178,0.000000,0.011147,48,0.007178,0.000000
CIPLA_NS,LONG,20260904,1385.000000,1434.461677,1348.511238,-0.002996,1380.850000,LOW,LIMITED,2,NORMAL,mae_h300_p50,1380.850000,09:31,STOP,-0.002996,-0.003177,0.000000,5,0.002310,-0.005307
COLPAL_NS,LONG,20260904,1829.199951,1907.823617,1774.064924,-0.001083,1827.220000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h300_p50,1833.699951,10:14,HORIZON,0.002460,0.000000,0.011262,48,0.002460,0.000000
DRREDDY_NS,LONG,20260904,1151.000000,1189.035356,1112.554324,-0.033402,1112.550000,LOW,LIMITED,3,STRONG_FAVOUR,adaptive_risk,1162.500000,10:14,HORIZON,0.009991,0.000000,0.011034,48,0.009991,0.000000
GAIL_NS,LONG,20260904,173.399994,179.854333,166.153626,-0.010987,171.490000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h60_p50,173.649994,10:14,HORIZON,0.001442,0.000000,0.003172,48,0.001442,0.000000
GODREJPROP_NS,LONG,20260904,1982.000000,2090.227333,1873.409564,-0.054788,1873.410000,MEDIUM,USABLE,5,STRONG_FAVOUR,adaptive_risk,2016.500000,10:14,HORIZON,0.017407,0.000000,0.019828,48,0.017407,0.000000
HAVELLS_NS,LONG,20260904,1154.000000,1194.924169,1118.677492,-0.030609,1118.680000,LOW,SPARSE,1,STRONG_FAVOUR,adaptive_risk,1165.900024,10:14,HORIZON,0.010312,0.000000,0.012998,48,0.010312,0.000000
HEROMOTOCO_NS,SHORT,20260904,5300.000000,5023.018738,5532.918777,-0.006794,5263.990000,LOW,LIMITED,3,NORMAL,mae_h300_p50,5263.990000,09:27,STOP,0.006794,-0.000755,0.000094,1,0.000849,0.005945
INDHOTEL_NS,LONG,20260904,720.000000,743.319838,684.293222,-0.006621,715.230000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,726.200012,10:14,HORIZON,0.008611,0.000000,0.014028,48,0.008611,0.000000
LICI_NS,LONG,20260904,415.350006,427.084921,402.431452,-0.002209,414.430000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,417.000000,10:14,HORIZON,0.003973,-0.000120,0.008066,48,0.003973,0.000000
LT_NS,LONG,20260904,3964.100098,4139.987705,3804.206290,-0.004576,3945.960000,LOW,LIMITED,2,STRONG_FAVOUR,mae_h60_p50,3979.800049,10:14,HORIZON,0.003961,0.000000,0.006508,48,0.003961,0.000000
LUPIN_NS,LONG,20260904,2110.000000,2193.746761,2043.383883,-0.031572,2043.380000,MEDIUM,USABLE,5,STRONG_FAVOUR,adaptive_risk,2127.199951,10:14,HORIZON,0.008152,0.000000,0.010047,48,0.008152,0.000000
