ticker,direction,n_obs,mae_h300_p25,mae_h300_p50,mae_h300_p75,mae_h300_p90,mae_h300_p95,mae_h60_p50,mae_h60_p75,mfe_h300_p50,win_rate_h300,recovery_rate,mean_ret_h300,mean_time_to_recovery_bars
HDFCBANK_NS,LONG,5,-0.002393,-0.002264,-0.001133,-0.000453,-0.000227,-0.001337,-0.000283,0.003610,0.600000,0.600000,0.001921,1.250000
HDFCLIFE_NS,LONG,5,-0.001390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014358,0.800000,0.800000,0.004718,10.800000
HEROMOTOCO_NS,LONG,1,-0.002300,-0.002300,-0.002300,-0.002300,-0.002300,0.000000,0.000000,0.014278,0.000000,0.000000,-0.001150,1
HEROMOTOCO_NS,SHORT,3,-0.010702,-0.006794,-0.005189,-0.004227,-0.003906,-0.002925,-0.002076,0.001887,0.333333,0.333333,-0.003794,2
HINDALCO_NS,LONG,1,-0.004847,-0.004847,-0.004847,-0.004847,-0.004847,-0.004847,-0.004847,0.002077,0.000000,0.000000,-0.001978,48
HINDALCO_NS,SHORT,1,-0.012376,-0.012376,-0.012376,-0.012376,-0.012376,-0.006832,-0.006832,0.000000,0.000000,0.000000,-0.004455,nan
HINDUNILVR_NS,LONG,2,-0.008399,-0.005599,-0.002800,-0.001120,-0.000560,-0.004282,-0.002141,0.003568,0.500000,0.500000,-0.002017,1
ICICIBANK_NS,LONG,1,-0.001944,-0.001944,-0.001944,-0.001944,-0.001944,-0.001944,-0.001944,0.004607,1.000000,1.000000,0.000216,1
ICICIBANK_NS,SHORT,4,-0.010971,-0.009036,-0.007585,-0.005808,-0.005216,-0.009036,-0.006850,0.000142,0.250000,0.250000,-0.003800,27
ICICIPRULI_NS,SHORT,2,-0.014319,-0.012579,-0.010839,-0.009795,-0.009447,-0.010254,-0.007351,0.001769,0.000000,0.000000,-0.009195,1
IDEA_NS,SHORT,5,-0.008425,-0.003205,0.000000,0.000000,0.000000,0.000000,0.000000,0.020619,0.800000,0.800000,0.004073,1.250000
IDFCFIRSTB_NS,SHORT,5,-0.007791,-0.003818,-0.001734,-0.000694,-0.000347,-0.003818,0.000000,0.005090,0.400000,0.400000,0.003344,1.333333
IGL_NS,LONG,2,-0.035844,-0.026573,-0.017302,-0.011739,-0.009885,-0.026130,-0.017081,0.002008,0.500000,0.500000,-0.009915,54
INDHOTEL_NS,LONG,5,-0.007056,-0.006621,-0.003072,-0.001229,-0.000614,-0.006621,-0.002793,0.002583,0.200000,0.200000,-0.001666,11.500000
INDUSINDBK_NS,LONG,3,-0.008573,-0.006933,-0.003467,-0.001387,-0.000693,-0.006933,-0.003467,0.003014,0.666667,0.666667,0.002172,2
INDUSINDBK_NS,SHORT,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009761,1.000000,1.000000,0.001793,1
INDUSTOWER_NS,LONG,5,-0.006900,-0.001472,0.000000,0.000000,0.000000,0.000000,0.000000,0.006823,0.800000,0.800000,0.003004,12.500000
INFY_NS,LONG,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022319,1.000000,1.000000,0.008696,1
INFY_NS,SHORT,4,-0.016233,-0.012875,-0.008365,-0.003676,-0.002113,-0.012875,-0.008228,0.003450,0.500000,0.500000,-0.003262,5
