ticker,direction,date,entry_price,adaptive_target,adaptive_risk,candidate_stop_pct,candidate_stop_price,coverage_quality,n_obs,final_tier,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,bars_held,reassess_triggered,reassess_bar,reassess_time_ist,h300_counterfactual_ret
BAJAJ-AUTO_NS,LONG,20260909,11790.000000,12161.760138,11452.682285,-0.028610,11452.680000,SPARSE,1,adaptive_risk,11833.000000,09:37,REASSESS_EXIT,0.003647,0.000000,11,True,23,09:37,0.004580
BAJAJFINSV_NS,LONG,20260909,1927.000000,1997.135710,1855.417215,-0.037147,1855.420000,SPARSE,1,adaptive_risk,1930.400024,09:59,REASSESS_EXIT,0.001764,0.000000,33,True,45,09:59,0.002335
BAJFINANCE_NS,LONG,20260909,1039.300049,1078.735818,1004.141040,-0.000951,1038.310000,LIMITED,4,mae_h300_p50,1043.300049,09:37,REASSESS_EXIT,0.003849,0.000000,11,True,23,09:37,0.003464
BANKBARODA_NS,LONG,20260909,234.100006,244.558751,222.630276,-0.048995,222.630000,USABLE,5,adaptive_risk,235.500000,09:38,REASSESS_EXIT,0.005980,0.000000,12,True,24,09:38,0.007518
BHARTIARTL_NS,LONG,20260909,1814.699951,1887.389581,1765.252913,-0.000882,1813.100000,USABLE,5,mae_h300_p50,1820.300049,09:53,REASSESS_EXIT,0.003086,0.000000,27,True,39,09:53,0.004739
CANBK_NS,LONG,20260909,124.080002,130.931045,117.432736,-0.053572,117.430000,SPARSE,1,adaptive_risk,124.900002,10:14,HORIZON,0.006609,0.000000,48,False,None,None,0.006609
COALINDIA_NS,SHORT,20260909,431.000000,413.742844,447.048246,-0.007193,427.900000,SPARSE,1,mae_h60_p50,427.900000,09:27,STOP,0.007193,-0.006381,1,False,None,None,-0.006613
COLPAL_NS,LONG,20260909,1800.000000,1877.368578,1745.745106,-0.001083,1798.050000,LIMITED,4,mae_h300_p50,1802.300049,09:44,REASSESS_EXIT,0.001278,0.000000,18,True,30,09:44,-0.000889
DABUR_NS,LONG,20260909,371.549988,382.356590,361.124347,-0.002934,370.460000,USABLE,5,mae_h300_p75,371.149994,09:47,REASSESS_EXIT,-0.001077,-0.001211,21,True,33,09:47,-0.007267
GODREJPROP_NS,LONG,20260909,1857.099976,1958.507128,1755.352601,-0.054788,1755.350000,USABLE,5,adaptive_risk,1888.400024,09:57,REASSESS_EXIT,0.016854,0.000000,31,True,43,09:57,0.014862
HCLTECH_NS,LONG,20260909,1229.800049,1275.714760,1181.838023,-0.039000,1181.840000,SPARSE,1,adaptive_risk,1240.500000,09:48,REASSESS_EXIT,0.008701,0.000000,22,True,34,09:48,0.012604
HDFCBANK_NS,LONG,20260909,687.099976,701.975872,670.407240,-0.002264,685.540000,USABLE,5,mae_h300_p50,696.049988,09:46,REASSESS_EXIT,0.013026,0.000000,20,True,32,09:46,0.008441
HDFCLIFE_NS,LONG,20260909,514.000000,529.518815,495.937370,-0.035141,495.940000,USABLE,5,adaptive_risk,526.000000,09:36,REASSESS_EXIT,0.023346,0.000000,10,True,22,09:36,0.004572
HEROMOTOCO_NS,LONG,20260909,5218.000000,5413.834251,5005.011963,-0.002300,5206.000000,SPARSE,1,mae_h300_p50,5229.000000,09:35,REASSESS_EXIT,0.002108,0.000000,9,True,21,09:35,-0.001150
INFY_NS,LONG,20260909,1035.000000,1063.742742,994.233643,-0.039388,994.230000,SPARSE,1,adaptive_risk,1045.699951,09:46,REASSESS_EXIT,0.010338,0.000000,20,True,32,09:46,0.008696
ITC_NS,LONG,20260909,260.799988,266.097431,254.190096,-0.001518,260.400000,USABLE,5,mae_h300_p50,262.250000,09:53,REASSESS_EXIT,0.005560,0.000000,27,True,39,09:53,0.004026
LICI_NS,LONG,20260909,407.500000,423.440427,395.061008,-0.002209,406.600000,USABLE,5,mae_h300_p50,408.149994,09:59,REASSESS_EXIT,0.001595,0.000000,33,True,45,09:59,-0.002209
LUPIN_NS,LONG,20260909,2100.000000,2183.349857,2033.699600,-0.031572,2033.700000,USABLE,5,adaptive_risk,2102.300049,09:57,REASSESS_EXIT,0.001095,0.000000,31,True,43,09:57,-0.001190
MUTHOOTFIN_NS,LONG,20260909,2815.000000,2905.518779,2678.653429,-0.002098,2809.090000,LIMITED,2,mae_h60_p50,2828.600098,09:43,REASSESS_EXIT,0.004831,0.000000,17,True,29,09:43,-0.004440
NAUKRI_NS,SHORT,20260909,1267.000000,1187.445582,1319.113713,-0.011180,1252.830000,LIMITED,4,mae_h300_p50,1252.830000,09:27,STOP,0.011184,0.000000,1,False,None,None,0.001342
NESTLEIND_NS,LONG,20260909,1393.000000,1434.906461,1359.326901,-0.002790,1389.110000,USABLE,5,mae_h300_p50,1390.400024,10:07,REASSESS_EXIT,-0.001866,-0.001866,41,True,53,10:07,-0.001149
ONGC_NS,LONG,20260909,234.020004,241.643402,226.220503,-0.000856,233.820000,USABLE,5,mae_h300_p50,237.600006,09:32,REASSESS_EXIT,0.015298,0.000000,6,True,18,09:32,0.011837
PAGEIND_NS,LONG,20260909,35395.000000,36845.876937,34213.466619,-0.004743,35227.120000,LIMITED,4,mae_h60_p50,35600.000000,10:01,REASSESS_EXIT,0.005792,0.000000,27,True,39,10:01,0.011442
PIDILITIND_NS,LONG,20260909,1572.000000,1625.077088,1524.946060,-0.000573,1571.100000,SPARSE,1,mae_h60_p50,1571.100000,09:27,STOP,-0.000573,-0.000763,1,False,None,None,0.000954
RECLTD_NS,LONG,20260909,314.500000,326.226324,300.316001,-0.000474,314.350000,USABLE,5,mae_h300_p50,316.200012,09:46,REASSESS_EXIT,0.005405,0.000000,20,True,32,09:46,0.002862
RELIANCE_NS,LONG,20260909,1279.000000,1314.674682,1241.550449,-0.000860,1277.900000,SPARSE,1,mae_h60_p50,1286.000000,09:48,REASSESS_EXIT,0.005473,0.000000,22,True,34,09:48,0.004691
SBILIFE_NS,LONG,20260909,1684.000000,1749.069147,1631.197937,-0.000772,1682.700000,USABLE,5,mae_h300_p50,1687.000000,09:45,REASSESS_EXIT,0.001781,0.000000,19,True,31,09:45,0.001781
SHREECEM_NS,LONG,20260909,22950.000000,23749.225431,22194.045608,-0.001572,22913.920000,LIMITED,4,mae_h300_p50,23085.000000,09:36,REASSESS_EXIT,0.005882,0.000000,10,True,22,09:36,0.008932
TATACONSUM_NS,LONG,20260909,1001.000000,1044.640630,972.078647,-0.000446,1000.550000,LIMITED,4,mae_h60_p50,1009.099976,09:44,REASSESS_EXIT,0.008092,0.000000,18,True,30,09:44,0.003696
ULTRACEMCO_NS,LONG,20260909,10900.000000,11205.298300,10592.729744,-0.002610,10871.550000,LIMITED,4,mae_h300_p50,10949.000000,10:14,HORIZON,0.004495,0.000000,48,False,None,None,0.004495
UNITDSPR_NS,LONG,20260909,1405.199951,1453.215231,1352.029188,-0.037839,1352.030000,LIMITED,3,adaptive_risk,1424.900024,09:46,REASSESS_EXIT,0.014019,0.000000,20,True,32,09:46,0.007757
VEDL_NS,SHORT,20260909,272.500000,259.193630,284.764362,-0.002020,271.950000,USABLE,5,mae_h300_p75,271.950000,09:27,STOP,0.002018,-0.000367,1,False,None,None,0.003670
WIPRO_NS,LONG,20260909,167.000000,171.747997,160.619820,-0.001257,166.790000,LIMITED,2,mae_h300_p50,167.860001,09:47,REASSESS_EXIT,0.005150,0.000000,21,True,33,09:47,0.006886
