ticker,direction,date,entry_price,adaptive_risk,adaptive_risk_pct,n_obs,coverage_quality,h60_ret,path_context,base_tier,final_tier,candidate_stop_pct,candidate_stop_price,confidence,rationale,vs_adaptive_risk_pp
PNB_NS,SHORT,20260908,116.300003,121.358002,-0.043491,5,USABLE,0.002150,STRONG_FAVOUR,mae_h300_p75,mae_h300_p50,-0.008563,115.300000,MEDIUM,"n=5 (USABLE), base=mae_h300_p75, ctx=STRONG_FAVOUR → final=mae_h300_p50. H60=+0.215%. Candidate=-0.856% vs AR=-4.349%.",0.034928
RECLTD_NS,LONG,20260908,315.600006,301.366397,-0.045100,5,USABLE,0.002852,NORMAL,mae_h300_p75,adaptive_risk,-0.045100,301.370000,MEDIUM,"n=5 (USABLE), base=mae_h300_p75, ctx=NORMAL → final=adaptive_risk. H60=+0.285%. Candidate=-4.510% vs AR=-4.510%.",0.000000
SBILIFE_NS,LONG,20260908,1723.599976,1669.556249,-0.031355,5,USABLE,0.003017,NORMAL,mae_h300_p75,adaptive_risk,-0.031355,1669.560000,MEDIUM,"n=5 (USABLE), base=mae_h300_p75, ctx=NORMAL → final=adaptive_risk. H60=+0.302%. Candidate=-3.136% vs AR=-3.136%.",0.000000
SBIN_NS,SHORT,20260908,1006.099976,1037.332768,-0.031043,3,LIMITED,0.001093,NORMAL,mae_h300_p50,mae_h300_p50,-0.009743,996.300000,LOW,"n=3 (LIMITED), base=mae_h300_p50, ctx=NORMAL → final=mae_h300_p50. H60=+0.109%. Candidate=-0.974% vs AR=-3.104%.",0.021300
TATACONSUM_NS,LONG,20260908,1009.900024,980.721528,-0.028892,4,LIMITED,0.000099,NORMAL,mae_h300_p50,mae_h300_p50,-0.000792,1009.100000,LOW,"n=4 (LIMITED), base=mae_h300_p50, ctx=NORMAL → final=mae_h300_p50. H60=+0.010%. Candidate=-0.079% vs AR=-2.889%.",0.028100
TITAN_NS,SHORT,20260908,4990.500000,5135.901667,-0.029136,4,LIMITED,0.000601,NORMAL,mae_h300_p50,mae_h300_p50,-0.000751,4986.750000,LOW,"n=4 (LIMITED), base=mae_h300_p50, ctx=NORMAL → final=mae_h300_p50. H60=+0.060%. Candidate=-0.075% vs AR=-2.914%.",0.028385
TRENT_NS,LONG,20260908,2784.500000,2657.158150,-0.045732,5,USABLE,-0.000898,NORMAL,mae_h300_p75,adaptive_risk,-0.045732,2657.160000,MEDIUM,"n=5 (USABLE), base=mae_h300_p75, ctx=NORMAL → final=adaptive_risk. H60=-0.090%. Candidate=-4.573% vs AR=-4.573%.",0.000000
ULTRACEMCO_NS,LONG,20260908,11113.000000,10799.725289,-0.028190,4,LIMITED,0.000810,NORMAL,mae_h300_p50,mae_h300_p50,-0.002610,11084.000000,LOW,"n=4 (LIMITED), base=mae_h300_p50, ctx=NORMAL → final=mae_h300_p50. H60=+0.081%. Candidate=-0.261% vs AR=-2.819%.",0.025580
UNITDSPR_NS,SHORT,20260908,1434.500000,1499.403374,-0.045245,1,SPARSE,0.002858,STRONG_FAVOUR,mae_h60_p50,mae_h60_p50,-0.000906,1433.200000,LOW,"n=1 (SPARSE), base=mae_h60_p50, ctx=STRONG_FAVOUR → final=mae_h60_p50. H60=+0.286%. Candidate=-0.091% vs AR=-4.524%.",0.044339
UPL_NS,LONG,20260908,573.700012,554.810904,-0.032925,4,LIMITED,0.002266,STRONG_FAVOUR,mae_h300_p50,mae_h60_p50,-0.002070,572.510000,LOW,"n=4 (LIMITED), base=mae_h300_p50, ctx=STRONG_FAVOUR → final=mae_h60_p50. H60=+0.227%. Candidate=-0.207% vs AR=-3.293%.",0.030855
VBL_NS,LONG,20260908,404.450012,389.888078,-0.036004,5,USABLE,0.002349,NORMAL,mae_h300_p75,mae_h300_p75,-0.001854,403.700000,MEDIUM,"n=5 (USABLE), base=mae_h300_p75, ctx=NORMAL → final=mae_h300_p75. H60=+0.235%. Candidate=-0.185% vs AR=-3.600%.",0.034150
VEDL_NS,SHORT,20260908,272.250000,284.503110,-0.045007,5,USABLE,0.002571,NORMAL,mae_h300_p75,mae_h300_p75,-0.002020,271.700000,MEDIUM,"n=5 (USABLE), base=mae_h300_p75, ctx=NORMAL → final=mae_h300_p75. H60=+0.257%. Candidate=-0.202% vs AR=-4.501%.",0.042987
WIPRO_NS,SHORT,20260908,172.199997,177.512231,-0.030849,3,LIMITED,0.001394,NORMAL,mae_h300_p50,mae_h300_p50,-0.011609,170.200000,LOW,"n=3 (LIMITED), base=mae_h300_p50, ctx=NORMAL → final=mae_h300_p50. H60=+0.139%. Candidate=-1.161% vs AR=-3.085%.",0.019240
