ticker,direction,date,entry_price,adaptive_target,adaptive_risk,candidate_stop_pct,candidate_stop_price,stop_confidence,coverage_quality,n_obs,path_context,final_tier,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,max_favourable_excursion,bars_held,h300_counterfactual_ret,stop_consequence_pp
ADANIGREEN_NS,LONG,20260908,1280.000000,1363.590213,1199.802005,-0.062655,1199.800000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,1284.400024,10:14,HORIZON,0.003438,-0.003281,0.005469,48,0.003438,0.000000
AMBUJACEM_NS,LONG,20260908,396.950012,413.343314,380.599025,-0.003149,395.700000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,395.700000,10:05,STOP,-0.003149,-0.004031,0.003023,39,0.005164,-0.008313
ASIANPAINT_NS,LONG,20260908,2476.899902,2556.330090,2399.746188,-0.000505,2475.650000,LOW,LIMITED,4,NORMAL,mae_h300_p50,2475.650000,09:46,STOP,-0.000505,-0.000565,0.002665,20,0.001090,-0.001595
BHARTIARTL_NS,LONG,20260908,1832.199951,1905.590561,1782.276072,-0.000546,1831.200000,MEDIUM,USABLE,5,NORMAL,mae_h300_p75,1831.200000,10:14,STOP,-0.000546,-0.000546,0.004694,48,-0.000382,-0.000164
BOSCHLTD_NS,SHORT,20260908,48470.000000,46689.002445,50486.348041,-0.001135,48414.990000,LOW,LIMITED,4,NORMAL,mae_h300_p50,48414.990000,09:59,STOP,0.001135,-0.000516,0.003920,33,-0.002269,0.003404
CANBK_NS,SHORT,20260908,124.570000,120.596650,130.016548,-0.014132,122.810000,LOW,LIMITED,4,NORMAL,mae_h300_p50,122.810000,09:27,STOP,0.014129,-0.000080,0.000562,1,-0.001044,0.015172
DRREDDY_NS,LONG,20260908,1145.599976,1183.456885,1107.334671,-0.033402,1107.330000,LOW,LIMITED,3,NORMAL,adaptive_risk,1147.000000,10:14,HORIZON,0.001222,-0.001397,0.002793,48,0.001222,0.000000
GODREJPROP_NS,LONG,20260908,1895.400024,1998.898556,1791.554255,-0.054788,1791.550000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,1899.900024,10:14,HORIZON,0.002374,-0.004959,0.003166,48,0.002374,0.000000
HDFCBANK_NS,LONG,20260908,706.349976,721.642640,689.189571,-0.001133,705.550000,MEDIUM,USABLE,5,NORMAL,mae_h300_p75,705.550000,09:44,STOP,-0.001133,-0.001133,0.001557,18,0.001062,-0.002194
HDFCLIFE_NS,LONG,20260908,539.750000,561.387549,521.226293,-0.034319,521.230000,MEDIUM,USABLE,5,STRONG_FAVOUR,adaptive_risk,541.450012,10:14,HORIZON,0.003150,-0.001390,0.009727,48,0.003150,0.000000
INDUSTOWER_NS,LONG,20260908,373.750000,391.967676,357.552267,-0.043338,357.550000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,373.950012,10:14,HORIZON,0.000535,-0.001472,0.003211,48,0.000535,0.000000
IOC_NS,LONG,20260908,134.789993,139.528877,130.001980,-0.003487,134.320000,MEDIUM,USABLE,5,NORMAL,mae_h300_p75,134.949997,10:14,HORIZON,0.001187,-0.000668,0.005935,48,0.001187,0.000000
ITC_NS,LONG,20260908,263.500000,268.852286,256.821677,-0.025345,256.820000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,264.299988,10:14,HORIZON,0.003036,-0.001898,0.003036,48,0.003036,0.000000
JSWSTEEL_NS,SHORT,20260908,1306.699951,1252.062068,1365.092845,-0.044687,1248.310000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,1248.310000,09:27,STOP,0.044685,0.000000,0.002066,1,-0.001760,0.046445
JUBLFOOD_NS,SHORT,20260908,472.799988,455.973568,488.775123,-0.005848,470.040000,LOW,LIMITED,4,NORMAL,mae_h300_p50,470.040000,09:27,STOP,0.005838,0.000000,0.001269,1,-0.002961,0.008799
LUPIN_NS,LONG,20260908,2095.699951,2178.879138,2029.535310,-0.031572,2029.540000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,2100.600098,10:14,HORIZON,0.002338,-0.000334,0.005487,48,0.002338,0.000000
MARUTI_NS,LONG,20260908,12636.000000,12972.958076,12244.382599,-0.001308,12619.470000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h60_p50,12619.470000,10:11,STOP,-0.001308,-0.001425,0.003166,45,-0.000317,-0.000992
ONGC_NS,LONG,20260908,232.919998,240.158596,224.201699,-0.037430,224.200000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,232.949997,10:14,HORIZON,0.000129,-0.000601,0.004508,48,0.000129,0.000000
