ticker,direction,date,entry_price,ret_h60,ret_h120,ret_h300,mae_h60,mae_h120,mae_h180,mae_h300,mfe_h60,mfe_h120,mfe_h300,recovered_to_positive,time_to_recovery_bars,n_bars
TMCV_NS,SHORT,20260903,460.350006,0.018573,0.020311,0.018464,0.000000,0.000000,0.000000,0.000000,0.021831,0.021831,0.027479,True,1,375
TMCV_NS,SHORT,20260904,458.200012,-0.016805,-0.018660,-0.015714,-0.018442,-0.024007,-0.024007,-0.024007,0.000000,0.000000,0.000000,False,None,375
TORNTPHARM_NS,LONG,20260904,4857.000000,0.010603,0.008030,0.011118,0.000000,0.000000,0.000000,0.000000,0.017295,0.017295,0.017295,True,1,360
TORNTPHARM_NS,LONG,20260907,4914.000000,-0.015670,-0.017094,-0.005800,-0.016077,-0.017298,-0.017298,-0.017298,0.000000,0.000000,0.000000,False,None,361
TORNTPHARM_NS,SHORT,20260908,4898.500000,-0.002756,-0.002348,-0.000306,-0.006226,-0.006226,-0.006226,-0.006226,0.000408,0.000408,0.000715,False,3,361
TORNTPHARM_NS,SHORT,20260909,4930.000000,-0.008519,-0.001318,-0.003550,-0.010446,-0.010446,-0.010446,-0.010446,0.000000,0.000000,0.000710,False,31,361
TRENT_NS,LONG,20260903,2815.600098,0.011543,0.014917,0.020884,0.000000,0.000000,0.000000,0.000000,0.020493,0.020493,0.022802,True,1,361
TRENT_NS,LONG,20260904,2853.000000,-0.001682,-0.003856,0.006449,-0.006274,-0.006274,-0.006274,-0.006274,0.000000,0.000000,0.009113,True,26,361
TRENT_NS,LONG,20260907,2814.500000,0.012258,0.010162,0.003269,0.000000,0.000000,0.000000,0.000000,0.014177,0.014177,0.014177,True,1,360
TRENT_NS,LONG,20260908,2784.500000,-0.000898,-0.002442,0.002047,-0.001149,-0.003412,-0.004776,-0.004776,0.009050,0.009050,0.009050,True,1,361
TRENT_NS,LONG,20260909,2820.000000,-0.010851,-0.007979,-0.003759,-0.011809,-0.013475,-0.013475,-0.013475,0.000000,0.000000,0.000000,False,None,361
TVSMOTOR_NS,SHORT,20260904,4133.100098,-0.013573,-0.012218,-0.008976,-0.014372,-0.015291,-0.015291,-0.015291,0.000000,0.000000,0.000000,False,None,361
TVSMOTOR_NS,SHORT,20260907,4132.000000,-0.002904,-0.000750,0.000290,-0.003582,-0.003582,-0.003751,-0.003751,0.002227,0.002227,0.002227,True,1,361
TVSMOTOR_NS,SHORT,20260908,4114.100098,-0.007511,-0.005542,0.000049,-0.008872,-0.008872,-0.008872,-0.008872,0.000000,0.000000,0.002285,True,47,361
TVSMOTOR_NS,SHORT,20260909,4151.100098,0.014502,0.016261,0.013153,0.000000,0.000000,0.000000,0.000000,0.015201,0.017610,0.019224,True,1,361
ULTRACEMCO_NS,LONG,20260904,11408.000000,-0.007977,-0.006925,-0.006837,-0.010168,-0.010168,-0.010168,-0.010168,0.002191,0.002191,0.002191,False,None,361
