ticker,direction,date,entry_price,adaptive_target,adaptive_risk,candidate_stop_pct,candidate_stop_price,stop_confidence,coverage_quality,n_obs,path_context,final_tier,exit_price,exit_time_ist,exit_reason,realized_return,max_adverse_excursion,max_favourable_excursion,bars_held,h300_counterfactual_ret,stop_consequence_pp
ADANIENT_NS,LONG,20260915,3015.000000,3193.133531,2875.334078,-0.007627,2992.000000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,3010.800049,10:14,HORIZON,-0.001393,-0.004245,0.004643,48,-0.001393,0.000000
ADANIGREEN_NS,LONG,20260915,1278.800049,1362.311900,1198.677236,-0.062655,1198.680000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,1279.400024,10:14,HORIZON,0.000469,-0.002893,0.005943,48,0.000469,0.000000
AMBUJACEM_NS,LONG,20260915,390.500000,406.626928,374.414699,-0.003149,389.270000,MEDIUM,USABLE,5,STRONG_FAVOUR,mae_h300_p50,391.200012,10:14,HORIZON,0.001793,-0.002049,0.004738,48,0.001793,0.000000
APOLLOHOSP_NS,LONG,20260915,8826.000000,9078.534669,8564.023642,-0.001927,8808.990000,LOW,LIMITED,2,STRONG_FAVOUR,mae_h60_p50,8838.500000,10:14,HORIZON,0.001416,-0.000680,0.007365,48,0.001416,0.000000
ASIANPAINT_NS,LONG,20260915,2443.899902,2522.271833,2367.774115,-0.000505,2442.670000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h300_p50,2442.670000,10:00,STOP,-0.000503,-0.000941,0.007570,34,0.000696,-0.001199
BAJAJFINSV_NS,LONG,20260915,1885.099976,1953.710679,1815.073662,-0.037147,1815.070000,LOW,SPARSE,1,NORMAL,adaptive_risk,1884.699951,10:14,HORIZON,-0.000212,-0.001910,0.005358,48,-0.000212,0.000000
BAJFINANCE_NS,LONG,20260915,1017.900024,1056.523779,983.464968,-0.000951,1016.930000,LOW,LIMITED,4,STRONG_FAVOUR,mae_h300_p50,1019.500000,10:14,HORIZON,0.001572,-0.000196,0.012084,48,0.001572,0.000000
BANDHANBNK_NS,LONG,20260915,176.320007,184.396348,168.323508,-0.008525,174.820000,MEDIUM,USABLE,5,NORMAL,mae_h300_p75,174.820000,09:32,STOP,-0.008507,-0.008677,0.002098,6,0.007146,-0.015653
BANKBARODA_NS,LONG,20260915,235.449997,245.969054,223.914124,-0.048995,223.910000,MEDIUM,USABLE,5,NORMAL,adaptive_risk,235.660004,10:14,HORIZON,0.000892,-0.002506,0.006328,48,0.000892,0.000000
BHARTIARTL_NS,LONG,20260915,1825.900024,1872.470792,1765.414193,-0.000546,1824.900000,MEDIUM,USABLE,5,NORMAL,mae_h300_p75,1826.400024,10:14,HORIZON,0.000274,0.000000,0.005751,48,0.000274,0.000000
