timestamp,volume_acceleration_60m,persistence_240m,trend_dir_240m,ret_15,ret_30,ret_60,ret_120,ret_300,mfe_60,mae_60,time_to_mfe_60,time_to_mae_60,max_recovery_after_mae_60,max_giveback_after_mfe_60,final_return_rel_mfe_60,final_return_rel_mae_60,crossed_pos_1pct_60,crossed_neg_1pct_60,crossed_pos_2pct_60,crossed_neg_2pct_60,exit_reason_60
1787152560,3.031458489460278,0.34338706236055055,1,0.016282056537823594,0.02533672026042915,0.027867788952828498,0.0207559003659328,0.026735787668517183,0.03983728865494122,-0.0036668103986122994,11,2,0.04350409905355352,0.026657687659210994,-0.01196949970211272,0.0315345993514408,1,0,1,0,TimeStop
1787152620,3.2107801596205157,0.3098258903144908,1,0.021766523656655965,0.027405718400287993,0.030034802436170425,0.02196063724460716,0.029270798955926915,0.042572980108607605,-0.001045573190123265,10,1,0.04361855329873087,0.02672782094746626,-0.01253817767243718,0.03108037562629369,1,0,1,0,TimeStop
1787152680,3.357612711473143,0.3103436841422216,1,0.02298920746386133,0.02690236618003694,0.03005848288300556,0.021864219332486112,0.028621348044778137,0.04248900174103171,-0.0007105425037765154,9,1,0.04319954424480822,0.026725668044202074,-0.012430518858026148,0.030769025386782074,1,0,1,0,TimeStop
1787152740,3.4089869404362148,0.308549259563421,1,0.02725908163611169,0.02717269199422983,0.030668172886070863,0.02047374519795079,0.029153954440862564,0.04237501923519364,-9.973804140896603e-05,8,1,0.04247475727660261,0.0267227459427614,-0.01170684634912278,0.030767910927479828,1,0,1,0,TimeStop
1787152800,3.170906770614097,0.3199265838969659,1,0.022133724586040574,0.027637212923316466,0.02883776985956826,0.018965775369045167,0.028295805012426345,0.040512620894092286,-0.000746174806120258,7,1,0.04125879570021254,0.02667500074857017,-0.011674851034524026,0.02958394466568852,1,0,1,0,TimeStop
1787152860,3.0718426784769726,0.32300622325835326,1,0.024079119372707885,0.023924975176049777,0.027365533507281842,0.018575423279215766,0.028336192982548067,0.04009919104227662,0.0,6,1,0.04009919104227662,0.026664401894327356,-0.012733657534994777,0.027365533507281842,1,0,1,0,TimeStop
1787152920,3.141102265079679,0.3288001829109374,1,0.0236863583365722,0.02309321653861101,0.026664623755568145,0.01706777482136989,0.026986606475529997,0.03889503423121767,-0.00020927381984513736,5,1,0.03910430805106281,0.026633531645191125,-0.012230410475649527,0.02687389757541328,1,0,1,0,TimeStop
1787152980,2.6853851955480996,0.33165603514731395,1,0.023334432003145923,0.021392983832819814,0.026699469381327313,0.015402792972059353,0.02755992805555475,0.038407325209153194,0.0,4,1,0.038407325209153194,0.026621028540214392,-0.01170785582782588,0.026699469381327313,1,0,1,0,TimeStop
1787153040,2.8277347859151254,0.35538220365839396,1,0.02156385929143998,0.015349275359515557,0.02340415939367712,0.011217379051379529,0.023555037814090157,0.034127240503624534,-0.0017901560907192613,3,1,0.0359173965943438,0.026511302564352787,-0.010723081109947415,0.02519431548439638,1,0,1,0,TimeStop
1787153100,2.3474135448133913,0.3507313746349545,1,0.02403292173719165,0.01944464663776828,0.023738042001532324,0.010972026913395204,0.02421764952717281,0.03453516548766882,-0.00040309657958838594,2,1,0.034938262067257204,0.026521760293587625,-0.010797123486136498,0.02414113858112071,1,0,1,0,TimeStop
1787153160,2.4807096506985626,0.3826368895158143,1,0.017304675939627066,0.012964782480023727,0.018893903521752083,0.005001479727730098,0.017076058005327018,0.02841077241787511,-0.0010769458419650612,1,1,0.029487718259840173,0.026364752885469012,-0.009516868896123028,0.019970849363717146,1,0,1,0,TimeStop
1787153220,3.458319127041157,0.4760973137543961,1,-0.004713806079086515,-0.008520476020557128,-0.0020984039964964934,-0.016689914685178518,-0.0043768160100838656,0.0064808678848320015,-0.019321681132958467,1,4,0.01851823424734341,0.025802549017790468,-0.008579271881328496,0.017223277136461976,0,1,0,0,TimeStop
1787153280,3.8206330385345573,0.4292344125072881,1,-0.0018304561295245942,-0.0029888087044541867,0.0026693484830733892,-0.0125113430209584,-0.0003150940224552764,0.004182090870787521,-0.014428540969135924,37,3,0.018610631839923446,0.0067968618672922185,-0.0015127423877141321,0.017097889452209313,0,1,0,0,TimeStop
1787153340,4.184681669078016,0.37232149397176384,1,0.00568281241008261,0.0038380838486092653,0.00879709142622944,-0.004187759337162952,0.006005544728664043,0.010324944879985027,-0.008399533238866216,36,2,0.01872447811885124,0.006838440113459955,-0.001527853453755586,0.017196624665095656,1,0,0,0,TimeStop
1787153400,4.017539768835335,0.31452980689998844,1,0.009429688489322982,0.011543684157843069,0.014158021618480381,0.0013911978468496428,0.013361808884472054,0.0171503426840049,-0.0017006313829880631,35,1,0.018850974066992963,0.006884638194948357,-0.002992321065524519,0.015858653001468444,1,0,0,0,TimeStop
1787153460,4.15272774709602,0.3195781210253852,1,0.008909597157950574,0.011031476631133085,0.013039113512822807,-0.0010627799845213408,0.01141380654106548,0.015772691397930284,-0.0005313163823436169,34,1,0.0163040077802739,0.006875313486234795,-0.002733577885107478,0.013570429895166424,1,0,0,0,TimeStop
1787153520,4.071481945399067,0.3308743668997722,1,0.005519063908504959,0.008070706032622277,0.01044235314844442,-0.00422724002760109,0.008783198508361106,0.01297843289827199,-0.0004288461820798732,33,1,0.013407279080351862,0.0068564003934637255,-0.00253607974982757,0.010871199330524293,1,0,0,0,TimeStop
1787153580,3.922430804418648,0.33580751460990454,1,0.003825219941349042,0.005057917888563007,0.008496480938416515,-0.003454838709677351,0.008475366568915016,0.011686217008797654,-0.001436950146627566,32,1,0.01312316715542522,0.006847653958944205,-0.0031897360703811387,0.00993343108504408,1,0,0,0,TimeStop
1787153640,3.934187577701847,0.3546013189914701,1,-8.409722866043425e-05,0.003206936853347555,0.004080905622031274,-0.007825714333686416,0.004113902104109801,0.007370917689107523,-0.004133174385677724,31,1,0.011504092074785248,0.006818445617490396,-0.003290012067076249,0.008214080007708999,0,0,0,0,TimeStop
1787153700,3.4847725099280673,0.3293278284554396,1,0.005384313426802132,0.007670596024162068,0.007800809697623077,-0.003551215425266976,0.006466888523034335,0.01061336645555167,-0.0005615739303143952,30,1,0.011174940385866066,0.0068403923108019465,-0.002812556757928593,0.008362383627937472,1,0,0,0,TimeStop
1787153760,3.1558298295298575,0.3396559666957716,1,-0.0001505198121337807,0.0044292281417101145,0.005031453525985096,-0.005840314846528891,0.004268624963520951,0.008292764834129376,-0.00285461554390329,29,19,0.011147380378032666,0.006824685190735561,-0.0032613113081442803,0.007886069069888386,0,0,0,0,TimeStop
1787153820,3.153444406683054,0.3413490875577822,1,-0.0005794175072577966,0.003982473204495624,0.0043724994549706265,-0.007046464523746877,0.0028245143253238453,0.00751183841377438,-0.003626908277536965,28,18,0.011138746691311345,0.0068193994471877255,-0.0031393389588037536,0.007999407732507591,0,0,0,0,TimeStop
1787153880,3.1167242659612713,0.3436336536150141,1,-0.0018971785856220873,0.003642950814980985,0.0038093956039303677,-0.006879863947445377,0.003253411607158787,0.007385184486528149,-0.003752161957203697,27,17,0.011137346443731846,0.006818542183095616,-0.003575788882597781,0.0075615575611340646,0,0,0,0,TimeStop
1787153940,3.11741866731237,0.3525255018041652,1,-0.006083402300698929,0.001460913783364735,0.0004429350762923769,-0.009054461059729079,0.0009371405066967021,0.004971767804722822,-0.006138896632848641,26,16,0.011110664437571464,0.006802206839173853,-0.004528832728430445,0.006581831709141018,0,0,0,0,TimeStop
1787154000,3.0972573797190424,0.3603237901979989,1,-0.004480593350104139,-0.0016815307511681545,-0.0027987718778519103,-0.01119697719845476,-0.0008499230897371846,0.002944132419965119,-0.00814411509298865,25,15,0.01108824751295377,0.006788482677238759,-0.00574290429781703,0.00534534321513674,0,0,0,0,TimeStop
1787154060,3.1004588257680044,0.3559517497333257,1,-0.004266070492200208,-0.001522921274279243,-0.0020154343052925902,-0.010717467557922172,-0.0002829113541998822,0.0036007560787759455,-0.00749475086709777,24,14,0.011095506945873716,0.0067929270706892165,-0.005616190384068536,0.00547931656180518,0,0,0,0,TimeStop
1787154120,3.094368503827302,0.3557248104238851,1,-0.003824698830066454,-0.002379705902980211,-0.0012441984210566908,-0.009960426021920401,-0.0005946718450308066,0.0039288791679774684,-0.007170255407701512,23,13,0.01109913457567898,0.006795147989915966,-0.005173077589034159,0.005926056986644821,0,0,0,0,TimeStop
1787154180,2.9383502873651843,0.3403250466199184,1,-0.0011604767767587813,5.219885489129145e-05,0.00027047172017664146,-0.008030458469249761,0.0016885892136752495,0.006023572886223342,-0.005098719990761711,22,12,0.011122292876985053,0.006809326039879849,-0.0057531011660467,0.005369191710938353,0,0,0,0,TimeStop
1787154240,2.725182653663858,0.34536963211682076,1,-0.0018343045527968403,-0.0016664244806127943,-0.001315376038257386,-0.009240392906346073,-0.00012565524917144857,0.004615901169452934,-0.006490828914044436,21,11,0.011106730083497371,0.006799798136225357,-0.00593127720771032,0.00517545287578705,0,0,0,0,TimeStop
1787154300,2.7141552794545425,0.3226273597628628,1,0.002094247566349884,0.0032523635496940866,0.00235186630463749,-0.004691611092677319,0.0027270491496828534,0.007648530930605357,-0.0034917269919010237,20,10,0.011140257922506381,0.006820324658027113,-0.005296664625967867,0.005843593296538514,0,0,0,0,TimeStop
1787154360,2.6456618383514243,0.32567494181096274,1,0.002103141331155677,0.0024685243807092668,0.0016052631502146734,-0.005856780934476048,0.00145219333432738,0.006802486822717034,-0.004328417491575391,19,9,0.011130904314292424,0.00681459816181967,-0.005197223672502361,0.005933680641790064,0,0,0,0,TimeStop
1787154420,2.6118548656940965,0.3212969809650747,1,0.002537636744746492,0.002558954061474393,0.002351913272979071,-0.00488750589146398,0.002030839440890534,0.007418426221350866,-0.0037192877329646303,18,8,0.011137713954315497,0.006818767181611197,-0.005066512948371795,0.006071201005943701,0,0,0,0,TimeStop
1787154480,2.5958436700660954,0.3183587201843825,1,0.0012280005749267674,0.003073434054601532,0.003357830048342792,-0.0034348083168082083,0.0030392539505772116,0.007831041610916998,-0.0033112340945661567,17,7,0.011142275705483155,0.006821559991633101,-0.0044732115625742055,0.006669064142908949,0,0,0,0,TimeStop
1787154540,2.583371734748231,0.3191465922568418,1,0.0032913108721309954,0.00340301189769234,0.002717474231011455,-0.0044626384891947824,0.0031931891869319195,0.007455641916591028,-0.0036824834832146517,16,6,0.011138125399805679,0.006819019078097046,-0.004738167685579573,0.006399957714226107,0,0,0,0,TimeStop
1787154600,2.6210244073805944,0.3267757638789266,1,0.0022740384615384107,0.0011682692307692646,0.0004930069930069421,-0.006189539627039712,0.0076440850815851155,0.005201048951048951,-0.005912150349650315,15,5,0.011113199300699267,0.006803758741258665,-0.004708041958042009,0.0064051573426572575,0,0,0,0,TimeStop
1787154660,2.6108557482979013,0.3041538292923695,1,0.004580437400420897,0.0033601664327413323,0.002732565099022693,-0.0028008207634021916,0.011115149936648005,0.008444555719203564,-0.002704502813024841,14,4,0.011149058532228405,0.006825712595713147,-0.005711990620180871,0.005437067912047534,0,0,0,0,TimeStop
1787154720,2.5582015118888,0.30478421602252015,1,0.004564535483525075,0.0034907935652629257,0.002657544121821849,-0.003771173309601634,0.009450360731406838,0.008095946854377431,-0.003049257563495596,13,3,0.011145204417873028,0.006823353017384198,-0.005438402732555582,0.005706801685317445,0,0,0,0,TimeStop
1787154780,2.560864785269328,0.3006355792570316,1,0.005550659993879529,0.005195341687774957,0.0037515410779557514,-0.002311251229497885,0.011669917046560148,0.009300006845984577,-0.0018585092956184368,12,2,0.011158516141603014,0.006831502763846804,-0.005548465768028825,0.005610050373574188,0,0,0,0,TimeStop
1787154840,2.142986260227124,0.2875803964342284,1,0.007590492101175392,0.007933116445382287,0.004944166007210127,-0.0007256953603564594,0.012847680178199787,0.01112283478413787,-5.583399278990697e-05,11,1,0.011178668776927777,0.006843840675283489,-0.0061786687769277435,0.005000000000000034,1,0,0,0,TimeStop
1787154900,2.219854067410387,0.3005758248654479,1,0.0028116605063032776,0.004211504153682201,0.0015194297480573124,-0.0040332201134768595,0.00885842436624467,0.0074581426745409345,-0.0015746233329857673,10,1,0.0090327660075267,0.006819036004615159,-0.005938712926483622,0.0030940530810430796,0,0,0,0,TimeStop
1787154960,1.9688666980074867,0.29734349644559005,1,0.0027549018232982466,0.005853235121572731,0.001944456130755809,-0.0032454347424687308,0.011332654358643453,0.00790053079226174,0.0,9,1,0.00790053079226174,0.006822030332989679,-0.005956074661505931,0.001944456130755809,0,0,0,0,TimeStop
1787155020,1.0906606777125718,0.2977530117909824,1,0.001450540808820703,0.00647726137427906,0.0005240701260748646,-0.0033058191648414055,0.00912843106725101,0.007783346956040693,-1.1538890735667051e-05,8,1,0.00779488584677636,0.007259276829965828,-0.007259276829965828,0.0005356090168105316,0,0,0,0,TimeStop
1787155080,0.840851691280533,0.2998116410279046,1,0.0012140845485737143,0.005675119032691297,-0.0008269555089176777,-0.004082664020019666,0.00880806150972442,0.007192396271824822,-0.001283569247998819,7,60,0.0,0.008475965519823641,-0.0080193517807425,0.00045661373908114126,0,0,0,0,TimeStop
1787155140,0.6654742317079302,0.302340333988088,1,0.00016818858126438772,0.004940047262012479,-0.0012943081366513394,-0.00520334334976816,0.007206873413659271,0.006462059106689617,-0.002007760305744368,6,59,0.0013300463867898739,0.008469819412433984,-0.007756367243340957,0.0007134521690930287,0,0,0,0,TimeStop
1787155200,0.578817090751304,0.30792238413470435,1,0.0011556956704988192,0.0025845027768759883,-0.002346805470623161,-0.006117608721377799,0.0053647305582257936,0.005542675629307729,-0.0029194067681501414,5,58,0.0018925427461661012,0.00846208239745787,-0.00788948109993089,0.0005726012975269803,0,0,0,0,TimeStop
1787155260,0.4641394095258534,0.3109765140367778,1,0.0003646162101320518,0.0019857313328951807,-0.004202405680673831,-0.006687008872958713,0.006127270569545492,0.0046894828463654205,-0.004207502153259626,4,60,0.0,0.008896984999625046,-0.008891888527039251,5.096472585794723e-06,0,0,0,0,TimeStop
1787155320,0.42065760374518874,0.30905877535697546,1,2.1263358049198325e-05,0.0023526594926620093,-0.0042708765397001455,-0.006118458458971631,0.0062849243373987165,0.004868435156661415,-0.00429607216259414,3,60,0.0,0.009164507319255555,-0.00913931169636156,2.5195622893994622e-05,0,0,0,0,TimeStop
1787155380,0.39448181323883974,0.29964919429570275,1,0.001843170065774306,0.003421258604755118,-0.0012003801884748451,-0.004959519264365895,0.008097606023492656,0.006594942442878767,-0.003737693294691981,2,60,0.0,0.010332635737570747,-0.007795322631353612,0.002537313106217136,0,0,0,0,TimeStop
1787155440,0.3786234913149615,0.3083754057767348,1,0.00011133458881872078,0.000871174965580884,-0.004555112804496538,-0.007889474588062106,0.009674903000649071,0.004150669899493203,-0.0061568755293850965,1,59,0.002531151854557707,0.0103075454288783,-0.00870578270398974,0.0016017627248885585,0,0,0,0,TimeStop
1787155500,0.3755290071848057,0.31320128577335776,1,-0.0011032603742450215,0.0001292224601717833,-0.005345652638107701,-0.009078422916186046,0.007729509046226455,0.0018217605099359825,-0.007374547012773495,23,58,0.002528050649390078,0.009196307522709477,-0.007167413148043683,0.0020288943746657948,0,0,0,0,TimeStop
1787155560,0.36863208072095643,0.3067905977296534,1,-0.00121470707794917,0.0005995697530518465,-0.005335021420687911,-0.008330978798713052,0.01096800907633087,0.0027468762284924234,-0.0064579234721446,22,57,0.0025303851359077868,0.009204799700637024,-0.008081897649180336,0.001122902051456689,0,0,0,0,TimeStop
1787155620,0.3488799039036538,0.3065464082489618,1,-0.0010688630549209332,0.00038847914269869884,-0.006596291485892707,-0.008547413799372667,0.014433360046425444,0.0024161046493869614,-0.006785658705583466,21,56,0.0025295504492017086,0.009201763354970428,-0.009012396135279668,0.00018936721969075882,0,0,0,0,TimeStop
1787155680,0.33326281593034707,0.30510917022959166,1,-0.0003533569418638095,0.00016584063965599093,-0.007252327551556419,-0.008696013962036227,0.010736290252541894,0.0026291560355299884,-0.0074773762090546364,20,60,0.0,0.010106532244584625,-0.009881483587086407,0.0002250486574982176,0,0,0,0,TimeStop
1787155740,0.31833291938890174,0.30699051854309656,1,0.0003400432486142307,-0.0010164936974190952,-0.006467512052773425,-0.009861254209816924,0.012605307234456296,0.00240648228895345,-0.007697805397524869,19,59,0.0017841362406982354,0.010104287686478319,-0.008873994341726876,0.001230293344751444,0,0,0,0,TimeStop
1787155800,0.3085974260475085,0.29996979098991033,1,0.0013959187976256325,-0.0011191229663660388,-0.0052821264442962455,-0.008453702875910091,0.010806685849690432,0.003532968989839357,-0.006582673716685074,18,58,0.0021251105508862723,0.01011564270652443,-0.008815095434135603,0.0013005472723888285,0,0,0,0,TimeStop
1787155860,0.2900655502316032,0.2978105993652188,1,0.0030898211443701933,-0.000493264233608551,-0.005708666722509665,-0.008168869432840821,0.00979856434760117,0.004030461178749988,-0.0061226823609961956,17,60,0.0,0.010153143539746183,-0.009739127901259654,0.00041401563848653036,0,0,0,0,TimeStop
1787155920,0.27955252567602695,0.29074326720989657,1,0.0050194396633891965,0.0011382161014991251,-0.003258734284442786,-0.006046226100415169,0.010123764228248353,0.005221296542486356,-0.004943889184073589,16,59,0.0016851548996308034,0.010165185726559944,-0.008480030826929141,0.001685154899630803,0,0,0,0,TimeStop
