multiplier,n,stop_hit,target_hit,horizon,false_stop,stop_hit_pct,target_hit_pct,horizon_pct,false_stop_pct,win_rate,mean_ret,median_ret,profit_factor,total_pnl,mean_mae
0.500000,31,1,0,30,0,0.032258,0.000000,0.967742,0.000000,0.645161,0.000407,0.000634,1.426606,0.012602,-0.005291
0.750000,31,0,0,31,0,0.000000,0.000000,1.000000,0.000000,0.645161,0.000856,0.000634,2.700203,0.026535,-0.005499
0.900000,31,0,0,31,0,0.000000,0.000000,1.000000,0.000000,0.645161,0.000856,0.000634,2.700203,0.026535,-0.005499
1.000000,31,0,0,31,0,0.000000,0.000000,1.000000,0.000000,0.645161,0.000856,0.000634,2.700203,0.026535,-0.005499
1.100000,31,0,0,31,0,0.000000,0.000000,1.000000,0.000000,0.645161,0.000856,0.000634,2.700203,0.026535,-0.005499
1.250000,31,0,0,31,0,0.000000,0.000000,1.000000,0.000000,0.645161,0.000856,0.000634,2.700203,0.026535,-0.005499
1.500000,31,0,0,31,0,0.000000,0.000000,1.000000,0.000000,0.645161,0.000856,0.000634,2.700203,0.026535,-0.005499
2.000000,31,0,0,31,0,0.000000,0.000000,1.000000,0.000000,0.645161,0.000856,0.000634,2.700203,0.026535,-0.005499
