decision_id,ticker,date,direction,entry_price,prod_exit_time,prod_exit_price,prod_exit_reason,prod_return,prod_mfe,prod_mae,prod_bars_held,shadow_exit_time,shadow_exit_price,shadow_exit_reason,shadow_return,shadow_mfe,shadow_mae,shadow_bars_held,shadow_vs_production_return_bps
LIVE-20260915-SBILIFE.NS,SBILIFE_NS,20260915,LONG,1675.199951,10:14,1670.900024,HORIZON,-0.002567,0.004417,-0.004596,48,10:14,1670.900024,HORIZON,-0.002567,0.003701,-0.004596,48,0.00
LIVE-20260915-SBIN.NS,SBIN_NS,20260915,LONG,981.900024,10:14,982.599976,HORIZON,0.000713,0.010490,-0.000611,48,09:24,991.500000,MFE_PROTECTION,0.009777,0.009777,0.000000,1,90.64
LIVE-20260915-TATASTEEL.NS,TATASTEEL_NS,20260915,LONG,182.979996,10:14,183.100006,HORIZON,0.000656,0.005083,-0.002077,48,09:26,183.910004,MFE_PROTECTION,0.005083,0.005083,0.000000,1,44.27
LIVE-20260915-TITAN.NS,TITAN_NS,20260915,LONG,4921.500000,10:14,4920.000000,HORIZON,-0.000305,0.007823,-0.000914,48,09:35,4950.000000,MFE_PROTECTION,0.005791,0.005791,0.000000,10,60.96
LIVE-20260915-TMCV.NS,TMCV_NS,20260915,LONG,431.100006,10:14,431.600006,HORIZON,0.001160,0.012990,-0.001856,48,09:26,435.899994,MFE_PROTECTION,0.011134,0.011134,0.000000,1,99.74
LIVE-20260915-TORNTPHARM.NS,TORNTPHARM_NS,20260915,LONG,4910.500000,10:14,4914.500000,HORIZON,0.000815,0.004887,-0.000611,48,10:14,4914.500000,HORIZON,0.000815,0.004277,-0.000611,48,-0.00
LIVE-20260915-TRENT.NS,TRENT_NS,20260915,LONG,2792.899902,10:14,2795.000000,HORIZON,0.000752,0.006982,-0.001002,48,09:26,2809.399902,MFE_PROTECTION,0.005908,0.005908,0.000000,1,51.56
LIVE-20260915-TVSMOTOR.NS,TVSMOTOR_NS,20260915,LONG,4088.000000,10:14,4093.000000,HORIZON,0.001223,0.011032,-0.000978,48,09:26,4126.200195,MFE_PROTECTION,0.009344,0.009344,0.000000,1,81.21
LIVE-20260915-ULTRACEMCO.NS,ULTRACEMCO_NS,20260915,LONG,10824.000000,10:14,10820.000000,HORIZON,-0.000370,0.008500,-0.000370,48,09:22,10908.000000,MFE_PROTECTION,0.007761,0.007761,0.000000,1,81.31
LIVE-20260915-UNITDSPR.NS,UNITDSPR_NS,20260915,LONG,1397.800049,10:14,1398.099976,HORIZON,0.000215,0.001145,-0.003219,48,10:14,1398.099976,HORIZON,0.000215,0.001502,-0.002862,48,-0.00
LIVE-20260915-UPL.NS,UPL_NS,20260915,LONG,568.599976,10:14,568.549988,HORIZON,-0.000088,0.009321,-0.000967,48,09:20,573.099976,MFE_PROTECTION,0.007914,0.007914,0.000000,1,80.02
LIVE-20260915-VEDL.NS,VEDL_NS,20260915,LONG,260.100006,10:14,259.950012,HORIZON,-0.000577,0.004614,-0.002115,48,10:14,259.950012,HORIZON,-0.000577,0.004229,-0.001538,48,0.00
