evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
TIME006-20260323T034500Z-gen20260820T091358064963Z-DABUR_NS,2026-03-23T03:45:00Z,DABUR.NS,LONG,Watch,Mixed,0.321678,143,Exact,1.044302,4.0,417.3500,429.4887,405.7263,TARGET,2,true,false,false,0.052234,-0.000839,0.029085,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-DIVISLAB_NS,2026-03-23T03:45:00Z,DIVISLAB.NS,SHORT,NoTrade,Unfavourable,0.298246,57,Exact,1.088264,4.0,6013.5000,5798.1719,6211.3638,NO_TRADE,4,false,false,false,0.018625,-0.020620,0.011058,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-DLF_NS,2026-03-23T03:45:00Z,DLF.NS,LONG,Watch,Mixed,0.326241,141,Exact,1.062140,3.0,514.7500,540.0324,490.9467,TARGET,2,true,false,false,0.052647,0.000000,0.049116,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-DRREDDY_NS,2026-03-23T03:45:00Z,DRREDDY.NS,SHORT,NoTrade,Unfavourable,0.283784,74,Exact,1.490326,4.0,1253.3000,1203.0678,1287.0056,NO_TRADE,2,false,false,false,0.003910,-0.044443,-0.026893,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-EICHERMOT_NS,2026-03-23T03:45:00Z,EICHERMOT.NS,LONG,Buy,Favourable,0.433333,60,Exact,1.165173,3.0,6681.5000,6961.6230,6441.0867,TARGET,1,true,false,false,0.042655,0.000000,0.041925,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-GAIL_NS,2026-03-23T03:45:00Z,GAIL.NS,LONG,Watch,Mixed,0.323810,105,Exact,0.850067,4.0,135.4000,140.4399,129.4712,TARGET,2,true,false,false,0.040251,-0.005908,0.037222,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-GODREJCP_NS,2026-03-23T03:45:00Z,GODREJCP.NS,LONG,Watch,Mixed,0.300000,110,Exact,1.031119,3.5,1002.4000,1039.8673,966.0635,TARGET,2,true,false,false,0.046488,-0.003292,0.037378,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-GODREJPROP_NS,2026-03-23T03:45:00Z,GODREJPROP.NS,LONG,Watch,Mixed,0.349206,126,Exact,0.980024,3.0,1497.2000,1578.9547,1413.7787,TARGET,2,true,false,false,0.071066,0.000000,0.054605,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-GRASIM_NS,2026-03-23T03:45:00Z,GRASIM.NS,LONG,Buy,Favourable,0.441558,77,Exact,0.810332,4.0,2531.1001,2607.7048,2436.5651,TARGET,2,true,false,false,0.054245,-0.003200,0.030265,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-HAVELLS_NS,2026-03-23T03:45:00Z,HAVELLS.NS,LONG,Watch,Mixed,0.364964,137,Exact,1.153423,4.0,1231.0000,1274.6548,1193.1520,TARGET,2,true,false,false,0.056052,-0.008123,0.035463,true
