threshold,genome,arc658_selections,arc658_rejections,total_rejections,first_rejection_step,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
0.50,0,40,0,0,none,0.999999,0.999999,0,3393
0.50,1,39,0,0,none,1.012820,1.012820,1,3473
0.50,2,34,0,0,none,0.999999,0.999999,0,3088
0.50,3,38,0,0,none,0.999999,0.999999,0,4020
0.50,4,40,0,0,none,0.999999,0.999999,0,3044
0.50,5,44,0,0,none,0.999999,0.999999,0,3213
0.50,6,38,0,0,none,0.974358,0.974358,0,3827
0.50,7,36,0,0,none,0.999999,0.999999,0,3034
0.50,8,42,0,0,none,0.965811,0.965811,0,3252
0.50,9,44,0,0,none,0.999999,0.999999,0,3386
0.50,10,44,0,0,none,0.999999,0.999999,0,3077
0.50,11,42,0,0,none,0.965811,0.965811,0,3659
0.50,12,47,0,0,none,0.999999,0.999999,0,3287
0.50,13,37,0,0,none,0.999999,0.999999,0,3182
0.50,14,40,0,0,none,0.999999,0.999999,0,3923
0.50,15,38,0,0,none,0.974358,0.974358,0,3036
0.50,16,42,0,0,none,1.004273,1.004273,1,3009
0.50,17,39,0,0,none,1.012820,1.012820,1,3413
0.50,18,43,0,0,none,1.012820,1.012820,1,4246
0.50,19,41,0,0,none,1.012820,1.012820,1,3254
0.50,20,37,0,0,none,0.991452,0.991452,0,3427
0.50,21,42,0,0,none,0.999999,0.999999,0,3082
0.50,22,35,0,0,none,0.991452,0.991452,0,3028
0.50,23,39,0,0,none,0.999999,0.999999,0,3500
0.50,24,42,0,0,none,1.004273,1.004273,1,3305
0.50,25,40,0,0,none,1.012820,1.012820,1,3411
0.50,26,41,0,0,none,0.965811,0.965811,0,3055
0.50,27,39,0,0,none,1.012820,1.012820,1,3151
0.50,28,44,0,0,none,0.999999,0.999999,0,3037
0.50,29,32,0,0,none,0.965811,0.965811,0,3022
0.50,30,43,0,0,none,0.999999,0.999999,0,3027
0.50,31,38,0,0,none,0.974358,0.974358,0,3041
0.50,32,40,0,0,none,0.999999,0.999999,0,3036
0.50,33,39,0,0,none,0.991452,0.991452,0,3152
0.50,34,41,0,0,none,1.012820,1.012820,1,3167
0.50,35,40,0,0,none,0.999999,0.999999,0,3074
0.50,36,36,0,0,none,0.999999,0.999999,0,3033
0.50,37,43,0,0,none,1.012820,1.012820,1,3040
0.50,38,39,0,0,none,0.991452,0.991452,0,3015
0.50,39,40,0,0,none,0.999999,0.999999,0,3084
0.50,40,39,0,0,none,1.012820,1.012820,1,3031
0.50,41,42,0,0,none,0.999999,0.999999,0,3022
0.50,42,43,0,0,none,0.999999,0.999999,0,3035
0.50,43,41,0,0,none,1.012820,1.012820,1,3040
0.50,44,44,0,0,none,0.999999,0.999999,0,3029
0.50,45,38,0,0,none,0.974358,0.974358,0,3093
0.50,46,41,0,0,none,0.999999,0.999999,0,3030
0.50,47,36,0,0,none,1.012820,1.012820,1,3043
0.50,48,42,0,0,none,0.999999,0.999999,0,3072
0.50,49,45,0,0,none,0.987179,0.987179,0,3032
