penalty,genome,arc658_selections,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
100.0,0,40,0.999999,0.999999,0,2002
100.0,1,39,1.012820,1.012820,1,1996
100.0,2,34,0.999999,0.999999,0,1610
100.0,3,38,0.999999,0.999999,0,1651
100.0,4,40,0.999999,0.999999,0,1637
100.0,5,44,0.999999,0.999999,0,1610
100.0,6,38,0.974358,0.974358,0,1602
100.0,7,36,0.999999,0.999999,0,1707
100.0,8,42,0.965811,0.965811,0,2834
100.0,9,44,0.999999,0.999999,0,1769
100.0,10,44,0.999999,0.999999,0,1623
100.0,11,42,0.965811,0.965811,0,1629
100.0,12,47,0.999999,0.999999,0,1644
100.0,13,37,0.999999,0.999999,0,1814
100.0,14,40,0.999999,0.999999,0,1659
100.0,15,38,0.974358,0.974358,0,1634
100.0,16,42,1.004273,1.004273,1,1598
100.0,17,39,1.012820,1.012820,1,1915
100.0,18,43,1.012820,1.012820,1,1627
100.0,19,41,1.012820,1.012820,1,1604
100.0,20,37,0.991452,0.991452,0,1689
100.0,21,42,0.999999,0.999999,0,1644
100.0,22,35,0.991452,0.991452,0,2107
100.0,23,39,0.999999,0.999999,0,1628
100.0,24,42,1.004273,1.004273,1,1677
100.0,25,40,1.012820,1.012820,1,1664
100.0,26,41,0.965811,0.965811,0,1612
100.0,27,39,1.012820,1.012820,1,1629
100.0,28,44,0.999999,0.999999,0,1794
100.0,29,32,0.965811,0.965811,0,1749
100.0,30,43,0.999999,0.999999,0,1684
100.0,31,38,0.974358,0.974358,0,1650
100.0,32,40,0.999999,0.999999,0,1631
100.0,33,39,0.991452,0.991452,0,1624
100.0,34,41,1.012820,1.012820,1,2127
100.0,35,40,0.999999,0.999999,0,1706
100.0,36,36,0.999999,0.999999,0,1720
100.0,37,43,1.012820,1.012820,1,1632
100.0,38,39,0.991452,0.991452,0,1608
100.0,39,40,0.999999,0.999999,0,1617
100.0,40,39,1.012820,1.012820,1,1625
100.0,41,42,0.999999,0.999999,0,1604
100.0,42,43,0.999999,0.999999,0,1610
100.0,43,41,1.012820,1.012820,1,1626
100.0,44,44,0.999999,0.999999,0,1613
100.0,45,38,0.974358,0.974358,0,1614
100.0,46,41,0.999999,0.999999,0,1607
100.0,47,36,1.012820,1.012820,1,1617
100.0,48,42,0.999999,0.999999,0,1618
100.0,49,45,0.987179,0.987179,0,1602
