gen,gen_ms,eval_ms,non_eval_ms,l1_lookup_ms,l1_materialize_ms,l1_insert_ms,l1_total_ms,unattributed_ms,n_eval,cache_hits,crossover_ms,mutation_ms,repair_ms,improve_ms,sort_ms,selection_ms,feasibility_ms,staging_ms,attributed_ms,rayon_residual_ms
34,40470.088,8865.133,31604.955,0.507,0.205,2.029,2.741,31602.214,40,5,5.550,0.007,0.000,15918.846,0.005,0.002,15676.021,0.644,31601.076,1.138
35,41711.854,7720.859,33990.995,0.454,0.190,1.995,2.639,33988.356,41,4,2.065,0.007,0.000,16067.547,0.005,0.003,17890.961,11.626,33972.213,16.143
36,39796.440,6914.276,32882.164,0.455,0.156,4.110,4.721,32877.443,41,4,1.648,0.006,0.000,16466.159,0.004,0.005,16407.314,0.691,32875.827,1.616
37,41602.806,5117.639,36485.168,0.455,0.148,1.785,2.388,36482.780,41,4,4.405,0.013,0.000,18649.068,0.005,0.008,17826.585,0.774,36480.857,1.923
38,35290.393,5176.674,30113.719,0.334,0.085,1.600,2.019,30111.700,42,3,1.161,0.010,0.000,15143.259,0.004,0.004,14965.850,0.338,30110.627,1.073
39,39351.055,6218.851,33132.204,0.465,0.041,1.851,2.356,33129.848,43,1,5.930,0.020,649.936,16170.104,0.005,0.006,16301.943,0.761,33128.704,1.144
40,37099.659,4402.928,32696.731,3.633,0.260,3.480,7.373,32689.357,39,6,1.370,0.013,0.000,15949.502,0.004,0.003,16735.867,0.978,32687.738,1.620
41,38406.845,5310.671,33096.174,11.567,11.671,2.193,25.432,33070.742,42,3,2.189,0.010,0.000,16986.516,0.004,0.006,16078.377,0.809,33067.912,2.831
42,35102.283,5039.389,30062.895,0.461,0.130,1.676,2.267,30060.628,41,4,1.509,0.008,0.000,15133.099,0.004,0.005,14924.406,0.622,30059.654,0.974
43,40869.692,5654.815,35214.877,1.719,0.038,2.977,4.734,35210.143,44,1,10.762,0.007,0.000,17658.380,0.004,0.006,17538.768,0.821,35208.748,1.395
44,38355.782,4134.328,34221.454,0.470,0.130,21.320,21.920,34199.533,42,3,1.813,0.011,0.000,17232.187,0.006,0.010,16963.332,0.729,34198.087,1.446
45,37818.196,5981.888,31836.308,0.573,0.036,11.466,12.074,31824.234,43,1,1.309,0.016,719.093,15458.077,0.008,0.002,15629.422,12.834,31820.762,3.472
46,34497.181,4241.048,30256.133,0.322,0.076,1.626,2.024,30254.109,42,3,1.304,0.012,0.000,15006.152,0.004,0.007,15245.071,0.376,30252.925,1.184
47,34658.666,5002.851,29655.814,0.384,0.106,1.703,2.192,29653.622,42,3,1.193,0.009,0.000,14813.320,0.005,0.009,14837.823,0.429,29652.787,0.835
48,38421.560,4352.756,34068.804,0.441,0.186,1.773,2.400,34066.404,40,5,1.526,0.017,0.000,16608.261,0.006,0.003,17454.630,0.732,34065.175,1.229
49,38907.282,7106.803,31800.480,0.323,0.037,3.382,3.742,31796.738,44,1,1.469,0.010,0.000,15943.092,0.006,0.011,15807.221,42.476,31794.285,2.452
50,40061.909,7419.992,32641.917,0.513,0.239,2.048,2.800,32639.117,39,6,1.749,0.011,0.000,16535.645,0.006,0.010,16098.925,1.333,32637.678,1.439
