threshold,genome,arc658_selections,arc658_rejections,total_rejections,first_rejection_step,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
0.80,0,40,0,0,none,0.999999,0.999999,0,3410
0.80,1,39,0,0,none,1.012820,1.012820,1,3158
0.80,2,34,0,0,none,0.999999,0.999999,0,3069
0.80,3,38,0,0,none,0.999999,0.999999,0,3256
0.80,4,40,0,0,none,0.999999,0.999999,0,3219
0.80,5,44,0,0,none,0.999999,0.999999,0,3244
0.80,6,38,0,0,none,0.974358,0.974358,0,3049
0.80,7,36,0,0,none,0.999999,0.999999,0,3198
0.80,8,42,0,0,none,0.965811,0.965811,0,3078
0.80,9,44,0,0,none,0.999999,0.999999,0,3331
0.80,10,44,0,0,none,0.999999,0.999999,0,3262
0.80,11,42,0,0,none,0.965811,0.965811,0,3057
0.80,12,47,0,0,none,0.999999,0.999999,0,3187
0.80,13,37,0,0,none,0.999999,0.999999,0,3142
0.80,14,40,0,0,none,0.999999,0.999999,0,3256
0.80,15,38,0,0,none,0.974358,0.974358,0,3194
0.80,16,42,0,0,none,1.004273,1.004273,1,3076
0.80,17,39,0,0,none,1.012820,1.012820,1,3214
0.80,18,43,0,0,none,1.012820,1.012820,1,3067
0.80,19,41,0,0,none,1.012820,1.012820,1,3031
0.80,20,37,0,0,none,0.991452,0.991452,0,3164
0.80,21,42,0,0,none,0.999999,0.999999,0,3091
0.80,22,35,0,0,none,0.991452,0.991452,0,3050
0.80,23,39,0,0,none,0.999999,0.999999,0,3086
0.80,24,42,0,0,none,1.004273,1.004273,1,3112
0.80,25,40,0,0,none,1.012820,1.012820,1,3042
0.80,26,41,0,0,none,0.965811,0.965811,0,3040
0.80,27,39,0,0,none,1.012820,1.012820,1,3064
0.80,28,44,0,0,none,0.999999,0.999999,0,3063
0.80,29,32,0,0,none,0.965811,0.965811,0,3086
0.80,30,43,0,0,none,0.999999,0.999999,0,3065
0.80,31,38,0,0,none,0.974358,0.974358,0,3059
0.80,32,40,0,0,none,0.999999,0.999999,0,3081
0.80,33,39,0,0,none,0.991452,0.991452,0,3080
0.80,34,41,0,0,none,1.012820,1.012820,1,3037
0.80,35,40,0,0,none,0.999999,0.999999,0,3168
0.80,36,36,0,0,none,0.999999,0.999999,0,4130
0.80,37,43,0,0,none,1.012820,1.012820,1,3284
0.80,38,39,0,0,none,0.991452,0.991452,0,3144
0.80,39,40,0,0,none,0.999999,0.999999,0,3170
0.80,40,39,0,0,none,1.012820,1.012820,1,3178
0.80,41,42,0,0,none,0.999999,0.999999,0,3097
0.80,42,43,0,0,none,0.999999,0.999999,0,3117
0.80,43,41,0,0,none,1.012820,1.012820,1,3129
0.80,44,44,0,0,none,0.999999,0.999999,0,3057
0.80,45,38,0,0,none,0.974358,0.974358,0,3109
0.80,46,41,0,0,none,0.999999,0.999999,0,3132
0.80,47,36,0,0,none,1.012820,1.012820,1,3144
0.80,48,42,0,0,none,0.999999,0.999999,0,3209
0.80,49,45,0,0,none,0.987179,0.987179,0,3097
