penalty,genome,arc658_selections,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
400.0,0,40,0.999999,0.999999,0,1893
400.0,1,39,1.012820,1.012820,1,1611
400.0,2,34,0.999999,0.999999,0,1622
400.0,3,38,0.999999,0.999999,0,1610
400.0,4,40,0.999999,0.999999,0,1630
400.0,5,44,0.999999,0.999999,0,1607
400.0,6,38,0.974358,0.974358,0,1604
400.0,7,36,0.999999,0.999999,0,1613
400.0,8,42,0.965811,0.965811,0,1635
400.0,9,44,0.999999,0.999999,0,1947
400.0,10,44,0.999999,0.999999,0,1611
400.0,11,42,0.965811,0.965811,0,1752
400.0,12,47,0.999999,0.999999,0,1903
400.0,13,37,0.999999,0.999999,0,2908
400.0,14,40,0.999999,0.999999,0,1601
400.0,15,38,0.974358,0.974358,0,1643
400.0,16,42,1.004273,1.004273,1,1636
400.0,17,39,1.012820,1.012820,1,1648
400.0,18,43,1.012820,1.012820,1,1620
400.0,19,41,1.012820,1.012820,1,1609
400.0,20,37,0.991452,0.991452,0,1725
400.0,21,42,0.999999,0.999999,0,1632
400.0,22,35,0.991452,0.991452,0,1631
400.0,23,39,0.999999,0.999999,0,1607
400.0,24,42,1.004273,1.004273,1,1618
400.0,25,40,1.012820,1.012820,1,1618
400.0,26,41,0.965811,0.965811,0,1618
400.0,27,39,1.012820,1.012820,1,1679
400.0,28,44,0.999999,0.999999,0,1620
400.0,29,32,0.965811,0.965811,0,1768
400.0,30,43,0.999999,0.999999,0,1764
400.0,31,38,0.974358,0.974358,0,1803
400.0,32,40,0.999999,0.999999,0,1625
400.0,33,39,0.991452,0.991452,0,1627
400.0,34,41,1.012820,1.012820,1,1619
400.0,35,40,0.999999,0.999999,0,1636
400.0,36,36,0.999999,0.999999,0,1618
400.0,37,43,1.012820,1.012820,1,1766
400.0,38,39,0.991452,0.991452,0,1615
400.0,39,40,0.999999,0.999999,0,1845
400.0,40,39,1.012820,1.012820,1,1625
400.0,41,42,0.999999,0.999999,0,1607
400.0,42,43,0.999999,0.999999,0,1751
400.0,43,41,1.012820,1.012820,1,1629
400.0,44,44,0.999999,0.999999,0,1620
400.0,45,38,0.974358,0.974358,0,1623
400.0,46,41,0.999999,0.999999,0,1616
400.0,47,36,1.012820,1.012820,1,1623
400.0,48,42,0.999999,0.999999,0,1627
400.0,49,45,0.987179,0.987179,0,1665
