penalty,genome,arc658_selections,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
1600.0,0,40,0.999999,0.999999,0,1739
1600.0,1,39,1.012820,1.012820,1,1608
1600.0,2,34,0.999999,0.999999,0,1611
1600.0,3,38,0.999999,0.999999,0,1620
1600.0,4,39,0.999999,0.999999,0,1626
1600.0,5,44,0.999999,0.999999,0,1602
1600.0,6,38,0.974358,0.974358,0,1603
1600.0,7,36,0.999999,0.999999,0,1616
1600.0,8,42,0.965811,0.965811,0,1636
1600.0,9,43,0.999999,0.999999,0,1627
1600.0,10,44,0.999999,0.999999,0,1606
1600.0,11,41,0.965811,0.965811,0,1617
1600.0,12,47,0.999999,0.999999,0,1609
1600.0,13,37,0.999999,0.999999,0,1624
1600.0,14,40,0.999999,0.999999,0,1594
1600.0,15,38,0.974358,0.974358,0,1618
1600.0,16,42,1.004273,1.004273,1,1598
1600.0,17,39,1.012820,1.012820,1,1596
1600.0,18,43,1.012820,1.012820,1,1624
1600.0,19,41,1.012820,1.012820,1,1603
1600.0,20,37,0.991452,0.991452,0,1605
1600.0,21,41,0.999999,0.999999,0,1615
1600.0,22,35,0.991452,0.991452,0,1601
1600.0,23,39,0.999999,0.999999,0,1603
1600.0,24,42,1.004273,1.004273,1,1620
1600.0,25,39,1.012820,1.012820,1,1609
1600.0,26,41,0.965811,0.965811,0,1624
1600.0,27,38,0.999999,0.999999,0,1619
1600.0,28,44,0.999999,0.999999,0,1632
1600.0,29,32,0.965811,0.965811,0,1605
1600.0,30,43,0.999999,0.999999,0,1611
1600.0,31,38,0.974358,0.974358,0,1614
1600.0,32,40,0.999999,0.999999,0,1609
1600.0,33,38,0.991452,0.991452,0,1620
1600.0,34,41,1.012820,1.012820,1,1610
1600.0,35,40,0.999999,0.999999,0,1635
1600.0,36,36,0.999999,0.999999,0,1607
1600.0,37,43,1.012820,1.012820,1,1615
1600.0,38,39,0.991452,0.991452,0,1603
1600.0,39,40,0.999999,0.999999,0,1623
1600.0,40,39,1.012820,1.012820,1,1604
1600.0,41,42,0.999999,0.999999,0,1620
1600.0,42,43,0.999999,0.999999,0,1604
1600.0,43,41,1.012820,1.012820,1,1632
1600.0,44,44,0.999999,0.999999,0,1606
1600.0,45,38,0.974358,0.974358,0,1619
1600.0,46,41,0.999999,0.999999,0,1605
1600.0,47,36,1.012820,1.012820,1,1616
1600.0,48,42,0.999999,0.999999,0,1618
1600.0,49,44,0.987179,0.987179,0,1605
