penalty,genome,arc658_selections,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
800.0,0,40,0.999999,0.999999,0,2081
800.0,1,39,1.012820,1.012820,1,1653
800.0,2,34,0.999999,0.999999,0,1666
800.0,3,38,0.999999,0.999999,0,1607
800.0,4,40,0.999999,0.999999,0,1618
800.0,5,44,0.999999,0.999999,0,1599
800.0,6,38,0.974358,0.974358,0,1595
800.0,7,36,0.999999,0.999999,0,1600
800.0,8,42,0.965811,0.965811,0,1637
800.0,9,44,0.999999,0.999999,0,1603
800.0,10,44,0.999999,0.999999,0,1596
800.0,11,41,0.965811,0.965811,0,1618
800.0,12,47,0.999999,0.999999,0,1601
800.0,13,37,0.999999,0.999999,0,1681
800.0,14,40,0.999999,0.999999,0,1669
800.0,15,38,0.974358,0.974358,0,1609
800.0,16,42,1.004273,1.004273,1,1598
800.0,17,39,1.012820,1.012820,1,1882
800.0,18,43,1.012820,1.012820,1,1829
800.0,19,41,1.012820,1.012820,1,1600
800.0,20,37,0.991452,0.991452,0,1605
800.0,21,42,0.999999,0.999999,0,1614
800.0,22,35,0.991452,0.991452,0,1597
800.0,23,39,0.999999,0.999999,0,1597
800.0,24,42,1.004273,1.004273,1,1616
800.0,25,40,1.012820,1.012820,1,1605
800.0,26,41,0.965811,0.965811,0,1607
800.0,27,38,0.999999,0.999999,0,1615
800.0,28,44,0.999999,0.999999,0,1605
800.0,29,32,0.965811,0.965811,0,1715
800.0,30,43,0.999999,0.999999,0,1603
800.0,31,38,0.974358,0.974358,0,1610
800.0,32,40,0.999999,0.999999,0,1716
800.0,33,39,0.991452,0.991452,0,1615
800.0,34,41,1.012820,1.012820,1,1607
800.0,35,40,0.999999,0.999999,0,1627
800.0,36,36,0.999999,0.999999,0,1608
800.0,37,43,1.012820,1.012820,1,1609
800.0,38,39,0.991452,0.991452,0,1594
800.0,39,40,0.999999,0.999999,0,1618
800.0,40,39,1.012820,1.012820,1,1602
800.0,41,42,0.999999,0.999999,0,1596
800.0,42,43,0.999999,0.999999,0,1616
800.0,43,41,1.012820,1.012820,1,1624
800.0,44,44,0.999999,0.999999,0,1612
800.0,45,38,0.974358,0.974358,0,1616
800.0,46,41,0.999999,0.999999,0,1627
800.0,47,36,1.012820,1.012820,1,1614
800.0,48,42,0.999999,0.999999,0,1621
800.0,49,45,0.987179,0.987179,0,1603
