threshold,genome,arc658_selections,arc658_rejections,total_rejections,first_rejection_step,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
0.60,0,40,0,0,none,0.999999,0.999999,0,6067
0.60,1,39,0,0,none,1.012820,1.012820,1,5504
0.60,2,34,0,0,none,0.999999,0.999999,0,4976
0.60,3,38,0,0,none,0.999999,0.999999,0,5094
0.60,4,40,0,0,none,0.999999,0.999999,0,3206
0.60,5,44,0,0,none,0.999999,0.999999,0,3188
0.60,6,38,0,0,none,0.974358,0.974358,0,6764
0.60,7,36,0,0,none,0.999999,0.999999,0,4226
0.60,8,42,0,0,none,0.965811,0.965811,0,3042
0.60,9,44,0,0,none,0.999999,0.999999,0,4380
0.60,10,44,0,0,none,0.999999,0.999999,0,3273
0.60,11,42,0,0,none,0.965811,0.965811,0,3276
0.60,12,47,0,0,none,0.999999,0.999999,0,3678
0.60,13,37,0,0,none,0.999999,0.999999,0,7304
0.60,14,40,0,0,none,0.999999,0.999999,0,3089
0.60,15,38,0,0,none,0.974358,0.974358,0,3217
0.60,16,42,0,0,none,1.004273,1.004273,1,3018
0.60,17,39,0,0,none,1.012820,1.012820,1,3025
0.60,18,43,0,0,none,1.012820,1.012820,1,3032
0.60,19,41,0,0,none,1.012820,1.012820,1,3014
0.60,20,37,0,0,none,0.991452,0.991452,0,3348
0.60,21,42,0,0,none,0.999999,0.999999,0,3388
0.60,22,35,0,0,none,0.991452,0.991452,0,4100
0.60,23,39,0,0,none,0.999999,0.999999,0,3059
0.60,24,42,0,0,none,1.004273,1.004273,1,4386
0.60,25,40,0,0,none,1.012820,1.012820,1,3022
0.60,26,41,0,0,none,0.965811,0.965811,0,3416
0.60,27,39,0,0,none,1.012820,1.012820,1,3603
0.60,28,44,0,0,none,0.999999,0.999999,0,3221
0.60,29,32,0,0,none,0.965811,0.965811,0,4854
0.60,30,43,0,0,none,0.999999,0.999999,0,5529
0.60,31,38,0,0,none,0.974358,0.974358,0,3174
0.60,32,40,0,0,none,0.999999,0.999999,0,3833
0.60,33,39,0,0,none,0.991452,0.991452,0,3046
0.60,34,41,0,0,none,1.012820,1.012820,1,3215
0.60,35,40,0,0,none,0.999999,0.999999,0,3245
0.60,36,36,0,0,none,0.999999,0.999999,0,3099
0.60,37,43,0,0,none,1.012820,1.012820,1,3418
0.60,38,39,0,0,none,0.991452,0.991452,0,4179
0.60,39,40,0,0,none,0.999999,0.999999,0,3273
0.60,40,39,0,0,none,1.012820,1.012820,1,3277
0.60,41,42,0,0,none,0.999999,0.999999,0,3061
0.60,42,43,0,0,none,0.999999,0.999999,0,3604
0.60,43,41,0,0,none,1.012820,1.012820,1,3595
0.60,44,44,0,0,none,0.999999,0.999999,0,3022
0.60,45,38,0,0,none,0.974358,0.974358,0,3597
0.60,46,41,0,0,none,0.999999,0.999999,0,3762
0.60,47,36,0,0,none,1.012820,1.012820,1,3059
0.60,48,42,0,0,none,0.999999,0.999999,0,3416
0.60,49,45,0,0,none,0.987179,0.987179,0,3684
