threshold,genome,arc658_selections,arc658_rejections,total_rejections,first_rejection_step,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
1.00,0,40,0,0,none,0.999999,0.999999,0,3424
1.00,1,39,0,0,none,1.012820,1.012820,1,3171
1.00,2,34,0,0,none,0.999999,0.999999,0,3098
1.00,3,38,0,0,none,0.999999,0.999999,0,3067
1.00,4,40,0,0,none,0.999999,0.999999,0,3274
1.00,5,44,0,0,none,0.999999,0.999999,0,3195
1.00,6,38,0,0,none,0.974358,0.974358,0,3064
1.00,7,36,0,0,none,0.999999,0.999999,0,3182
1.00,8,42,0,0,none,0.965811,0.965811,0,3180
1.00,9,44,0,0,none,0.999999,0.999999,0,3073
1.00,10,44,0,0,none,0.999999,0.999999,0,3059
1.00,11,42,0,0,none,0.965811,0.965811,0,3067
1.00,12,47,0,0,none,0.999999,0.999999,0,3066
1.00,13,37,0,0,none,0.999999,0.999999,0,3085
1.00,14,40,0,0,none,0.999999,0.999999,0,3191
1.00,15,38,0,0,none,0.974358,0.974358,0,3238
1.00,16,42,0,0,none,1.004273,1.004273,1,3132
1.00,17,39,0,0,none,1.012820,1.012820,1,3098
1.00,18,43,0,0,none,1.012820,1.012820,1,3136
1.00,19,41,0,0,none,1.012820,1.012820,1,3155
1.00,20,37,0,0,none,0.991452,0.991452,0,3060
1.00,21,42,0,0,none,0.999999,0.999999,0,3062
1.00,22,35,0,0,none,0.991452,0.991452,0,3077
1.00,23,39,0,0,none,0.999999,0.999999,0,3069
1.00,24,42,0,0,none,1.004273,1.004273,1,3410
1.00,25,40,0,0,none,1.012820,1.012820,1,3101
1.00,26,41,0,0,none,0.965811,0.965811,0,4185
1.00,27,39,0,0,none,1.012820,1.012820,1,3313
1.00,28,44,0,0,none,0.999999,0.999999,0,3072
1.00,29,32,0,0,none,0.965811,0.965811,0,3054
1.00,30,43,0,0,none,0.999999,0.999999,0,3094
1.00,31,38,0,0,none,0.974358,0.974358,0,3070
1.00,32,40,0,0,none,0.999999,0.999999,0,3099
1.00,33,39,0,0,none,0.991452,0.991452,0,3108
1.00,34,41,0,0,none,1.012820,1.012820,1,3075
1.00,35,40,0,0,none,0.999999,0.999999,0,3149
1.00,36,36,0,0,none,0.999999,0.999999,0,3080
1.00,37,43,0,0,none,1.012820,1.012820,1,3076
1.00,38,39,0,0,none,0.991452,0.991452,0,3043
1.00,39,40,0,0,none,0.999999,0.999999,0,3178
1.00,40,39,0,0,none,1.012820,1.012820,1,3048
1.00,41,42,0,0,none,0.999999,0.999999,0,3098
1.00,42,43,0,0,none,0.999999,0.999999,0,3049
1.00,43,41,0,0,none,1.012820,1.012820,1,3063
1.00,44,44,0,0,none,0.999999,0.999999,0,3040
1.00,45,38,0,0,none,0.974358,0.974358,0,4022
1.00,46,41,0,0,none,0.999999,0.999999,0,3267
1.00,47,36,0,0,none,1.012820,1.012820,1,3176
1.00,48,42,0,0,none,0.999999,0.999999,0,3281
1.00,49,45,0,0,none,0.987179,0.987179,0,3347
