gen,gen_ms,eval_ms,non_eval_ms,l1_lookup_ms,l1_materialize_ms,l1_insert_ms,l1_total_ms,unattributed_ms,n_eval,cache_hits,crossover_ms,mutation_ms,repair_ms,improve_ms,sort_ms,selection_ms,feasibility_ms,staging_ms,attributed_ms,rayon_residual_ms
39,76.530,13.794,62.735,0.036,0.008,0.094,0.138,62.597,33,10,0.082,0.003,5.364,57.061,0.005,0.004,0.000,0.022,62.541,0.056
40,73.826,13.202,60.624,0.038,0.009,0.088,0.135,60.489,32,8,0.075,0.005,11.680,48.617,0.008,0.002,0.000,0.032,60.421,0.068
41,115.579,41.957,73.622,0.058,0.012,0.128,0.198,73.424,32,7,0.097,0.007,15.773,57.447,0.005,0.004,0.000,0.022,73.354,0.070
42,117.983,37.136,80.846,0.072,0.010,0.098,0.179,80.667,36,6,0.132,0.005,10.009,70.404,0.005,0.005,0.000,0.035,80.595,0.072
43,86.070,13.862,72.208,0.054,0.009,0.107,0.170,72.037,34,7,0.124,0.023,10.170,61.627,0.005,0.004,0.000,0.020,71.973,0.065
44,74.509,11.408,63.101,0.038,0.009,0.084,0.131,62.970,28,10,0.089,0.005,16.806,45.960,0.004,0.006,0.000,0.028,62.899,0.070
45,73.124,14.378,58.746,0.036,0.004,0.109,0.149,58.597,38,4,0.078,0.003,7.544,50.862,0.004,0.003,0.000,0.028,58.522,0.075
46,74.007,15.508,58.500,0.049,0.007,0.112,0.168,58.332,38,4,0.091,0.005,6.867,51.273,0.005,0.002,0.000,0.026,58.270,0.062
47,81.891,21.188,60.704,0.034,0.007,0.103,0.144,60.560,34,8,0.077,0.008,7.050,53.324,0.007,0.002,0.000,0.021,60.490,0.070
48,77.036,15.956,61.080,0.055,0.009,0.107,0.171,60.909,35,7,0.096,0.005,7.604,53.106,0.004,0.003,0.000,0.023,60.841,0.068
49,73.825,14.277,59.548,0.056,0.008,1.136,1.200,58.347,36,8,0.107,0.003,2.507,55.637,0.005,0.007,0.000,0.021,58.286,0.061
50,78.165,20.118,58.047,0.031,0.006,0.104,0.141,57.906,38,7,0.083,0.004,0.000,57.729,0.005,0.003,0.000,0.023,57.847,0.059
