Generation,ArchiveSize,BestINRC,MeanNN,MedianNN,CentroidSpread,CompRatio,DeltaDist
1,1,62760.0,0.0000,0.0000,0.0000,1.0000,0.0
1000,48,58560.0,0.0849,0.0762,0.4928,0.0902,-4200.0
2000,88,56790.0,0.0594,0.0487,0.4178,0.0870,-1770.0
3000,81,55260.0,0.0513,0.0411,0.4477,0.0539,-1530.0
4000,123,54030.0,0.0443,0.0357,0.3776,0.0641,-1230.0
5000,110,53340.0,0.0366,0.0318,0.4341,0.0468,-690.0
6000,100,52530.0,0.0431,0.0353,0.4265,0.0368,-810.0
7000,107,51090.0,0.0360,0.0315,0.4667,0.0345,-1440.0
8000,100,49680.0,0.0349,0.0271,0.4444,0.0286,-1410.0
9000,124,49290.0,0.0301,0.0259,0.4118,0.0319,-390.0
10000,124,48840.0,0.0307,0.0233,0.3741,0.0289,-450.0
11000,124,48180.0,0.0328,0.0233,0.3885,0.0263,-660.0
12000,113,47460.0,0.0364,0.0326,0.3848,0.0220,-720.0
13000,111,47010.0,0.0316,0.0272,0.3751,0.0200,-450.0
14000,121,46080.0,0.0348,0.0285,0.3399,0.0203,-930.0
15000,140,45720.0,0.0315,0.0303,0.3320,0.0221,-360.0
16000,150,45600.0,0.0311,0.0324,0.3341,0.0224,-120.0
17000,127,45210.0,0.0348,0.0332,0.3059,0.0180,-390.0
18000,148,44610.0,0.0325,0.0323,0.3068,0.0199,-600.0
19000,174,44520.0,0.0298,0.0301,0.2924,0.0223,-90.0
20000,160,44190.0,0.0320,0.0308,0.3318,0.0195,-330.0
21000,205,43710.0,0.0234,0.0239,0.2925,0.0238,-480.0
22000,184,43200.0,0.0292,0.0244,0.3120,0.0205,-510.0
23000,187,42990.0,0.0267,0.0244,0.3364,0.0199,-210.0
24000,194,42810.0,0.0248,0.0244,0.3290,0.0199,-180.0
25000,200,42240.0,0.0263,0.0224,0.3124,0.0198,-570.0
