Generation,ArchiveSize,BestINRC,MeanNN,CentroidSpread,SelectionEntropy,DeltaDist,AvgSAGain
1,2,60330.0,1.7321,0.8660,0.0000,0.0,1140.0000
1000,144,41550.0,0.0528,0.3828,7.1158,-18780.0,856.9740
2000,186,37620.0,0.0386,0.3995,7.4796,-3930.0,714.0601
3000,191,36570.0,0.0389,0.3937,7.5254,-1050.0,685.8474
4000,227,35250.0,0.0335,0.3702,7.7700,-1320.0,601.3234
5000,220,34440.0,0.0351,0.3724,7.7388,-810.0,600.3240
