Generation,ArchiveSize,BestINRC,MeanNN,CentroidSpread,SelectionEntropy,DeltaDist
1,2,151620.0,1.4142,0.7071,0.0000,0.0
1000,65,144390.0,0.0618,0.3921,5.7443,-7230.0
2000,131,140880.0,0.0321,0.3993,6.2241,-3510.0
3000,127,138450.0,0.0275,0.3940,6.2656,-2430.0
4000,182,136710.0,0.0248,0.4023,6.8425,-1740.0
5000,165,134940.0,0.0271,0.4065,6.7126,-1770.0
6000,188,133440.0,0.0214,0.3824,6.8164,-1500.0
7000,213,133440.0,0.0208,0.3695,7.0223,0.0
8000,231,132330.0,0.0236,0.3978,7.1761,-1110.0
9000,213,131130.0,0.0200,0.3769,6.9057,-1200.0
10000,261,129750.0,0.0191,0.3684,7.2550,-1380.0
11000,246,128310.0,0.0179,0.3675,7.1059,-1440.0
12000,275,127230.0,0.0150,0.3262,7.3714,-1080.0
13000,256,125880.0,0.0190,0.3549,7.4068,-1350.0
14000,218,125400.0,0.0197,0.3270,7.2300,-480.0
15000,270,124830.0,0.0170,0.3387,7.4673,-570.0
16000,244,124590.0,0.0151,0.3543,7.1848,-240.0
17000,245,123480.0,0.0155,0.3597,7.3338,-1110.0
18000,206,122280.0,0.0182,0.3384,7.0161,-1200.0
19000,245,120780.0,0.0152,0.3126,7.1974,-1500.0
20000,231,120390.0,0.0140,0.3344,7.2324,-390.0
21000,249,119520.0,0.0178,0.3505,7.4946,-870.0
22000,242,119070.0,0.0166,0.3577,7.3994,-450.0
23000,266,118050.0,0.0154,0.3678,7.3761,-1020.0
24000,270,117210.0,0.0144,0.3395,7.3865,-840.0
25000,262,116520.0,0.0128,0.3470,7.2281,-690.0
