Generation,ArchiveSize,BestINRC,MeanNN,MedianNN,CentroidSpread,CompRatio,DeltaDist
1,1,153000.0,0.0000,0.0000,0.0000,1.0000,0.0
1000,57,142830.0,0.0570,0.0503,0.4074,0.1275,-10170.0
2000,80,140700.0,0.0526,0.0484,0.3983,0.0873,-2130.0
3000,89,137310.0,0.0368,0.0338,0.3862,0.0642,-3390.0
4000,104,135840.0,0.0399,0.0389,0.3869,0.0553,-1470.0
5000,116,134550.0,0.0354,0.0312,0.3896,0.0496,-1290.0
6000,126,133350.0,0.0390,0.0324,0.3632,0.0450,-1200.0
7000,140,131370.0,0.0306,0.0261,0.3421,0.0434,-1980.0
8000,132,129840.0,0.0324,0.0262,0.3622,0.0358,-1530.0
9000,127,128430.0,0.0358,0.0251,0.3561,0.0305,-1410.0
10000,130,127980.0,0.0310,0.0259,0.3521,0.0281,-450.0
11000,134,126720.0,0.0300,0.0231,0.3614,0.0263,-1260.0
12000,166,126360.0,0.0259,0.0215,0.3251,0.0298,-360.0
13000,171,125490.0,0.0303,0.0231,0.3619,0.0284,-870.0
14000,148,124860.0,0.0354,0.0285,0.3536,0.0229,-630.0
15000,161,124530.0,0.0310,0.0245,0.3180,0.0232,-330.0
16000,198,124170.0,0.0237,0.0214,0.3029,0.0268,-360.0
17000,202,123660.0,0.0246,0.0218,0.3097,0.0259,-510.0
18000,156,122670.0,0.0286,0.0234,0.3242,0.0189,-990.0
19000,165,121950.0,0.0276,0.0222,0.3162,0.0190,-720.0
20000,183,121740.0,0.0279,0.0253,0.3028,0.0201,-210.0
21000,187,121140.0,0.0278,0.0254,0.3096,0.0196,-600.0
22000,179,120210.0,0.0294,0.0245,0.3229,0.0179,-930.0
23000,177,118770.0,0.0286,0.0247,0.3136,0.0170,-1440.0
24000,177,118290.0,0.0348,0.0246,0.2982,0.0164,-480.0
25000,179,117450.0,0.0290,0.0219,0.2774,0.0160,-840.0
