Generation,ArchiveSize,BestINRC,MeanNN,CentroidSpread,SelectionEntropy,DeltaDist,AvgSAGain
1,1,60720.0,0.0000,0.0000,0.0000,0.0,0.0000
1000,38,54360.0,0.0428,0.4675,4.8322,-6360.0,0.0000
2000,96,51090.0,0.0362,0.3959,6.0202,-3270.0,0.0000
3000,75,49890.0,0.0380,0.4057,5.7156,-1200.0,0.0000
4000,107,48360.0,0.0345,0.4231,6.3315,-1530.0,0.0000
5000,106,47310.0,0.0312,0.3847,6.1747,-1050.0,0.0000
