Generation,ArchiveSize,BestINRC,MeanNN,CentroidSpread,SelectionEntropy,DeltaDist,AvgSAGain
1,2,61500.0,1.7321,0.8660,0.0000,0.0,1650.0000
1000,85,38340.0,0.0546,0.4520,6.3547,-23160.0,819.6163
2000,128,35820.0,0.0431,0.4279,6.9251,-2520.0,730.5779
3000,135,35430.0,0.0433,0.4186,7.0111,-390.0,689.4736
4000,189,34440.0,0.0328,0.3834,7.5557,-990.0,641.7368
5000,209,33750.0,0.0303,0.3832,7.6516,-690.0,634.7801
