Generation,ArchiveSize,BestINRC,MeanNN,CentroidSpread,SelectionEntropy,DeltaDist,AvgSAGain
1,2,60570.0,1.4142,0.7071,0.0000,0.0,119999893333.3807
1000,107,42840.0,0.0589,0.4000,6.6762,-17730.0,0.0678
2000,118,39450.0,0.0517,0.3917,6.8079,-3390.0,0.0424
3000,171,38190.0,0.0407,0.3883,7.3540,-1260.0,0.0375
4000,208,37470.0,0.0369,0.3671,7.6455,-720.0,0.0332
5000,219,37050.0,0.0356,0.3556,7.7135,-420.0,0.0326
